==== This output can be found in Systems/dx989/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Thu Aug  6 11:24:48 GST 2015 ====

System configuration: lcpu=24 ent=4.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 7585    0    0  344  102   10    1   11 100 135558 54 45  0  1 0.14  0.0  291
  1    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.03  0.0   12
  2    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.03  0.0   12
  3    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.03  0.0   12
  4 5988    0    0  216   74   14    1   20 100 560350 64 36  0  0 0.32  0.0  148
  5    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.06  0.0   12
  6    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.06  0.0   12
  7    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.06  0.0   12
  8 1825    0    0   91   14    1    0    1 100 368507 67 33  0  0 0.45  0.0   40
  9    0    0    0    3    0    0    0    0   -    0  0  0  0 100 0.10  0.0    4
 10    0    0    0    3    0    0    0    0   -    0  0  0  0 100 0.10  0.0    4
 11    0    0    0    3    0    0    0    0   -    0  0  0  0 100 0.10  0.0    4
 12  597    0    0   21    2    0    0    0 100  510 46 53  0  2 0.01  0.0   26
 13    0    0    0    2    0    0    0    0   -    0  0  0  0 100 0.00  0.0    2
 14    0    0    0    2    0    0    0    0   -    0  0  0  0 100 0.00  0.0    2
 15    0    0    0    2    0    0    0    0   -    0  0  0  0 100 0.00  0.0    2
 16    0    0    0    0    0    0    0    0   -    0  0 18  0 82 0.00  0.0    0
 17    0    0    0    0    0    0    0    0   -    0  0 21  0 79 0.00  0.0    0
 18    0    0    0    0    0    0    0    0   -    0  0 27  0 73 0.00  0.0    0
 19    0    0    0    0    0    0    0    0   -    0  0 45  0 55 0.00  0.0    0
 20    0    0    0   19    0    0    0    0   -    0  0 56  0 44 0.00  0.0   19
 21    0    0    0    0    0    0    0    0   -    0  0  1  0 99 0.00  0.0    0
 22    0    0    0    0    0    0    0    0   -    0  0  1  0 99 0.00  0.0    0
 23    0    0    0    0    0    0    0    0   -    0  0  1  0 99 0.00  0.0    0
ALL 15995    0    0  778  192   25    2   32   0 1064925 40 24  0 36 1.48 36.9  614
--------------------------------------------------------------------------------

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 7617    0    0  416  108   31    0   25 100 871140 65 35  0  0 0.50  0.0  156
  1    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.09  0.0   14
  2    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.09  0.0   14
  3    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.09  0.0   14
  4 8412    0    0  179  114    8    2   24 100 170309 55 45  0  1 0.17  0.0  228
  5    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.03  0.0   14
  6    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.03  0.0   14
  7    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.03  0.0   14
  8    0    0    0    0    0    0    0    1 100    0  0 70  0 30 0.00  0.0    0
  9    0    0    0    0    0    0    0    1 100    0  0  4  0 96 0.00  0.0    0
 10    0    0    0    0    0    0    0    1 100    0  0  4  0 96 0.00  0.0    0
 11    0    0    0    0    0    0    0    1 100    0  0  4  0 96 0.00  0.0    0
 12    0    0    0    6    0    0    0    1 100    0  0 56  0 44 0.00  0.0    6
 13    0    0    0    0    0    0    0    1 100    0  0  7  0 93 0.00  0.0    0
 14    0    0    0    0    0    0    0    1 100    0  0  8  0 92 0.00  0.0    0
 15    0    0    0    0    0    0    0    1 100    0  0  7  0 93 0.00  0.0    0
 16    0    0    0    0    0    0    0    1 100    0  0 59  0 41 0.00  0.0    0
 17    0    0    0    0    0    0    0    1 100    0  0 32  0 68 0.00  0.0    0
 18    0    0    0    0    0    0    0    1 100    0  0 31  0 69 0.00  0.0    0
 19    0    0    0    0    0    0    0    1 100    0  0 27  0 73 0.00  0.0    0
 20    0    0    0   21    0    0    0    1 100    0  0 58  0 42 0.00  0.0   21
 21    0    0    0    0    0    0    0    1 100    0  0  1  0 99 0.00  0.0    0
 22    0    0    0    0    0    0    0    1 100    0  0  1  0 99 0.00  0.0    0
 23    0    0    0    0    0    0    0    1 100    0  0  1  0 99 0.00  0.0    0
ALL 16029    0    0  706  222   39    2   71 100 1041449 40 24  0 36 1.03 25.7  495
==== EXITED with rc 0 ====
==== END mpstat 5 2 Thu Aug  6 11:24:58 GST 2015 ====
