==== This output can be found in Systems/dx986/os/lscfg.txt ====
==== START lscfg Tue Jul  7 00:45:13 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk431         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L44000000000000  EMC Symmetrix FCP VRAID
* hdisk432         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L45000000000000  EMC Symmetrix FCP VRAID
* hdisk433         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L46000000000000  EMC Symmetrix FCP VRAID
* hdisk434         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L35000000000000  EMC Symmetrix FCP VRAID
* hdisk435         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L36000000000000  EMC Symmetrix FCP VRAID
* hdisk436         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L37000000000000  EMC Symmetrix FCP VRAID
* hdisk437         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L38000000000000  EMC Symmetrix FCP VRAID
* hdisk438         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L39000000000000  EMC Symmetrix FCP VRAID
* hdisk439         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L3A000000000000  EMC Symmetrix FCP VRAID
* hdisk440         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L3B000000000000  EMC Symmetrix FCP VRAID
* hdisk441         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L3C000000000000  EMC Symmetrix FCP VRAID
* hdisk442         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L3D000000000000  EMC Symmetrix FCP VRAID
* hdisk443         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L3E000000000000  EMC Symmetrix FCP VRAID
* hdisk444         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L3F000000000000  EMC Symmetrix FCP VRAID
* hdisk445         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L40000000000000  EMC Symmetrix FCP VRAID
* hdisk446         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L41000000000000  EMC Symmetrix FCP VRAID
* hdisk447         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L42000000000000  EMC Symmetrix FCP VRAID
* hdisk448         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L43000000000000  EMC Symmetrix FCP VRAID
* hdisk449         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L44000000000000  EMC Symmetrix FCP VRAID
* hdisk450         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L45000000000000  EMC Symmetrix FCP VRAID
