==== This output can be found in Systems/dx986/os/ps_auxw.txt ====
==== START ps auxw Tue Jul  7 00:44:12 GST 2015 ====
USER          PID %CPU %MEM   SZ  RSS    TTY STAT    STIME  TIME COMMAND
root      1179688  0.2  0.0  448  448      - A      May 07 4860:19 wait
root      1114150  0.2  0.0  448  448      - A      May 07 4850:09 wait
root      1048612  0.2  0.0  448  448      - A      May 07 4778:55 wait
root       327992  0.1  0.0  448  448      - A      May 07 3120:22 wait
root       262454  0.1  0.0  448  448      - A      May 07 3107:15 wait
root       196916  0.1  0.0  448  448      - A      May 07 2987:41 wait
oracle   22020338  0.1  0.0 203068 170888      - A      May 08 2220:25 ora_dbw0_NESSDB 
oracle   33620318  0.1  0.0 202876 170824      - A      May 08 2217:53 ora_dbw1_NESSDB 
oracle   33554714  0.1  0.0 203836 171848      - A      May 08 2209:09 ora_dbw2_NESSDB 
oracle   33685806  0.1  0.0 203644 171656      - A      May 08 2208:54 ora_dbw3_NESSDB 
root      2097462  0.1  0.0 4672 4672      - A      May 07 1965:37 kbiod
root       786460  0.1  0.0 1856 1856      - A      May 07 1751:39 vtiol
root      1441840  0.1  0.0  448  448      - A      May 07 1477:50 wait
root      1376302  0.1  0.0  448  448      - A      May 07 1469:41 wait
root      1310764  0.1  0.0  448  448      - A      May 07 1402:15 wait
root       590152  0.0  0.0  448  448      - A      May 07 891:11 wait
root       524614  0.0  0.0  448  448      - A      May 07 883:26 wait
root       589846  0.0  0.0  640  640      - A      May 07 855:47 reaffin
root       459076  0.0  0.0  448  448      - A      May 07 800:26 wait
root      1704000  0.0  0.0  448  448      - A      May 07 739:55 wait
root      1638462  0.0  0.0  448  448      - A      May 07 734:26 wait
root      1572924  0.0  0.0  448  448      - A      May 07 685:11 wait
oracle   33751324  0.0  0.0 214716 182152      - A      May 08 652:16 ora_dia0_NESSDB 
root      2228320  0.0  0.0  448  448      - A      May 07 564:45 wait
oracle   16515768  0.0  0.0 202812 170824      - A      Jun 15 203:49 oracleNESSDB (LOCAL=NO) 
root      2162782  0.0  0.0  448  448      - A      May 07 551:35 wait
root      2097244  0.0  0.0  448  448      - A      May 07 519:08 wait
root       852312  0.0  0.0  448  448      - A      May 07 471:57 wait
root       786774  0.0  0.0  448  448      - A      May 07 464:32 wait
root       131378  0.0  0.0  448  448      - A      May 07 461:33 wait
root       131076  0.0  0.0  448  448      - A      May 07 445:57 wait
root      1966160  0.0  0.0  448  448      - A      May 07 392:31 wait
root       721236  0.0  0.0  448  448      - A      May 07 388:39 wait
root      1900622  0.0  0.0  448  448      - A      May 07 384:29 wait
root      1835084  0.0  0.0  448  448      - A      May 07 337:34 wait
root     51445924  0.0  0.0 24008 24108      - A      May 10 220:23 perfd 
oracle   12648678  0.0  0.0 197308 164296      - A      May 08 222:02 ora_mmnl_NESSDB 
root     51511534  0.0  0.0 31144 31308      - A      May 10 210:36 /usr/lpp/perf/bin/scopeux 
root       393538  0.0  0.0  448  448      - A      May 07 185:44 wait
root      4849724  0.0  0.0  448  448      - A      May 07 177:51 MpxPeriodicCallbackDaemon
root       983396  0.0  0.0  960  960      - A      May 07 155:17 gil
root      1245226  0.0  0.0  448  448      - A      May 07 143:24 wait
oracle    9502918  0.0  0.0 18632 8244      - A      May 07 140:54 /nessdb_base/app/oracle/product/11.2.0/dbhome_1/bin/tnslsnr LISTEN
root       655698  0.0  0.0  448  448      - A      May 07 134:17 wait
root      2031706  0.0  0.0  448  448      - A      May 07 126:02 wait
root            0  0.0  0.0  384  384      - A      May 07 93:30 swapper
oracle   33489268  0.0  0.0 218556 182024      - A      May 08 89:50 ora_lgwr_NESSDB 
root      1507386  0.0  0.0  448  448      - A      May 07 89:25 wait
root      2752770  0.0  0.0  640  640      - A      May 07 87:54 rtcmd
root      1180132  0.0  0.0  620  628      - A      May 07 84:59 /usr/sbin/syncd 60 
oracle   21233942  0.0  0.0 197500 165512      - A      Jun 16 24:46 ora_ctwr_NESSDB 
root          264  0.0  0.0  448  448      - A      May 07 71:37 swapper
root     57540840  0.0  0.0 27132 27456      - A      May 11 56:57 /usr/lpp/OV/lbin/eaagt/opcmona 
root      3932474  0.0  0.0  384  384      - A      May 07 58:53 lock_rcv
root      1769546  0.0  0.0  448  448      - A      May 07 52:24 wait
oracle    8913310  0.0  0.0 210108 177032      - A      May 08 47:26 ora_ckpt_NESSDB 
root     62062604  0.0  0.0 18744 18772      - A      May 10 43:56 /usr/lpp/OV/lbin/perf/coda 
oracle    9961790  0.0  0.0  448  448      - A      Jul 01  3:47 aioserver
oracle   44892360  0.0  0.0 194620 162632      - A    22:00:00  0:05 ora_vkrm_NESSDB 
oracle   17957314  0.0  0.0  448  448      - A      Jul 01  3:43 aioserver
root       458770  0.0  0.0  832  832      - A      May 07 43:30 vmmd
oracle   33292648  0.0  0.0 201596 168968      - A      May 08 42:20 ora_mmon_NESSDB 
oracle   64028764  0.0  0.0  448  448      - A      Jun 24  8:28 aioserver
oracle   10027536  0.0  0.0  448  448      - A      Jun 23  9:05 aioserver
oracle   63177026  0.0  0.0  448  448      - A      Jun 24  8:11 aioserver
oracle   16450472  0.0  0.0  448  448      - A      Jun 16 13:38 aioserver
oracle   65864166  0.0  0.0  448  448      - A      Jun 30  4:03 aioserver
oracle    6226550  0.0  0.0  448  448      - A      Jun 16 13:09 aioserver
oracle    5439838  0.0  0.0  448  448      - A      Jul 01  3:21 aioserver
root      4981116  0.0  0.0 90108 90320      - A      May 07 39:13 /var/opt/tivoli/ep/_jvm/jre/bin/java -Xmx384m -Xminf0.01 -Xmaxf0.4
oracle   58327306  0.0  0.0  448  448      - A      Jun 28  5:13 aioserver
oracle   16581464  0.0  0.0  448  448      - A      Jun 22  9:05 aioserver
oracle   20513406  0.0  0.0  448  448      - A      Jun 28  5:11 aioserver
oracle   18416116  0.0  0.0  448  448      - A      Jul 01  3:18 aioserver
oracle   62783800  0.0  0.0  448  448      - A      Jun 24  7:42 aioserver
oracle   66650364  0.0  0.0  448  448      - A      Jun 30  3:53 aioserver
oracle   42401968  0.0  0.0  448  448      - A      Jul 04  1:20 aioserver
oracle   59638084  0.0  0.0  448  448      - A      Jun 11 16:02 aioserver
oracle    3539482  0.0  0.0  448  448      - A      Jun 24  7:40 aioserver
root       983074  0.0  0.0  448  448      - A      May 07 37:59 xmgc
oracle    6423186  0.0  0.0  448  448      - A      Jun 16 12:38 aioserver
oracle   10421098  0.0  0.0  448  448      - A      Jun 25  6:54 aioserver
oracle   57409794  0.0  0.0  448  448      - A      Jun 28  5:01 aioserver
oracle   52298114  0.0  0.0  448  448      - A      Jun 01 21:52 aioserver
oracle   17105860  0.0  0.0  448  448      - A      Jun 16 12:30 aioserver
oracle   21103420  0.0  0.0  448  448      - A      Jun 23  8:02 aioserver
oracle   14746128  0.0  0.0  448  448      - A      Jun 28  4:56 aioserver
oracle    1245736  0.0  0.0  448  448      - A      Jun 17 12:14 aioserver
oracle   23462614  0.0  0.0  448  448      - A      Jun 19 10:45 aioserver
oracle   21299770  0.0  0.0  448  448      - A      Jun 28  4:54 aioserver
oracle   24445562  0.0  0.0  448  448      - A      Jun 11 15:16 aioserver
oracle   23593788  0.0  0.0  448  448      - A      Jun 22  8:27 aioserver
oracle   37945372  0.0  0.0  448  448      - A      May 27 23:57 aioserver
oracle   26935326  0.0  0.0  448  448      - A      Jun 06 17:57 aioserver
oracle   23856106  0.0  0.0  448  448      - A      Jun 29  4:12 aioserver
oracle   38207974  0.0  0.0  448  448      - A      Jun 27  5:22 aioserver
oracle   19989324  0.0  0.0  448  448      - A      Jun 19 10:22 aioserver
oracle   47513848  0.0  0.0  448  448      - A      Jun 23  7:39 aioserver
oracle   19530650  0.0  0.0  448  448      - A      Jun 19 10:19 aioserver
oracle   53281174  0.0  0.0  448  448      - A      Jun 28  4:41 aioserver
oracle   19858284  0.0  0.0  448  448      - A      Jun 19 10:10 aioserver
oracle   51904766  0.0  0.0  448  448      - A      Jun 26  6:17 aioserver
oracle   23527986  0.0  0.0  448  448      - A      Jun 20  9:13 aioserver
oracle   64094334  0.0  0.0  448  448      - A      Jun 24  6:53 aioserver
oracle   10552240  0.0  0.0  448  448      - A      Jun 25  6:17 aioserver
oracle   30081234  0.0  0.0  448  448      - A      Jun 27  5:07 aioserver
oracle   40894766  0.0  0.0  448  448      - A      Jul 04  1:11 aioserver
oracle   21955450  0.0  0.0  448  448      - A      Jun 22  7:49 aioserver
oracle   31981744  0.0  0.0 194620 159752      - A      May 08 32:55 ora_vktm_NESSDB 
oracle   19596092  0.0  0.0  448  448      - A      Jun 19  9:42 aioserver
oracle   15467338  0.0  0.0  448  448      - A      Jun 26  5:49 aioserver
oracle   61473084  0.0  0.0  448  448      - A      Jun 28  4:23 aioserver
oracle   15729426  0.0  0.0  448  448      - A      Jun 26  5:41 aioserver
oracle   40698160  0.0  0.0  448  448      - A      Jul 04  1:07 aioserver
oracle   40239614  0.0  0.0  448  448      - A      Jul 04  1:07 aioserver
oracle    6292048  0.0  0.0  448  448      - A      Jun 26  5:39 aioserver
oracle   45350934  0.0  0.0  448  448      - A      Jun 27  4:46 aioserver
oracle    5636632  0.0  0.0  448  448      - A      Jun 26  5:33 aioserver
oracle    9896744  0.0  0.0  448  448      - A      Jun 25  5:45 aioserver
oracle   57999868  0.0  0.0  448  448      - A      Jun 28  4:09 aioserver
oracle   26804404  0.0  0.0  448  448      - A      Jun 27  4:40 aioserver
oracle   33030652  0.0  0.0 243196 206856      - A      May 08 29:48 ora_arc3_NESSDB 
oracle   42270886  0.0  0.0  448  448      - A      Jul 04  1:03 aioserver
oracle   40632576  0.0  0.0  448  448      - A      Jul 04  1:03 aioserver
oracle   33358132  0.0  0.0 243196 206728      - A      May 08 29:35 ora_arc2_NESSDB 
oracle   14549190  0.0  0.0 243196 203720      - A      May 08 29:10 ora_arc0_NESSDB 
oracle   52822360  0.0  0.0  448  448      - A      Jul 05  0:31 aioserver
oracle   42008816  0.0  0.0  448  448      - A      Jul 04  1:01 aioserver
oracle   18875090  0.0  0.0  448  448      - A      Jun 28  3:52 aioserver
oracle   11599974  0.0  0.0  448  448      - A      Jun 27  4:12 aioserver
oracle   43778210  0.0  0.0  448  448      - A      Jul 04  0:58 aioserver
oracle   42663990  0.0  0.0  448  448      - A      Jul 04  0:58 aioserver
oracle   42860662  0.0  0.0  448  448      - A      Jul 04  0:56 aioserver
oracle   27656700  0.0  0.0  448  448      - A      Jun 27  4:00 aioserver
oracle   32244078  0.0  0.0  448  448      - A      Jun 27  3:56 aioserver
oracle   40042820  0.0  0.0  448  448      - A      Jul 04  0:54 aioserver
oracle   42598474  0.0  0.0  448  448      - A      Jul 04  0:54 aioserver
oracle   42991638  0.0  0.0  448  448      - A      Jul 04  0:53 aioserver
root     60555546  0.0  0.0 10292 10456      - A      May 11 23:30 /usr/lpp/OV/lbin/eaagt/opcmsga 
oracle   14090482  0.0  0.0  448  448      - A      Jun 27  3:45 aioserver
oracle   58065224  0.0  0.0  448  448      - A      Jun 28  3:17 aioserver
oracle    7799250  0.0  0.0 196476 163656      - A      May 08 23:31 ora_dbrm_NESSDB 
oracle    9830830  0.0  0.0 199804 166536      - A      May 08 22:45 ora_pmon_NESSDB 
oracle   42729682  0.0  0.0  448  448      - A      Jul 04  0:48 aioserver
