==== This output can be found in Systems/dx986/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:45:13 GST 2015 ====

System configuration: lcpu=32 drives=710 ent=3.60 paths=0 vdisks=10 maxserver=960

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
     16.4  0.0   177     0    131072            11.9   4.7   80.2      3.2   0.9   25.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk426         0.0       0.0       0.0        136         0
hdisk429         0.0       0.0       0.0          4         0
hdisk427         0.0       0.0       0.0          4         0
hdisk431         0.0       0.0       0.0          4         0
hdisk64          0.0       0.2       0.0    1373384    175696
hdisk560         0.0       0.0       0.0      13381         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk433         0.0       0.0       0.0          4         0
hdisk432         0.0       0.0       0.0          4         0
hdisk562         0.0       0.0       0.0          4         0
hdisk561         0.0       0.0       0.0          4         0
hdisk568         0.0       0.0       0.0          4         0
hdisk569         0.0       0.0       0.0          4         0
hdisk567         0.0       0.0       0.0          4         0
hdisk565         0.0       0.0       0.0          4         0
hdisk566         0.0       0.0       0.0          4     18132
hdisk563         0.0       0.0       0.0          4         0
hdisk564         0.0       0.0       0.0          4         0
hdisk9           0.0       0.5       0.0    3799984    167748
hdisk108         0.0       0.2       0.0    1059019     73260
hdisk110         0.0       0.1       0.0    1014604     74764
hdisk109         0.0       0.2       0.0    1038500     71888
hdisk111         0.0       0.2       0.0    1052020     85316
hdisk436         0.0       0.0       0.0          4         0
hdisk434         0.0       0.0       0.0      84273         0
hdisk112         0.0       0.2       0.0    1407084    193092
hdisk435         0.0       0.0       0.0          4         0
hdisk437         0.0       0.0       0.0         20         0
hdisk113         0.0       0.2       0.0    1361444    175940
hdisk440         0.0       0.0       0.0        152         0
hdisk442         0.0       0.0       0.0         28         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk439         0.0       0.0       0.0          8     18120
hdisk444         0.0       0.0       0.0        136         0
hdisk443         0.0       0.0       0.0         72         0
hdisk445         0.0       0.0       0.0          4         0
hdisk448         0.0       0.0       0.0          4         0
hdisk447         0.0       0.0       0.0          4         0
