==== This output can be found in Systems/dx980/perf/mpstat-d.txt ====
==== START mpstat -d Mon Jul  6 23:15:50 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0 427642561 36304536      1      2     20 317966 4662170  98.8   0.0   0.0   0.1   0.0   1.1  47606 555197450  62.6  37.4   0.0     0
  1 250283 234565      0      0      0    121      5  10.0  89.8   0.0   0.1   0.0   0.1 136632 29981499  96.1   3.9   0.0     0
  2 222900 218664      0      0      0      1      5   0.9  99.1   0.0   0.1   0.0   0.0 104613 29818998  99.0   1.0   0.0     0
  3 221742 218683      0      0      0      0      0   0.8  99.2   0.0   0.1   0.0   0.0 104506 29696708  99.3   0.7   0.0     0
  4 1021711 387955      0      0      0  35554  12055  67.6   0.1   0.0  28.5   0.0   3.8 2387144 694986  85.6  14.4   0.0     0
  5 227846 222948      0      0      0     38      3   5.7  94.2   0.0   0.1   0.0   0.0 2374514 137121  99.9   0.1   0.0     0
  6 217631 216182      0      0      0      1      1   0.9  99.0   0.0   0.1   0.0   0.0 654262 124975  99.9   0.1   0.0     0
  7 216803 216007      0      0      0      0      0   0.6  99.3   0.0   0.0   0.0   0.0 654139 123397 100.0   0.0   0.0     0
  8 468400 253724      0      0      0   9332   3235  48.5   0.1   0.0  49.2   0.0   2.2 2386310 340577  92.2   7.8   0.0     0
  9 221195 217655      0      0      0    118      2   2.8  97.0   0.0   0.1   0.0   0.1 657039  55512  99.7   0.3   0.0     0
 10 216295 215640      0      0      0      0      0   0.5  99.5   0.0   0.1   0.0   0.0 654554  50374 100.0   0.0   0.0     0
 11 216067 215655      0      0      0      0      0   0.4  99.5   0.0   0.1   0.0   0.0 654433  49849 100.0   0.0   0.0     0
 12 254135 225691      0      0      0   1234    466  14.8   0.1   0.0  84.6   0.0   0.5 2387501  42366  97.7   2.3   0.0     0
 13 221114 217915      0      0      0     26      1   2.9  97.0   0.0   0.1   0.0   0.0 2375006  21834  99.9   0.1   0.0     0
 14 216171 215539      0      0      0      0      0   0.4  99.5   0.0   0.1   0.0   0.0 654187  12905 100.0   0.0   0.0     0
