==== This output can be found in Systems/dx980/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Mon Jul  6 23:15:39 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 6475    0    0  317  273  122    1   64  96 264464 55 45  0  0 0.21  0.0  217
  1    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.04  0.0   12
  2    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.04  0.0   12
  3    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.04  0.0   12
  4  359    0    0    4    1    0    0    0 100  272 43 55  0  1 0.00  0.0    8
  5    0    0    0    4    0    0    0    0   -    0  0  1  0 99 0.00  0.0    3
  6    0    0    0    2    0    0    0    0   -    0  0  1  0 99 0.00  0.0    2
  7    0    0    0    2    0    0    0    0   -    0  0  1  0 99 0.00  0.0    2
  8  442    0    0    6    3    0    0    2  96  339 45 53  0  1 0.01  0.0   10
  9    0    0    0    2    0    0    0    0   -    0  0  1  0 99 0.00  0.0    2
 10    0    0    0    2    0    0    0    0   -    0  0  0  0 100 0.00  0.0    2
 11    0    0    0    2    0    0    0    0   -    0  0  1  0 99 0.00  0.0    2
 12    0    0    0    2    0    0    0    0   -    0  0 41  0 59 0.00  0.0    1
 13    0    0    0    2    0    0    0    0   -    0  0 39  0 61 0.00  0.0    1
 14    0    0    0    0    0    0    0    0   -    0  0  7  0 93 0.00  0.0    0
 15    0    0    0    0    0    0    0    0   -    0  0  9  0 91 0.00  0.0    0
 16 7271    0    0  193  225   87    1   54  96 713222 63 37  0  0 0.42  0.0  147
 17    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.08  0.0   12
 18    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.08  0.0   12
 19    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.08  0.0   12
 20    0    0    0    2    0    0    0    0   -    0  0 45  0 55 0.00  0.0    1
 21    0    0    0    0    0    0    0    0   -    0  0  3  0 97 0.00  0.0    0
 22    0    0    0    0    0    0    0    0   -    0  0  4  0 96 0.00  0.0    0
 23    0    0    0    0    0    0    0    0   -    0  0  5  0 95 0.00  0.0    0
 24  712    0    0   22    8    1    0    5  95 63465 64 35  0  0 0.04  0.0   22
 25    0    0    0    4    0    0    0    0   -    0  0  0  0 100 0.01  0.0    3
 26    0    0    0    2    0    0    0    0   -    0  0  0  0 100 0.01  0.0    2
 27    0    0    0    2    0    0    0    0   -    0  0  0  0 100 0.01  0.0    2
 28    0    0    0    2    0    0    0    0   -    0  0 40  0 60 0.00  0.0    1
 29    0    0    0    2    0    0    0    0   -    0  0 34  0 66 0.00  0.0    1
 30    0    0    0    0    0    0    0    0   -    0  0  8  0 92 0.00  0.0    0
 31    0    0    0    0    0    0    0    0   -    0  0 10  0 90 0.00  0.0    0
 32  432    0    0    6    1    0    0    1  93  318 44 54  0  2 0.01  0.0   10
 33    0    0    0    4    0    0    0    0   -    0  0  1  0 99 0.00  0.0    3
 34    0    0    0    4    0    0    0    0   -    0  0  1  0 99 0.00  0.0    3
 35    0    0    0    2    0    0    0    0   -    0  0  1  0 99 0.00  0.0    2
 36    0    0    0    2    0    0    0    0   -    0  0 35  0 65 0.00  0.0    1
 37    0    0    0    2    0    0    0    0   -    0  0 33  0 67 0.00  0.0    1
 38    0    0    0    2    0    0    0    0   -    0  0 38  0 62 0.00  0.0    1
 39    0    0    0    0    0    0    0    0   -    0  0 13  0 87 0.00  0.0    0
 40    0    0    0    2    0    0    0    0   -    0  0 43  0 57 0.00  0.0    1
 41    0    0    0    2    0    0    0    0   -    0  0 43  0 57 0.00  0.0    1
 42    0    0    0    0    0    0    0    0   -    0  0  7  0 93 0.00  0.0    0
 43    0    0    0    0    0    0    0    0   -    0  0  9  0 91 0.00  0.0    0
 44    0    0    0   19    0    0    0    0   -    0  0 52  0 48 0.00  0.0   19
 45    0    0    0    2    0    0    0    0   -    0  0  8  0 92 0.00  0.0    1
 46    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 47    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
ALL 15691    0    0  693  511  210    2  126   0 1042080 39 25  0 36 1.07 17.9  544
--------------------------------------------------------------------------------

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 6704    0    0  333  233   76    1   80  94 316331 57 43  0  0 0.23  0.0  219
  1    0    0    0   14    0    0    0    2 100    0  0  0  0 100 0.04  0.0   14
  2    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.04  0.0   14
  3    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.04  0.0   14
  4    0    0    0    2    0    0    0    1 100    0  0 58  0 42 0.00  0.0    1
  5    0    0    0    2    0    0    0    1 100    0  0 38  0 62 0.00  0.0    1
  6    0    0    0    0    0    0    0    1 100    0  0 22  0 78 0.00  0.0    0
  7    0    0    0    0    0    0    0    1 100    0  0 21  0 79 0.00  0.0    0
  8    0    0    0    2    0    0    0    1 100    0  0 54  0 46 0.00  0.0    1
  9    0    0    0    0    0    0    0    1 100    0  0 21  0 79 0.00  0.0    0
 10    0    0    0    0    0    0    0    1 100    0  0 22  0 78 0.00  0.0    0
 11    0    0    0    0    0    0    0    1 100    0  0 17  0 83 0.00  0.0    0
 12    0    0    0    2    0    0    0    1 100    0  0 45  0 55 0.00  0.0    1
 13    0    0    0    2    0    0    0    1 100    0  0 41  0 59 0.00  0.0    1
 14    0    0    0    0    0    0    0    1 100    0  0 31  0 69 0.00  0.0    0
 15    0    0    0    0    0    0    0    1 100    0  0 30  0 70 0.00  0.0    0
 16 8316    0    0  207  150   64    2   67  92 692035 63 37  0  0 0.43  0.0  131
 17    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.08  0.0   14
 18    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.08  0.0   14
 19    0    0    0   14    0    0    0    1 100    0  0  0  0 100 0.08  0.0   14
 20    0    0    0    2    0    0    0    1   0    0  0 50  0 50 0.00  0.0    1
