==== This output can be found in Systems/dx980/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Mon Jul  6 23:15:50 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
 43      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 44      0      0      0      0      0      0      0     -     -     -     -     -     -      0     24     -     -     -     0
 45      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 46      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 47      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
ALL    416    146      1      2      0     73     73  93.9   0.0   0.0   0.0   0.0   6.1     19    488  77.3  22.7   0.0     0
------------------------------------------------------------------------------------------------------------

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0    249     76      0      0      0     56      1  95.9   0.0   0.0   0.0   0.0   4.1      0    227  71.3  28.7   0.0     0
  1      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     18 100.0   0.0   0.0     0
  2      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     18 100.0   0.0   0.0     0
  3      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     18 100.0   0.0   0.0     0
  4      0      0      0      0      0      0      0   0.0   0.0   0.0 100.0   0.0   0.0      1      0 100.0   0.0   0.0     0
  5      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
  6      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
  7      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
  8      0      0      0      0      0      0      0   0.0   0.0   0.0 100.0   0.0   0.0      1      0 100.0   0.0   0.0     0
  9      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 10      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 11      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 12      0      0      0      0      0      0      0   0.0   0.0   0.0 100.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 13      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 14      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 15      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 16    141     61      1      2      0      0     52  93.2   0.0   0.0   0.0   0.0   6.8      0    109  99.9   0.1   0.0     0
 17      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     18   0.0 100.0   0.0     0
 18      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     17   0.0 100.0   0.0     0
 19      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     18   0.0 100.0   0.0     0
 20      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0 100.0   0.0   0.0     0
 21      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 22      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 23      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 24      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0   0.0 100.0   0.0     0
 25      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0   0.0 100.0   0.0     0
 26      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 27      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 28      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0 100.0   0.0   0.0     0
 29      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 30      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 31      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 32      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0   0.0 100.0   0.0     0
 33      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0   0.0 100.0   0.0     0
 34      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0   0.0 100.0   0.0     0
 35      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 36      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0 100.0   0.0   0.0     0
 37      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 38      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 39      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 40      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0   0.0 100.0   0.0     0
 41      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0   0.0 100.0   0.0     0
 42      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 43      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 44      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      0     25 100.0   0.0   0.0     0
 45      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 46      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 47      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
ALL    390    137      1      2      0     56     53  93.0   1.6   0.0   0.1   0.0   5.3     19    468  81.7  18.3   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -d 5 2 Mon Jul  6 23:16:00 GST 2015 ====
