==== This output can be found in Systems/dx976/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Tue Jul  7 13:04:01 CDT 2015 ====
IDENTIFIER TIMESTAMP  T C RESOURCE_NAME  DESCRIPTION
516A2BC4   0507195115 P H hdisk117       CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk120       CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk118       CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk116       CONNECTION FAILURE
516A2BC4   0507195115 P H hdisk115       CONNECTION FAILURE
516A2BC4   0507185115 P H hdisk166       CONNECTION FAILURE
516A2BC4   0507185115 P H hdisk165       CONNECTION FAILURE
516A2BC4   0507185115 P H hdisk164       CONNECTION FAILURE
516A2BC4   0507185115 P H hdisk167       CONNECTION FAILURE
516A2BC4   0507174415 P H hdisk170       CONNECTION FAILURE
516A2BC4   0507174415 P H hdisk171       CONNECTION FAILURE
516A2BC4   0507174415 P H hdisk169       CONNECTION FAILURE
516A2BC4   0507174415 P H hdisk168       CONNECTION FAILURE
BFE4C025   0430033815 P H sysplanar0     UNDETERMINED ERROR
BFE4C025   0430033815 P H sysplanar0     UNDETERMINED ERROR
BFE4C025   0426224215 P H sysplanar0     UNDETERMINED ERROR
BFE4C025   0426224115 P H sysplanar0     UNDETERMINED ERROR
==== EXITED with rc 0 ====
==== END errpt -d H -T PERM Tue Jul  7 13:04:01 CDT 2015 ====
