==== This output can be found in Systems/dx977/perf/mpstat-d.txt ====
==== START mpstat -d Tue Jul  7 00:15:37 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0 11883604214 3264765504      0      0    134 269216777 204784794  92.6   0.4   0.0   3.0   0.0   3.9      0 4899743409  74.6  25.0   0.3     0
  1 666392606 206867016      0      0    253 286619  71110  88.3  11.5   0.0   0.1   0.0   0.1      0 2233093720  89.2  10.6   0.2     0
  2 19011629 10331405      0      0    249   3595   7478  51.4  47.2   0.0   1.4   0.0   0.1 10441900 1810314248  85.9  13.4   0.7     0
  3 17896118 10180004      0      0    384   3266   6917  50.8  47.9   0.0   1.2   0.0   0.1 10136873 1781518390  85.4  13.8   0.7     0
  4 9408911575 2124026138      0      0    826 178115125 241008823  93.2   0.3   0.0   2.1   0.0   4.4      0 4683314129  76.7  22.9   0.3     0
  5 405941543 111852932      0      0      1  97208  48292  89.0  10.8   0.0   0.1   0.0   0.0 62098142 1779899448  91.0   9.0   0.1     0
  6 13608965 5620022      0      0      0   1300   6059  67.0  31.3   0.0   1.6   0.0   0.1 11987151 1490206700  83.1  16.9   0.1     0
  7 13411260 5446720      0      0      2   1361   6256  67.2  31.0   0.0   1.7   0.0   0.1 10999582 1467506008  83.0  16.9   0.1     0
  8 8747501541 2005604949      1      1   1235 161261713 238711730  93.2   0.3   0.0   2.0   0.0   4.5      0 4472890575  75.3  24.4   0.3     0
  9 388060296 115163948      0      0      3  90534  46989  89.2  10.6   0.0   0.1   0.0   0.0 121976738 1702868551  91.0   8.9   0.0     0
 10 14329957 6353583      0      0      0   1761   7218  64.8  33.6   0.0   1.5   0.0   0.1 21033669 1434210539  82.9  17.0   0.1     0
 11 14275603 6159768      0      0      0   1729   6996  65.5  32.7   0.0   1.7   0.0   0.1 18192781 1411360136  83.1  16.9   0.1     0
 12 4615109174 927941206      1      1    118 139474138 67303657  88.6   0.5   0.0   6.5   0.0   4.4      0 2585261825  78.9  20.9   0.2     0
 13 341249286 63645210      0      0     16 171233  50766  88.4  11.4   0.0   0.1   0.0   0.1 67451908 1068323724  94.8   5.1   0.1     0
 14 8700863 3288098      0      0      6   1422   3069  69.4  29.1   0.0   1.5   0.0   0.1 17142804 823234828  93.9   6.0   0.1     0
 15 8238817 3155967      0      0     18   1270   2876  68.6  29.8   0.0   1.5   0.0   0.1 16298705 808857773  93.9   6.0   0.1     0
