==== This output can be found in Systems/dx977/perf/mpstat-i.txt ====
==== START mpstat -i Tue Jul  7 00:15:47 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0 100361010 2329635 2084260659 335265545 1653512396 521192086
  1 3718063 3128329 1732890500 14359672 403266041 71984571
  2  74497 3206822 1705687425 10900018 106832945 11716462
  3 519456 3197364 1684537689 10520286 98716442 10883745
  4 9204981 3009605 1671879202 100425145 1424231247 427280913
  5 244497 3202991 1428470393 9957998 324334391 70794892
  6  73799 3206638 1404645571 9071726 87655135 10714023
  7 557181 3196357 1385941826 8734194 82657649 9838990
  8 5563312 3085341 1614979756 90625396 1031368373 420115910
  9 171936 3204064 1372993039 9667274 310247046 68217751
 10  62393 3206856 1349690880 8946724 87796698 10856091
 11  82295 3206422 1331008226 8491009 82217455 9896211
 12 11417447 2959954 1037637141 19367050 647610995 288282235
 13 123881 3204588 785485632 6501212 236364106 61710982
 14  24148 3207220 769944632 6033726 58019067 6489344
 15  27299 3207150 757793145 5758628 55427370 5986862
 16 2338425 3157072 644577247 7035573 480593593 228136577
 17  83896 3205843 531448457 4551151 181382523 53545554
 18 111766 3205163 520794853 4146544 48420861 6254968
 19  29085 3206921 512064145 3940054 46675110 5663517
 20 1648713 3168280 1417941886 45819055 825385014 300167166
 21  49758 3206769 1237471904 9098463 329072994 84987437
 22  39474 3207239 1213187272 8614082 89861294 11929538
 23  39325 3207238 1193208234 8224001 84087947 10569994
 24 935549 3184448 2086049011 23457545 785672507 251078148
 25  37677 3206211 744466352 6095911 227276500 59639524
 26  24371 3207147 729206315 5696646 60829372 7830187
 27  23591 3207180 716928213 5415911 58009443 6970021
 28 4031417 3122194 2087585688 15577416 593988718 174937023
 29 2590808 3152111 319870191 3057370 121223951 40806583
 30  19310 3207002 312599363 2785181 38055225 4413869
 31  94513 3205404 306898180 2655098 36817858 4049062
 32 252696 3201908 420156097 4745595 325124877 136996521
 33  10788 3207235 332813754 3134398 123319311 41082889
 34   8919 3207246 325584626 2804974 40455276 4595342
 35   9007 3207243 319331622 2735667 38924669 4069453
 36 106582 3203263 544270489 5177220 323505745 163896615
 37  20700 3206712 491892251 4572540 179285314 61779353
 38  14148 3207209 480776319 4219338 56143934 8166201
 39  13980 3207214 471430534 4127110 52150729 6855103
 40 2544891 3152535 365701562 4385460 236910128 137678709
 41 662658 3193212 292885877 2942357 113901247 38130537
 42 112814 3205006 285739537 2636823 37626551 4894400
 43 1518948 3175086 280104578 2536574 36168825 4352773
 44 2294314 3158302 375020659 3873954 247940811 124316621
 45  71624 3205802 252678482 2544957 92046487 31528335
 46  14200 3207078 246632482 2300330 34997457 3674516
 47   6670 3207240 241892989 2239075 33944330 3310661
ALL 151986812 151967849 42419054885 865771976 12670055957 4032268265
==== EXITED with rc 0 ====
==== END mpstat -i Tue Jul  7 00:15:47 GST 2015 ====
