==== This output can be found in Systems/dx977/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Tue Jul  7 00:16:42 GST 2015 ====

AIX DX977 1 7 00F92EEC4C00    07/07/15

System configuration: lcpu=48 ent=6.00 mode=Uncapped 

00:16:42 cpu    %usr    %sys    %wio   %idle   physc   %entc
00:16:47  0       64      36       0       0    0.47     7.8
          1        0       2       0      98    0.09     1.5
          2        0       2       0      98    0.09     1.5
          3        0       2       0      98    0.09     1.5
          4       89      10       0       0    0.50     8.3
          5        0       2       0      98    0.09     1.5
          6        0       2       0      98    0.09     1.5
          7        0       2       0      98    0.09     1.5
          8       80      19       0       0    0.39     6.4
          9        1       2       2      95    0.07     1.1
          10        0       2       0      98    0.07     1.1
          11        0       2       0      98    0.07     1.1
          12       66      32       0       1    0.04     0.7
          13        0       2       0      98    0.01     0.2
          14        0       2       0      98    0.02     0.3
          15        0       1       0      99    0.02     0.3
          16       95       4       1       0    0.05     0.8
          17        0       1       0      99    0.02     0.3
          18        0       1       0      99    0.02     0.3
          19        0       1       0      99    0.02     0.3
          20       38      50       0      12    0.03     0.5
          21        0      17       0      83    0.01     0.2
          22        0      14       0      86    0.01     0.2
          23        0      14       0      86    0.01     0.2
          24       52      37       0      11    0.02     0.3
          25        0       2       0      98    0.01     0.1
          26        0       3       0      97    0.01     0.1
          27        0       3       0      97    0.01     0.1
          28       62      36       0       1    0.09     1.5
          29        0       1       0      99    0.03     0.4
          30        0       1       0      99    0.03     0.4
          31        0       1       0      99    0.03     0.4
          32       32      61       0       8    0.00     0.1
          33        0      11       0      89    0.00     0.0
          34        0      10       0      90    0.00     0.0
          35        0      10       0      90    0.00     0.0
          36       32      61       0       7    0.01     0.1
          37        0      13       0      87    0.00     0.0
          38        0      11       0      89    0.00     0.0
          39        0       9       0      91    0.00     0.0
          40       27      60       0      13    0.00     0.0
          41        0      15       0      85    0.00     0.0
          42        0      17       0      83    0.00     0.0
          43        0      15       0      85    0.00     0.0
          44       32      55       0      12    0.00     0.1
          45        0      15       0      85    0.00     0.0
          46        0      13       0      87    0.00     0.0
          47        0      13       0      87    0.00     0.0
          U        -       -       1      61    3.43    57.2
          -       18       6       1      75    2.57    42.8
00:16:52  0       64      36       0       0    0.48     8.1
          1        0       2       0      98    0.09     1.5
          2        0       1       0      99    0.09     1.5
          3        0       1       0      99    0.09     1.5
          4       92       7       0       0    0.53     8.8
          5        0       1       0      99    0.09     1.6
          6        0       1       0      99    0.09     1.6
          7        0       1       0      99    0.09     1.6
          8       83      15       0       1    0.37     6.2
          9       46       1       0      52    0.12     2.0
          10        0       2       0      98    0.07     1.2
          11        7       2       0      91    0.07     1.2
          12       80      19       0       1    0.04     0.7
          13        0       2       0      98    0.01     0.1
          14        0       2       0      98    0.01     0.1
          15        0       2       0      98    0.01     0.1
          16       95       5       0       0    0.30     5.1
          17        0       1       0      99    0.04     0.6
          18        0       1       0      99    0.04     0.6
          19        0       1       0      99    0.04     0.7
          20       41      53       0       6    0.05     0.8
          21        0      10       0      90    0.01     0.2
          22        0       9       0      91    0.01     0.2
          23        0       9       0      91    0.01     0.2
          24       88      11       0       1    0.18     3.0
          25       12       3       1      84    0.04     0.7
          26        0       2       0      98    0.03     0.5
          27        0       2       0      98    0.03     0.5
          28       62      37       0       1    0.09     1.4
          29        0       1       0      99    0.02     0.3
          30        0       1       0      99    0.02     0.3
          31        0       1       0      99    0.02     0.3
          32       90       9       0       1    0.03     0.5
          33        0       2       0      98    0.01     0.1
          34        0       2       0      98    0.01     0.1
          35        0       2       0      98    0.01     0.1
          36       37      55       0       7    0.00     0.1
          37        0      12       0      88    0.00     0.0
          38        0      12       0      88    0.00     0.0
          39        0      13       0      87    0.00     0.0
          40       98       2       0       0    0.06     1.0
          41        0       1       0      99    0.01     0.2
          42        0       1       0      99    0.01     0.2
          43        0       1       0      99    0.01     0.2
          44       35      51       0      13    0.00     0.0
          45        0      17       0      83    0.00     0.0
          46        0      15       0      85    0.00     0.0
          47        0      15       0      85    0.00     0.0
          U        -       -       1      62    2.67    44.4
          -       20       4       1      75    3.33    55.6
00:16:57  0       64      36       0       0    0.48     8.0
          1        0       1       0      99    0.09     1.5
          2        0       1       0      99    0.09     1.5
          3        0       1       1      97    0.09     1.5
          4       95       5       0       0    0.48     8.1
          5        0       1       2      96    0.09     1.5
          6        0       1       0      99    0.09     1.4
          7        0       1       0      99    0.09     1.4
          8       85      14       0       1    0.37     6.2
          9       21       2       0      76    0.09     1.5
          10        0       1       0      99    0.07     1.2
          11        0       1       0      99    0.07     1.2
          12       71      28       0       0    0.09     1.5
          13        0       1       0      99    0.02     0.3
          14        0       1       0      99    0.02     0.3
          15        0       1       0      99    0.02     0.3
          16       90       9       0       0    0.38     6.3
          17        0       1       0      99    0.08     1.3
          18        0       1       0      99    0.08     1.3
          19        0       1       0      99    0.08     1.3
          20       73      24       0       3    0.10     1.6
          21        0       6       0      94    0.02     0.3
          22        0       6       0      94    0.02     0.3
          23        0       5       0      95    0.02     0.3
          24       89       9       0       1    0.13     2.2
          25        0       1       0      99    0.03     0.5
          26        0       1       0      99    0.03     0.6
          27        0       1       0      99    0.03     0.6
          28       68      30       1       1    0.06     0.9
          29        0       2       0      98    0.01     0.2
          30        0       1       0      99    0.01     0.2
          31        0       1       0      99    0.01     0.2
          32       55      41       0       3    0.01     0.2
          33        0       8       0      92    0.00     0.0
          34        0       7       0      93    0.00     0.1
          35        0       5       0      95    0.00     0.1
          36       45      47       0       8    0.01     0.1
          37        0      14       0      86    0.00     0.0
          38        0      11       0      89    0.00     0.0
          39        0      12       0      88    0.00     0.0
          40       87      10       0       2    0.04     0.7
          41        0       2       0      98    0.01     0.2
          42        0       2       0      98    0.01     0.2
          43        0       2       0      98    0.01     0.2
          44       95       5       0       0    0.10     1.7
          45        0       1       0      99    0.02     0.3
          46        0       1       0      99    0.02     0.3
          47        0       1       0      99    0.02     0.3
          U        -       -       1      42    2.40    40.0
          -       30       7       1      62    3.60    60.0

Average   0       64      36       0       0    0.48     8.0
          1        0       2       0      98    0.09     1.5
          2        0       2       0      98    0.09     1.5
          3        0       1       0      98    0.09     1.5
          4       92       7       0       0    0.50     8.4
          5        0       2       1      98    0.09     1.5
          6        0       1       0      99    0.09     1.5
          7        0       1       0      99    0.09     1.5
          8       83      16       0       1    0.38     6.3
          9       27       2       1      71    0.09     1.5
          10        0       2       0      98    0.07     1.1
          11        2       2       0      96    0.07     1.2
          12       72      27       0       1    0.06     1.0
          13        0       1       0      99    0.01     0.2
          14        0       1       0      99    0.01     0.2
          15        0       1       0      99    0.01     0.2
          16       93       7       0       0    0.24     4.0
          17        0       1       0      99    0.05     0.8
          18        0       1       0      99    0.05     0.8
          19        0       1       0      99    0.05     0.8
          20       58      37       0       5    0.06     1.0
          21        0      10       0      90    0.01     0.2
          22        0       9       0      91    0.01     0.2
          23        0       9       0      91    0.01     0.2
          24       87      11       0       2    0.11     1.9
          25        7       2       1      90    0.03     0.4
          26        0       2       0      98    0.03     0.4
          27        0       2       0      98    0.03     0.4
          28       63      35       0       1    0.08     1.3
          29        0       1       0      99    0.02     0.3
          30        0       1       0      99    0.02     0.3
          31        0       1       0      99    0.02     0.3
          32       75      23       0       2    0.02     0.3
          33        0       4       0      96    0.00     0.1
          34        0       4       0      96    0.00     0.1
          35        0       4       0      96    0.00     0.1
          36       39      54       0       7    0.00     0.1
          37        0      13       0      87    0.00     0.0
          38        0      11       0      89    0.00     0.0
          39        0      11       0      89    0.00     0.0
          40       92       6       0       1    0.03     0.6
          41        0       2       0      98    0.01     0.1
          42        0       2       0      98    0.01     0.1
          43        0       2       0      98    0.01     0.1
          44       91       8       0       1    0.03     0.5
          45        0       3       0      97    0.01     0.1
          46        0       2       0      98    0.01     0.1
          47        0       3       0      97    0.01     0.1
          U        -       -       1      56    2.84    47.3
          -       22       5       1      71    3.16    52.7
==== EXITED with rc 0 ====
==== END sar -P ALL 5 3 Tue Jul  7 00:16:57 GST 2015 ====
