==== This output can be found in Systems/dx977/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Tue Jul  7 00:15:27 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 4182    0    0  569  566  283    1  202  95 334406 73 27  0  0 0.49  0.0  200
  1    0    0    0  258    2    1    0    6 100 5571  5  3  0 92 0.10  0.0  254
  2    0    0    0  166    0    0    0    3 100    0  0  2  0 98 0.09  0.0  166
  3    0    0    0  165    0    0    0    5 100    0  0  2  0 98 0.09  0.0  165
  4 3942    0    0  425  528  176    1  109  96 96093 79 21  0  0 0.40  0.0  249
  5    0    0    0  168    0    0    0    0   -    0  0  2  0 98 0.07  0.0  168
  6    0    0    0  166    0    0    0    0   -    0  0  2  0 98 0.07  0.0  166
  7    0    0    0  166    0    0    0    0   -    0  0  2  0 98 0.07  0.0  166
  8 2998    0    0  311 1782  650    0  153  98 120555 76 23  0  1 0.32  0.0  914
  9    0    0    0  168    0    0    0    0   -    7  0  2  0 98 0.06  0.0  168
 10    0    0    0  165    0    0    0    0   -    0  0  2  0 98 0.06  0.0  165
 11    0    0    0  163    0    0    0    0   -    0  0  2  0 98 0.06  0.0  163
 12 1367    0    0  214   73   23    0   49  97 218750 67 32  0  0 0.15  0.0  152
 13    0    0    0   67    0    0    0    0 100 4863  6  4  0 90 0.03  0.0   66
 14    0    0    0   39    0    0    0    0   -    0  0  2  0 98 0.09  0.0   40
 15    0    0    0   39    0    0    0    0   -    0  0  1  0 99 0.09  0.0   40
 16    0    0    0    2    0    0    0    0   -    0  0 56  0 44 0.00  0.0    1
 17    0    0    0    0    0    0    0    0   -    0  0  1  0 99 0.00  0.0    0
 18    0    0    0    0    0    0    0    0   -    0  0  1  0 99 0.00  0.0    0
 19    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 20  287    0    0  124   13    1    0    3  96  272 34 56  0  9 0.01  0.0  127
 21    0    0    0    6    0    0    0    0   -    0  0  4  0 96 0.00  0.0    6
 22    0    0    0    5    0    0    0    0   -    0  0  2  0 98 0.00  0.0    5
 23    0    0    0    5    0    0    0    0   -    0  0  3  0 97 0.00  0.0    5
 24    0    0    0  268    0    0    0    0   -    0  0 73  0 27 0.00  0.0  267
 25    0    0    0    2    0    0    0    0   -    0  0  0  0 100 0.00  0.0    1
 26    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 27    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 28    0    0    0  227    0    0    0    0   -    0  0 73  0 27 0.00  0.0  226
 29    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.01  0.0    0
 30    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.01  0.0    0
 31    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.01  0.0    0
