==== This output can be found in Systems/dx979/os/ps_auxw.txt ====
==== START ps auxw Tue Jul  7 00:28:54 GST 2015 ====
USER          PID %CPU %MEM   SZ  RSS    TTY STAT    STIME  TIME COMMAND
oracle   63373804  0.8  0.0 259516 218952      - A    16:34:28 172:46 oracleGPRS (LOCAL=NO) 
oracle   13303842  0.2  0.0 207356 166792      - A    21:17:46 15:45 oracleGPRS (LOCAL=NO) 
root      1179692  0.1  0.0  448  448      - A      Jun 12 2312:55 wait
root      1114154  0.1  0.0  448  448      - A      Jun 12 2309:19 wait
root      1048616  0.1  0.0  448  448      - A      Jun 12 2307:52 wait
root      3604786  0.1  0.0 1352 1532      - A      Jun 12 1499:13 /usr/sbin/snmpd 
root       328004  0.1  0.0  448  448      - A      Jun 12 1358:01 wait
root       262466  0.1  0.0  448  448      - A      Jun 12 1355:25 wait
root       196928  0.1  0.0  448  448      - A      Jun 12 1320:49 wait
oracle   23527870  0.1  0.0 198972 158408      - A    18:55:38 10:39 oracleGPRS (LOCAL=NO) 
root       328308  0.1  0.0  448  448      - A      Jun 12 885:17 wait
root       262770  0.1  0.0  448  448      - A      Jun 12 878:44 wait
root       197232  0.0  0.0  448  448      - A      Jun 12 729:37 wait
root       786464  0.0  0.0 2624 2624      - A      Jun 12 698:43 vtiol
root       983582  0.0  0.0 5696 5696      - A      Jun 12 613:45 kbiod
root      1441844  0.0  0.0  448  448      - A      Jun 12 524:53 wait
root      1376306  0.0  0.0  448  448      - A      Jun 12 523:44 wait
root      1310768  0.0  0.0  448  448      - A      Jun 12 516:31 wait
oracle   55640314  0.0  0.0 200892 160328      - A    23:48:17  0:34 oracleGPRS (LOCAL=NO) 
oracle   20578888  0.0  0.0 227068 186504      - A      Jun 29 127:00 ora_dia0_GPRS 
gprsgg   10486026  0.0  0.0 47368 47432      - A      Jun 29 119:41 /usr/java71_64/bin/java -Djava.util.logging.config.class=oracle.co
oracle   32637528  0.0  0.0 198652 158088      - A    23:48:09  0:28 oracleGPRS (LOCAL=NO) 
oracle   16515292  0.0  0.0 200956 160392      - A    23:48:11  0:27 oracleGPRS (LOCAL=NO) 
oracle   36765790  0.0  0.0 198716 158152      - A    23:48:07  0:27 oracleGPRS (LOCAL=NO) 
gprsgg   30933230  0.0  0.0 93368 103808      - A      Jun 29 112:03 /gprs_gg/goldengate/app/gprsgg/product/12.1.2/oggcore_1/extract PA
oracle   17563868  0.0  0.0 198716 158152      - A    23:48:15  0:26 oracleGPRS (LOCAL=NO) 
oracle    8257670  0.0  0.0 198652 158088      - A    23:48:13  0:26 oracleGPRS (LOCAL=NO) 
oracle   54002164  0.0  0.0 198396 157832      - A    23:48:19  0:25 oracleGPRS (LOCAL=NO) 
root       589850  0.0  0.0  640  640      - A      Jun 12 351:32 reaffin
root       131694  0.0  0.0  448  448      - A      Jun 12 300:08 wait
root       590164  0.0  0.0  448  448      - A      Jun 12 299:53 wait
root       524626  0.0  0.0  448  448      - A      Jun 12 299:00 wait
root      1703996  0.0  0.0  448  448      - A      Jun 12 287:34 wait
root      1638458  0.0  0.0  448  448      - A      Jun 12 286:49 wait
root      1572920  0.0  0.0  448  448      - A      Jun 12 282:23 wait
root       459088  0.0  0.0  448  448      - A      Jun 12 279:25 wait
oracle   39387272  0.0  0.0 219964 179400      - A    14:58:46  3:09 oracleGPRS (LOCAL=NO) 
root      1966156  0.0  0.0  448  448      - A      Jun 12 189:46 wait
root      1900618  0.0  0.0  448  448      - A      Jun 12 189:12 wait
root       852324  0.0  0.0  448  448      - A      Jun 12 187:05 wait
root       786786  0.0  0.0  448  448      - A      Jun 12 186:23 wait
oracle   62652692  0.0  0.0 199036 158472      - A    23:47:01  0:13 oracleGPRS (LOCAL=NO) 
oracle    9175586  0.0  0.0 198908 158344      - A    23:47:00  0:13 oracleGPRS (LOCAL=NO) 
oracle    9699934  0.0  0.0 198908 158344      - A    23:46:59  0:13 oracleGPRS (LOCAL=NO) 
oracle   22806982  0.0  0.0 198908 158344      - A    23:46:58  0:13 oracleGPRS (LOCAL=NO) 
root      1835080  0.0  0.0  448  448      - A      Jun 12 185:57 wait
root      2752644  0.0  0.0  448  448      - A      Jun 12 177:59 wait
oracle   54853810  0.0  0.0 198588 158024      - A    23:48:21  0:12 oracleGPRS (LOCAL=NO) 
root      2621568  0.0  0.0  448  448      - A      Jun 12 177:10 wait
oracle   28967374  0.0  0.0 218620 178056      - A      Jun 29 49:53 ora_lgwr_GPRS 
oracle   36110972  0.0  0.0 199036 158472      - A    23:47:02  0:12 oracleGPRS (LOCAL=NO) 
root      2687106  0.0  0.0  448  448      - A      Jun 12 171:54 wait
root       721248  0.0  0.0  448  448      - A      Jun 12 171:53 wait
oracle   43581882  0.0  0.0 198588 158024      - A    23:47:23  0:11 oracleGPRS (LOCAL=NO) 
oracle   28901870  0.0  0.0 198460 157896      - A    23:47:22  0:11 oracleGPRS (LOCAL=NO) 
oracle   61341812  0.0  0.0 198460 157896      - A    23:47:21  0:11 oracleGPRS (LOCAL=NO) 
oracle    7144164  0.0  0.0 198524 157960      - A    23:47:12  0:11 oracleGPRS (LOCAL=NO) 
root       131390  0.0  0.0  448  448      - A      Jun 12 152:28 wait
oracle   47055036  0.0  0.0 198908 158344      - A    23:47:24  0:10 oracleGPRS (LOCAL=NO) 
oracle   11665722  0.0  0.0 198908 158344      - A    23:47:15  0:10 oracleGPRS (LOCAL=NO) 
root       131076  0.0  0.0  448  448      - A      Jun 12 143:57 wait
oracle   41812586  0.0  0.0 198588 158024      - A    23:47:13  0:10 oracleGPRS (LOCAL=NO) 
oracle   27984624  0.0  0.0 198524 157960      - A    23:47:11  0:10 oracleGPRS (LOCAL=NO) 
oracle   30605844  0.0  0.0 198460 157896      - A    23:46:51  0:10 oracleGPRS (LOCAL=NO) 
oracle   31654374  0.0  0.0 198780 158216      - A    23:46:48  0:10 oracleGPRS (LOCAL=NO) 
oracle   44433966  0.0  0.0 198396 157832      - A    23:46:47  0:10 oracleGPRS (LOCAL=NO) 
oracle   25624848  0.0  0.0 196220 155656      - A      Jun 29 40:24 ora_mmnl_GPRS 
oracle   12255512  0.0  0.0 198588 158024      - A    23:47:50  0:09 oracleGPRS (LOCAL=NO) 
oracle   47383224  0.0  0.0 198908 158344      - A    23:47:44  0:09 oracleGPRS (LOCAL=NO) 
oracle   22151660  0.0  0.0 198332 157768      - A    23:47:43  0:09 oracleGPRS (LOCAL=NO) 
oracle   24117542  0.0  0.0 198524 157960      - A    23:47:41  0:09 oracleGPRS (LOCAL=NO) 
oracle   41877912  0.0  0.0 198844 158280      - A    23:47:40  0:09 oracleGPRS (LOCAL=NO) 
oracle   15204930  0.0  0.0 198460 157896      - A    23:47:37  0:09 oracleGPRS (LOCAL=NO) 
oracle   51445970  0.0  0.0 198716 158152      - A    23:47:35  0:09 oracleGPRS (LOCAL=NO) 
oracle    5505346  0.0  0.0 198396 157832      - A    23:47:34  0:09 oracleGPRS (LOCAL=NO) 
oracle   23724198  0.0  0.0 198460 157896      - A    23:47:32  0:09 oracleGPRS (LOCAL=NO) 
oracle   17498160  0.0  0.0 198908 158344      - A    23:47:31  0:09 oracleGPRS (LOCAL=NO) 
oracle   30736722  0.0  0.0 198908 158344      - A    23:47:30  0:09 oracleGPRS (LOCAL=NO) 
oracle   38732190  0.0  0.0 198460 157896      - A    23:47:28  0:09 oracleGPRS (LOCAL=NO) 
oracle   48366022  0.0  0.0 198396 157832      - A    23:47:27  0:09 oracleGPRS (LOCAL=NO) 
oracle   52756536  0.0  0.0 198268 157704      - A    23:47:26  0:09 oracleGPRS (LOCAL=NO) 
oracle   44302348  0.0  0.0 198780 158216      - A    23:47:18  0:09 oracleGPRS (LOCAL=NO) 
oracle   41549932  0.0  0.0 198332 157768      - A    23:47:17  0:09 oracleGPRS (LOCAL=NO) 
oracle   48103634  0.0  0.0 198460 157896      - A    23:47:16  0:09 oracleGPRS (LOCAL=NO) 
oracle   35651808  0.0  0.0 198332 157768      - A    23:47:14  0:09 oracleGPRS (LOCAL=NO) 
oracle   40632600  0.0  0.0 198652 158088      - A    23:47:10  0:09 oracleGPRS (LOCAL=NO) 
oracle    7209026  0.0  0.0 198460 157896      - A    23:47:09  0:09 oracleGPRS (LOCAL=NO) 
oracle   52298018  0.0  0.0 198844 158280      - A    23:47:04  0:09 oracleGPRS (LOCAL=NO) 
oracle   19726844  0.0  0.0 198332 157768      - A    23:46:49  0:09 oracleGPRS (LOCAL=NO) 
oracle   38077052  0.0  0.0 198588 158024      - A    23:46:44  0:09 oracleGPRS (LOCAL=NO) 
oracle   31719624  0.0  0.0 198908 158344      - A    23:48:05  0:08 oracleGPRS (LOCAL=NO) 
oracle   11206708  0.0  0.0 198524 157960      - A    23:48:02  0:08 oracleGPRS (LOCAL=NO) 
oracle   17170732  0.0  0.0 198204 157640      - A    23:48:01  0:08 oracleGPRS (LOCAL=NO) 
oracle   58458124  0.0  0.0 198908 158344      - A    23:47:53  0:08 oracleGPRS (LOCAL=NO) 
oracle   48365672  0.0  0.0 198460 157896      - A    23:47:52  0:08 oracleGPRS (LOCAL=NO) 
oracle    8650760  0.0  0.0 198780 158216      - A    23:47:51  0:08 oracleGPRS (LOCAL=NO) 
oracle   13107452  0.0  0.0 198268 157704      - A    23:47:49  0:08 oracleGPRS (LOCAL=NO) 
oracle   42205718  0.0  0.0 198204 157640      - A    23:47:47  0:08 oracleGPRS (LOCAL=NO) 
oracle    9503008  0.0  0.0 198268 157704      - A    23:47:46  0:08 oracleGPRS (LOCAL=NO) 
oracle   30671278  0.0  0.0 198588 158024      - A    23:47:45  0:08 oracleGPRS (LOCAL=NO) 
oracle   48627806  0.0  0.0 198716 158152      - A    23:47:39  0:08 oracleGPRS (LOCAL=NO) 
oracle   27590800  0.0  0.0 198396 157832      - A    23:47:38  0:08 oracleGPRS (LOCAL=NO) 
oracle   13172890  0.0  0.0 198524 157960      - A    23:47:33  0:08 oracleGPRS (LOCAL=NO) 
oracle   31129734  0.0  0.0 198844 158280      - A    23:47:29  0:08 oracleGPRS (LOCAL=NO) 
oracle   63176976  0.0  0.0 198908 158344      - A    23:47:07  0:08 oracleGPRS (LOCAL=NO) 
oracle    9568756  0.0  0.0 198908 158344      - A    23:47:06  0:08 oracleGPRS (LOCAL=NO) 
oracle   56820170  0.0  0.0 198908 158344      - A    23:47:05  0:08 oracleGPRS (LOCAL=NO) 
oracle   50987206  0.0  0.0 198908 158344      - A    23:47:03  0:08 oracleGPRS (LOCAL=NO) 
oracle   57081892  0.0  0.0 198332 157768      - A    23:46:50  0:08 oracleGPRS (LOCAL=NO) 
oracle   30278092  0.0  0.0 198652 158088      - A    23:46:45  0:08 oracleGPRS (LOCAL=NO) 
oracle   13894310  0.0  0.0 198396 157832      - A    23:46:43  0:08 oracleGPRS (LOCAL=NO) 
oracle   11731390  0.0  0.0 198588 158024      - A    23:46:42  0:08 oracleGPRS (LOCAL=NO) 
oracle   49545886  0.0  0.0 198844 158280      - A    23:46:41  0:08 oracleGPRS (LOCAL=NO) 
oracle   31523250  0.0  0.0 216124 175560      - A      Jun 29 30:55 ora_dbw0_GPRS 
oracle   21824030  0.0  0.0 206716 166152      - A      Jul 05  7:02 oracleGPRS (LOCAL=NO) 
root      1114492  0.0  0.0  448  448      - A      Jun 12 107:23 wait
root      1048954  0.0  0.0  448  448      - A      Jun 12 107:00 wait
