==== This output can be found in Systems/dx979/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:29:24 GST 2015 ====

System configuration: lcpu=48 drives=524 ent=6.00 paths=0 vdisks=10 maxserver=1440

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
      4.7  0.0   469     0    131072             2.3   1.0   94.4      2.3   0.3    5.1

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk335         0.0       0.0       0.0       1027         0
hdisk102         0.2      20.4       0.2   110583984  112448068
hdisk104         0.2       1.2       0.1      34369  12856140
hdisk451         0.0       0.0       0.0         26         0
hdisk105         0.0       0.0       0.0        802         0
hdisk109         0.0       8.3       0.0   91069123     15460
hdisk450         0.0       0.0       0.0         26         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk111         2.1     315.4       0.7   3437348855  12169772
hdisk106         0.1       0.1       0.0     541726    147829
hdisk108         0.0       8.3       0.0   91198531         4
hdisk112         2.2     378.1       0.8   4124705715  11648804
hdisk113         2.0     290.6       0.7   3166984977  11997344
hdisk110         2.0     302.4       0.7   3295533927  12194104
hdisk114         2.4     560.3       1.0   6116609737  11964020
hdisk122         2.2     374.0       0.8   4078895833  12369428
hdisk116         1.9     254.7       0.7   2773894251  11933104
hdisk120         2.2     349.2       0.8   3807546034  12685500
hdisk119         2.1     316.2       0.8   3445712183  12760428
hdisk121         2.0     290.3       0.8   3163081844  12516204
hdisk117         2.1     320.1       0.8   3488685047  12622984
hdisk128         1.4      20.9       1.2   133486291  95306384
hdisk107         0.0       0.2       0.0    1236388    575980
hdisk115         2.1     339.9       0.8   3706252277  11815448
hdisk125         2.0     307.6       0.7   3352199459  12512768
hdisk126         1.3      20.9       1.2   132519124  96344424
hdisk127         1.4      21.1       1.2   132914643  98241588
hdisk124         2.4     468.1       0.9   5107130572  12670068
hdisk123         2.3     424.8       0.9   4633601854  13196864
hdisk129         1.3      21.0       1.2   132812668  97207204
hdisk133         0.2      58.0       0.1   473874118  160096236
hdisk130         1.4      21.2       1.2   134063168  97467152

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk118         2.0     281.4       0.7   3065638800  12733976
hdisk131         1.3      21.0       1.2   132662255  97002736
hdisk135         0.2      58.4       0.1   478595690  160110396
hdisk132         0.2      58.1       0.1   474594872  160466896
hdisk136         0.2      58.3       0.1   477802273  160284280
hdisk134         0.2      58.2       0.1   475629190  160642656
hdisk139         0.0       0.3       0.0     154203   3161912
hdisk343         0.0       2.0       0.0   10847454  11196752
hdisk345         0.0       0.0       0.0        805         4
hdisk138         0.0       0.3       0.1     179430   3637392
hdisk347         0.0       0.0       0.0        796         0
hdisk344         0.0       0.0       0.0      36996         8
hdisk342         0.0       2.0       0.0   10614548  10952648
hdisk346         0.0       0.0       0.0        800         0
hdisk140         0.0       0.0       0.0      17286         8
hdisk352         0.0       0.0       0.0        798         0
hdisk143         0.2      20.3       0.2   110248606  111799292
hdisk137         0.2      58.1       0.1   475350747  160318396
hdisk348         0.0       0.0       0.0        793         0
hdisk142         0.2      20.3       0.2   109931638  111645868
hdisk141         0.0       0.0       0.0        798     15144
hdisk419         0.1       2.7       0.1   23146718   6336156
hdisk350         0.0       0.0       0.0        814     15108
hdisk351         0.0       0.0       0.0        805         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk349         0.0       0.0       0.0        803         0
hdisk0           0.0       0.0       0.0       1295         0
hdisk1           0.1       0.1       0.0     508879    144878
hdisk418         0.0       1.1       0.0   11890195    127504
