==== This output can be found in Systems/dx979/os/fileprint_var_adm_sulog.txt ====
==== START fileprint /var/adm/sulog Tue Jul  7 00:29:09 GST 2015 ====
==== BEGIN Contents of /var/adm/sulog ====
SU 03/09 12:02 + pts/1 root-oracle
SU 03/09 12:02 + pts/1 root-oracle
SU 03/10 12:38 + pts/2 root-oracle
SU 03/12 11:00 + pts/2 root-oracle
SU 03/12 12:11 + pts/5 root-oracle
SU 03/12 13:09 + pts/0 root-oracle
SU 03/12 13:11 + pts/6 root-oracle
SU 03/19 14:08 + pts/2 root-oracle
SU 03/19 14:27 + tty?? root-pconsole
SU 03/19 14:36 + tty?? root-pconsole
SU 03/19 16:08 + pts/0 root-oracle
SU 03/19 17:28 + pts/1 root-oracle
SU 03/19 17:43 + pts/1 root-oracle
SU 03/19 18:19 + pts/1 root-oracle
SU 03/19 18:20 + pts/1 root-oracle
SU 03/19 20:17 + vty0 root-oracle
SU 03/19 20:20 + vty0 root-oracle
SU 03/19 21:04 + pts/0 root-oracle
SU 03/19 21:11 + vty0 root-root
SU 03/19 21:16 + vty0 root-root
SU 03/19 21:23 + vty0 root-root
SU 03/19 21:23 + vty0 root-root
SU 03/19 21:35 + vty0 root-root
SU 03/19 21:35 + vty0 root-root
SU 03/20 20:33 + pts/1 root-root
SU 03/20 20:33 + pts/1 root-root
SU 03/20 20:34 + pts/0 root-oracle
SU 03/20 21:00 + pts/1 root-oracle
SU 03/20 21:00 + pts/1 root-oracle
SU 03/20 21:01 + pts/1 root-oracle
SU 03/20 21:01 + pts/1 root-oracle
SU 03/20 21:07 + pts/1 root-oracle
SU 03/20 21:12 + pts/1 root-oracle
SU 03/20 21:12 + pts/1 root-oracle
SU 03/20 21:12 + pts/1 root-oracle
SU 03/20 21:12 + pts/1 root-oracle
SU 03/20 21:12 + pts/1 root-oracle
SU 03/24 14:45 + pts/5 root-oracle
SU 03/24 21:52 + pts/7 root-oracle
SU 03/26 12:58 + pts/7 root-gprsgg
SU 03/26 18:38 + tty?? root-pconsole
SU 03/26 19:07 + tty?? root-pconsole
SU 03/26 23:54 + tty?? root-pconsole
SU 03/27 00:03 + tty?? root-pconsole
SU 03/27 00:53 + tty?? root-pconsole
SU 03/27 01:02 + tty?? root-pconsole
SU 03/27 07:42 + tty?? root-pconsole
SU 03/27 07:50 + tty?? root-pconsole
SU 03/27 07:53 + tty?? root-pconsole
SU 03/27 08:02 + tty?? root-pconsole
SU 03/27 08:33 + vty0 root-oracle
SU 03/27 08:35 + vty0 root-oracle
SU 03/27 14:33 + pts/0 root-oracle
SU 03/27 14:37 + pts/0 root-oracle
SU 03/27 14:46 + pts/0 root-oracle
SU 03/27 14:55 + pts/0 root-oracle
SU 03/27 14:55 + pts/0 root-oracle
SU 03/27 14:59 + pts/0 root-oracle
SU 03/27 14:59 + pts/0 root-oracle
SU 03/27 15:01 + pts/0 root-oracle
SU 03/27 15:05 + pts/0 root-oracle
SU 03/27 15:17 + pts/0 root-oracle
SU 03/27 15:19 + pts/0 root-oracle
SU 03/27 18:05 + pts/0 root-oracle
SU 03/27 21:47 + vty0 root-oracle
SU 03/27 21:48 + vty0 root-oracle
SU 03/27 21:54 + vty0 root-oracle
SU 03/27 22:04 + vty0 root-oracle
SU 03/27 22:06 + vty0 root-oracle
SU 03/27 22:15 + tty?? root-oracle
SU 03/27 22:18 + tty?? root-oracle
SU 03/27 22:25 + tty?? root-oracle
SU 03/28 11:23 + pts/0 root-oracle
SU 03/28 13:41 + pts/1 root-oracle
SU 03/28 23:35 + pts/2 root-oracle
SU 03/29 10:19 + pts/3 root-oracle
SU 03/29 11:02 + pts/6 root-oracle
SU 03/29 16:52 + tty?? root-oracle
SU 03/29 18:35 + tty?? root-oracle
SU 03/30 09:44 + pts/4 root-oracle
SU 03/30 09:52 + pts/0 root-oracle
SU 03/30 11:10 + pts/2 root-oracle
SU 03/30 14:17 + pts/4 root-oracle
SU 03/30 16:42 - pts/7 test-gprsgg
SU 03/30 16:44 + pts/5 test-gprsgg
SU 03/30 17:04 + pts/7 root-oracle
SU 03/30 17:50 + pts/5 root-oracle
SU 03/31 14:02 + pts/15 root-oracle
SU 03/31 14:09 + pts/14 root-oracle
SU 03/31 14:23 + pts/14 root-oracle
SU 03/31 15:54 + tty?? root-oracle
SU 03/31 16:00 + tty?? root-pconsole
SU 04/01 09:31 + tty?? root-pconsole
SU 04/01 09:38 + tty?? root-pconsole
SU 04/01 09:47 + tty?? root-pconsole
SU 04/01 11:23 + pts/4 root-oracle
SU 04/01 11:55 + tty?? root-pconsole
SU 04/01 12:03 + tty?? root-pconsole
SU 04/01 12:23 + tty?? root-pconsole
SU 04/01 12:32 + tty?? root-pconsole
SU 04/01 12:56 + pts/0 root-oracle
SU 04/01 14:02 + tty?? root-pconsole
SU 04/01 14:11 + tty?? root-pconsole
SU 04/01 15:13 + tty?? root-oracle
SU 04/01 15:18 + pts/1 root-oracle
SU 04/01 15:26 + pts/3 root-oracle
SU 04/01 15:31 + pts/4 root-oracle
SU 04/01 15:32 + pts/5 root-oracle
SU 04/01 15:34 + pts/6 root-oracle
SU 04/01 15:34 - pts/6 oracle-oracle
SU 04/01 15:37 + pts/7 root-oracle
SU 04/01 15:46 + pts/4 root-oracle
SU 04/01 15:55 + pts/4 root-oracle
SU 04/01 16:19 + pts/5 root-oracle
SU 04/01 16:20 + pts/4 root-oracle
SU 04/01 16:27 + pts/9 root-oracle
SU 04/01 16:39 + pts/11 root-oracle
SU 04/01 16:49 + pts/10 root-oracle
SU 04/01 20:52 + tty?? root-pconsole
SU 04/01 21:11 + tty?? root-oracle
SU 04/01 21:13 + pts/0 root-oracle
SU 04/01 21:49 + pts/5 root-oracle
SU 04/01 22:03 + pts/9 root-oracle
SU 04/01 22:04 + pts/8 root-oracle
SU 04/01 22:13 + pts/1 root-oracle
SU 04/01 22:31 + pts/10 root-oracle
SU 04/02 00:27 + pts/7 root-oracle
SU 04/02 02:46 + pts/7 root-oracle
SU 04/02 03:03 + pts/14 root-oracle
SU 04/02 03:35 + pts/15 root-oracle
SU 04/02 05:23 + pts/15 root-oracle
SU 04/02 05:33 + pts/17 root-oracle
SU 04/02 05:46 + pts/18 root-oracle
SU 04/02 06:40 + pts/13 root-oracle
SU 04/02 09:57 + pts/16 root-oracle
SU 04/02 13:16 + pts/18 root-root
SU 04/02 13:16 + pts/18 root-oracle
SU 04/02 13:23 + pts/3 gprsgg-root
SU 04/02 16:39 + pts/19 root-oracle
SU 04/02 16:49 + pts/1 root-oracle
SU 04/02 16:56 + pts/19 root-oracle
SU 04/02 17:01 + pts/21 root-oracle
SU 04/02 17:02 - pts/21 oracle-oracle
SU 04/02 17:02 - pts/21 oracle-oracle
SU 04/02 17:03 + pts/22 root-oracle
SU 04/02 17:03 - pts/21 oracle-oracle
SU 04/02 17:04 + pts/21 root-oracle
SU 04/02 17:09 + pts/22 root-oracle
SU 04/02 20:19 + pts/23 root-oracle
SU 04/02 20:23 + pts/12 root-oracle
SU 04/02 20:26 + pts/12 root-oracle
SU 04/03 01:02 + pts/4 root-oracle
SU 04/03 01:18 + pts/5 root-oracle
SU 04/03 01:18 - pts/5 oracle-oracle
SU 04/03 01:19 - pts/5 oracle-oracle
SU 04/03 01:19 - pts/5 oracle-oracle
SU 04/03 01:19 - pts/5 oracle-oracle
SU 04/03 01:19 - pts/5 oracle-oracle
SU 04/03 01:20 + pts/6 root-oracle
SU 04/03 01:21 + pts/12 root-oracle
SU 04/03 04:50 + pts/26 root-oracle
SU 04/03 04:50 + pts/6 root-oracle
SU 04/03 14:13 + pts/28 root-oracle
SU 04/05 08:22 + pts/1 root-oracle
SU 04/05 09:09 + pts/5 root-oracle
SU 04/06 08:35 + pts/8 root-oracle
SU 04/06 10:45 + pts/4 root-oracle
SU 04/06 10:53 + pts/4 root-oracle
SU 04/06 14:52 + pts/8 root-oracle
SU 04/06 15:50 + pts/8 root-oracle
SU 04/07 07:47 + pts/8 root-oracle
SU 04/07 07:59 + pts/8 root-oracle
SU 04/07 09:44 + pts/8 root-oracle
SU 04/07 09:56 + pts/9 root-oracle
SU 04/07 10:00 - pts/8 oracle-root
SU 04/07 10:00 + pts/8 oracle-root
SU 04/07 10:00 + pts/8 root-oracle
SU 04/07 19:57 + pts/10 root-oracle
SU 04/08 08:11 + pts/1 root-oracle
SU 04/08 16:31 + pts/3 root-oracle
SU 04/09 07:59 + pts/3 root-oracle
SU 04/11 10:29 + pts/7 root-oracle
SU 04/13 10:01 + pts/4 root-oracle
SU 04/14 09:00 + tty?? root-oracle
SU 04/15 09:00 + tty?? root-oracle
SU 04/16 09:00 + tty?? root-oracle
SU 04/17 09:00 + tty?? root-oracle
SU 04/18 09:00 + tty?? root-oracle
SU 04/19 09:00 + tty?? root-oracle
SU 04/20 09:00 + tty?? root-oracle
SU 04/21 03:01 + pts/10 root-oracle
SU 04/21 09:00 + tty?? root-oracle
SU 04/22 09:00 + tty?? root-oracle
SU 04/23 09:00 + tty?? root-oracle
SU 04/24 09:00 + tty?? root-oracle
SU 04/25 09:00 + tty?? root-oracle
SU 04/26 09:00 + tty?? root-oracle
SU 04/27 09:00 + tty?? root-oracle
SU 04/27 18:14 + pts/2 gprsgg-oracle
SU 04/28 09:00 + tty?? root-oracle
SU 04/29 09:00 + tty?? root-oracle
SU 04/30 09:00 + tty?? root-oracle
SU 05/01 09:00 + tty?? root-oracle
SU 05/02 09:00 + tty?? root-oracle
SU 05/03 09:00 + tty?? root-oracle
SU 05/04 09:00 + tty?? root-oracle
SU 05/05 09:00 + tty?? root-oracle
SU 05/06 09:00 + tty?? root-oracle
SU 05/07 09:00 + tty?? root-oracle
SU 05/08 09:00 + tty?? root-oracle
SU 05/09 09:00 + tty?? root-oracle
SU 05/10 09:00 + tty?? root-oracle
SU 05/11 09:00 + tty?? root-oracle
SU 05/12 09:00 + tty?? root-oracle
SU 05/13 09:00 + tty?? root-oracle
SU 05/14 09:00 + tty?? root-oracle
SU 05/15 09:00 + tty?? root-oracle
SU 05/16 09:00 + tty?? root-oracle
SU 05/17 09:00 + tty?? root-oracle
SU 05/18 09:00 + tty?? root-oracle
SU 05/19 09:00 + tty?? root-oracle
SU 05/20 09:00 + tty?? root-oracle
SU 05/21 09:00 + tty?? root-oracle
SU 05/22 09:00 + tty?? root-oracle
SU 05/23 09:00 + tty?? root-oracle
SU 05/24 09:00 + tty?? root-oracle
SU 05/25 09:00 + tty?? root-oracle
SU 05/26 09:00 + tty?? root-oracle
SU 05/27 09:00 + tty?? root-oracle
SU 05/28 09:00 + tty?? root-oracle
SU 05/29 09:00 + tty?? root-oracle
SU 05/30 09:00 + tty?? root-oracle
SU 05/31 09:00 + tty?? root-oracle
SU 06/01 09:00 + tty?? root-oracle
SU 06/02 09:00 + tty?? root-oracle
SU 06/03 09:00 + tty?? root-oracle
SU 06/04 06:13 + tty?? root-oracle
SU 06/04 07:31 + tty?? root-oracle
SU 06/04 07:38 - pts/0 oracle-root
SU 06/04 09:00 + tty?? root-oracle
SU 06/05 09:00 + tty?? root-oracle
SU 06/06 09:00 + tty?? root-oracle
SU 06/07 09:00 + tty?? root-oracle
SU 06/08 09:00 + tty?? root-oracle
SU 06/09 09:00 + tty?? root-oracle
SU 06/10 09:00 + tty?? root-oracle
SU 06/11 09:00 + tty?? root-oracle
SU 06/11 12:58 + pts/7 root-root
SU 06/12 00:34 + tty?? root-oracle
SU 06/12 00:36 + tty?? root-pconsole
SU 06/12 00:44 + tty?? root-pconsole
SU 06/12 00:48 + tty?? root-oracle
SU 06/12 09:00 + tty?? root-oracle
SU 06/13 09:00 + tty?? root-oracle
SU 06/14 09:00 + tty?? root-oracle
SU 06/15 09:00 + tty?? root-oracle
SU 06/16 09:00 + tty?? root-oracle
SU 06/17 09:00 + tty?? root-oracle
SU 06/18 09:00 + tty?? root-oracle
SU 06/19 09:00 + tty?? root-oracle
SU 06/20 09:00 + tty?? root-oracle
SU 06/21 09:00 + tty?? root-oracle
SU 06/22 09:00 + tty?? root-oracle
SU 06/23 09:00 + tty?? root-oracle
SU 06/24 09:00 + tty?? root-oracle
SU 06/25 09:00 + tty?? root-oracle
SU 06/26 09:00 + tty?? root-oracle
SU 06/27 09:00 + tty?? root-oracle
SU 06/28 09:00 + tty?? root-oracle
SU 06/29 09:00 + tty?? root-oracle
SU 06/29 21:10 + tty?? root-oracle
SU 06/29 21:47 + tty?? root-oracle
SU 06/30 09:00 + tty?? root-oracle
SU 06/30 14:58 + pts/9 root-oracle
SU 07/01 09:00 + tty?? root-oracle
SU 07/02 09:00 + tty?? root-oracle
SU 07/03 09:00 + tty?? root-oracle
SU 07/04 09:00 + tty?? root-oracle
SU 07/05 09:00 + tty?? root-oracle
SU 07/06 09:00 + tty?? root-oracle
==== END Contents of /var/adm/sulog ====
==== EXITED with rc 0 ====
==== END fileprint /var/adm/sulog Tue Jul  7 00:29:09 GST 2015 ====
