==== This output can be found in Systems/dx1010/perf/mpstat-d.txt ====
==== START mpstat -d Tue Jul  7 13:15:13 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
  0 13427050578 12780698      0      1     13      0      0  99.1   0.0   0.0   0.9   0.0   0.0      0 17204715827 100.0   0.0   0.0
  1 2638164 734244      0      0      0      0      0  71.1  28.8   0.0   0.2   0.0   0.0      0 4765495525 100.0   0.0   0.0
  2 724556 712998      0      0      0      0      0   1.8  98.1   0.0   0.1   0.0   0.0      0 4449756319 100.0   0.0   0.0
  3 722789 712954      0      0      0      0      0   1.6  98.4   0.0   0.1   0.0   0.0      0 4229537344 100.0   0.0   0.0
  4 13266843245 11115053      1      1      0      0      0  99.2   0.0   0.0   0.8   0.0   0.0      0 16651955689 100.0   0.0   0.0
  5 2496086 728813      0      0      1      0      0  69.9  30.1   0.0   0.0   0.0   0.0      0 4765479474 100.0   0.0   0.0
  6 725359 712973      0      0      0      0      0   1.9  98.0   0.0   0.1   0.0   0.0      0 4443350141 100.0   0.0   0.0
  7 722517 712743      0      0      0      0      0   1.5  98.4   0.0   0.1   0.0   0.0      0 4210860181 100.0   0.0   0.0
  8 13200830207 11349361      1      1     18      0      0  99.2   0.0   0.0   0.8   0.0   0.0      0 16574357077 100.0   0.0   0.0
  9 2522414 730014      0      0      1      0      0  70.1  29.8   0.0   0.0   0.0   0.0      0 4761534152 100.0   0.0   0.0
 10 720374 712822      0      0      0      0      0   1.2  98.7   0.0   0.1   0.0   0.0      0 4440106044 100.0   0.0   0.0
 11 722741 712668      0      0      0      0      0   1.6  98.4   0.0   0.1   0.0   0.0      0 4217485501 100.0   0.0   0.0
 12 13217333066 11394016      0      1      4      0      0  99.2   0.0   0.0   0.8   0.0   0.0      0 16597281572 100.0   0.0   0.0
 13 2576485 728720      0      0      0      0      0  70.7  29.3   0.0   0.0   0.0   0.0      0 4770045688 100.0   0.0   0.0
 14 725697 713299      0      0      0      0      0   2.0  98.0   0.0   0.1   0.0   0.0      0 4455664657 100.0   0.0   0.0
 15 723502 713449      0      0      0      0      0   1.7  98.3   0.0   0.1   0.0   0.0      0 4227489822 100.0   0.0   0.0
 16 13213482331 11358014      0      0      9      0      0  99.2   0.0   0.0   0.8   0.0   0.0      0 16586177318 100.0   0.0   0.0
 17 2581594 729830      0      0      2      0      0  70.8  29.2   0.0   0.0   0.0   0.0      0 4764148597 100.0   0.0   0.0
 18 722739 713312      0      0      0      0      0   1.6  98.4   0.0   0.1   0.0   0.0      0 4435748099 100.0   0.0   0.0
 19 725330 712699      0      0      0      0      0   1.9  98.0   0.0   0.1   0.0   0.0      0 4209021583 100.0   0.0   0.0
 20 13042582628 11845107      1      1      3      0      0  99.1   0.0   0.0   0.9   0.0   0.0      0 16432485816 100.0   0.0   0.0
 21 2642167 730560      0      0      0      0      0  71.3  28.7   0.0   0.0   0.0   0.0      0 4771842606 100.0   0.0   0.0
 22 721664 712584      0      0      0      0      0   1.4  98.5   0.0   0.1   0.0   0.0      0 4452233841 100.0   0.0   0.0
 23 727640 712827      0      0      0      0      0   2.2  97.7   0.0   0.1   0.0   0.0      0 4225795158 100.0   0.0   0.0
ALL 79392263873 82779758      3      5     51      0      0  99.1   0.0   0.0   0.8   0.0   0.0      0 180642568031 100.0   0.0   0.0
==== EXITED with rc 0 ====
==== END mpstat -d Tue Jul  7 13:15:13 CDT 2015 ====
