==== This output can be found in Systems/dx1010/perf/mpstat-i.txt ====
==== START mpstat -i Tue Jul  7 13:15:23 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0  16043  28660 4976997848 862795677 1341932795 31064243
  1     38  13224 4735609230 454063640 74242944 12608486
  2     44  13164 4419476335 428614233 71677492 11882717
  3     41  13165 4194344533 407346911 71641091 10289080
  4 205658  20708 4974449480 610934157 641164949 30386872
  5     36  13177 4736347149 454767830 73928066 12652837
  6     32  13165 4413001793 427874891 71674758 11876391
  7     26  13165 4175467905 405675659 71643423 10210383
  8  51467  27064 4975121750 469844653 609081672 30087677
  9     35  13186 4731332035 453354548 74054851 12591184
 10     28  13165 4409627817 427684778 71663330 11836194
 11     39  13164 4182118639 406192100 71642246 10215898
 12  19051  28278 4976131493 469388120 620210667 30193712
 13  21559  12234 4740242695 455264349 74109350 12616647
 14     33  13165 4425174450 429002334 71659638 11895323
 15     34  13165 4192102063 407180039 71638876 10261443
 16  62388  26816 4975577038 469812870 611521554 30121440
 17     25  13171 4734393988 453671144 74138288 12627905
 18     38  13165 4405232096 427324152 71659128 11827306
 19     36  13165 4173328857 405638358 71635174 10199812
 20  19036  28127 4977229175 469655287 616015709 29763298
 21     79  13195 4741847266 455261368 74229290 12606116
 22     27  13165 4421836811 428596172 71660061 11878119
 23     26  13164 4190127064 406646385 71638204 10193797
ALL 395819 395817 109877117510 11086589655 5744463556 389886880
==== EXITED with rc 0 ====
==== END mpstat -i Tue Jul  7 13:15:23 CDT 2015 ====
