==== This output can be found in Systems/dx1010/perf/mpstat-a.txt ====
==== START mpstat -a Tue Jul  7 13:15:13 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu    min    maj   mpcs   mpcr    dev   soft    dec     ph     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   sysc    us    sy    wa    id    pc   %ec   ilcs   vlcs S3hrd S4hrd S5hrd
  0 256518394  26804  16043  28660 4976981726 862794135 1341930714 31063944 13427050423 12780687      0      0     13      0      0  99.1   0.0   0.0   0.9   0.0   0.0 637164179   0.9  71.1   0.0  28.1  0.06   2.8      0 17204715675 100.0   0.0   0.0
  1 322316   1910     38  13224 4735594448 454062727 74242414 12608391 2638164 734244      0      0      0      0      0  71.1  28.8   0.0   0.2   0.0   0.0 501814   0.0  31.9   0.0  68.1  0.03   1.4      0 4765495409 100.0   0.0   0.0
  2  83068      1     44  13164 4419462821 428613366 71677388 11882627 724556 712998      0      0      0      0      0   1.8  98.1   0.0   0.1   0.0   0.0  40442   0.0  30.1   0.0  69.9  0.03   1.3      0 4449756214 100.0   0.0   0.0
  3  86700      0     41  13165 4194332018 407346077 71640987 10289007 722789 712954      0      0      0      0      0   1.6  98.4   0.0   0.1   0.0   0.0  35631   0.0  28.4   0.0  71.6  0.03   1.3      0 4229537247 100.0   0.0   0.0
  4 231435204  15826 205658  20708 4974433549 610933029 641163832 30386511 13266843019 11115034      1      1      0      0      0  99.2   0.0   0.0   0.8   0.0   0.0 626995088   0.9  69.8   0.0  29.3  0.05   2.6      0 16651955527 100.0   0.0   0.0
  5 280493    420     36  13177 4736332214 454766850 73927961 12652738 2496086 728813      0      0      1      0      0  69.9  30.1   0.0   0.0   0.0   0.0 413176   0.0  32.5   0.0  67.5  0.03   1.3      0 4765479360 100.0   0.0   0.0
  6  74989      0     32  13165 4412988151 427874000 71674654 11876315 725359 712973      0      0      0      0      0   1.9  98.0   0.0   0.1   0.0   0.0  30202   0.0  30.6   0.0  69.4  0.03   1.3      0 4443350036 100.0   0.0   0.0
  7  87315      1     26  13165 4175455345 405674842 71643316 10210312 722517 712743      0      0      0      0      0   1.5  98.4   0.0   0.1   0.0   0.0  37248   0.0  28.8   0.0  71.2  0.02   1.2      0 4210860079 100.0   0.0   0.0
  8 230553614  19639  51467  27064 4975105717 469843725 609080612 30087373 13200829745 11349313      0      0     18      0      0  99.2   0.0   0.0   0.8   0.0   0.0 618778942   0.9  69.5   0.0  29.6  0.05   2.6      0 16574356777 100.0   0.0   0.0
  9 300865   2147     35  13186 4731317240 453353599 74054454 12591101 2522414 730014      0      0      1      0      0  70.1  29.8   0.0   0.0   0.0   0.0 535646   0.0  32.5   0.0  67.5  0.03   1.3      0 4761534038 100.0   0.0   0.0
 10  87728      0     28  13165 4409614304 427683897 71663227 11836114 720374 712822      0      0      0      0      0   1.2  98.7   0.0   0.1   0.0   0.0  40628   0.0  30.7   0.0  69.3  0.02   1.2      0 4440105942 100.0   0.0   0.0
 11  82744      1     39  13164 4182106068 406191262 71642143 10215819 722741 712668      0      0      0      0      0   1.6  98.4   0.0   0.1   0.0   0.0  34981   0.0  29.0   0.0  71.0  0.02   1.2      0 4217485410 100.0   0.0   0.0
 12 230646703  16877  19051  28278 4976115387 469387120 620209581 30193463 13217332686 11394000      0      0      4      0      0  99.2   0.0   0.0   0.8   0.0   0.0 614347743   0.9  69.7   0.0  29.4  0.05   2.6      0 16597281285 100.0   0.0   0.0
 13 267731   1207  21559  12234 4740227793 455263381 74108965 12616544 2576485 728720      0      0      0      0      0  70.7  29.3   0.0   0.0   0.0   0.0 552570   0.0  32.6   0.0  67.4  0.03   1.3      0 4770045578 100.0   0.0   0.0
