==== This output can be found in Systems/dx1010/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Tue Jul  7 13:15:13 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
  0   3876     31      1      1      0      0      0  97.0   0.0   0.0   3.0   0.0   0.0     84   4160 100.0   0.0   0.0
  1     15     14      0      0      0      0      0  97.6   2.4   0.0   0.0   0.0   0.0     24   1485 100.0   0.0   0.0
  2      0      0      0      0      0      0      0     -     -     -     -     -     -     19   1316     -     -     -
  3      0      0      0      0      0      0      0     -     -     -     -     -     -     17   1226     -     -     -
  4   3478     22      0      0      0      0      0  96.8   0.0   0.0   3.2   0.0   0.0     87   3803 100.0   0.0   0.0
  5      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     19   1452 100.0   0.0   0.0
  6      0      0      0      0      0      0      0     -     -     -     -     -     -     17   1323     -     -     -
  7      0      0      0      0      0      0      0     -     -     -     -     -     -     14   1231     -     -     -
  8   3303     21      0      0      0      0      0  96.9   0.0   0.0   3.1   0.0   0.0     96   3663 100.0   0.0   0.0
  9     12      0      0      0      0      0      0  96.8   3.2   0.0   0.0   0.0   0.0     19   1451 100.0   0.0   0.0
 10      0      0      0      0      0      0      0     -     -     -     -     -     -     14   1322     -     -     -
 11      0      0      0      0      0      0      0     -     -     -     -     -     -     14   1235     -     -     -
 12   3474     38      0      1      0      0      0  96.7   0.0   0.0   3.3   0.0   0.0     79   3852 100.0   0.0   0.0
 13     25      0      0      0      0      0      0  97.7   2.3   0.0   0.0   0.0   0.0     19   1468 100.0   0.0   0.0
 14      0      0      0      0      0      0      0     -     -     -     -     -     -     16   1332     -     -     -
 15      0      0      0      0      0      0      0     -     -     -     -     -     -     18   1244     -     -     -
 16   3941     23      1      1      0      0      0  97.1   0.0   0.0   2.9   0.0   0.0     78   4220 100.0   0.0   0.0
 17      0      0      0      0      0      0      0  50.0  50.0   0.0   0.0   0.0   0.0     20   1480 100.0   0.0   0.0
 18      0      0      0      0      0      0      0     -     -     -     -     -     -     16   1315     -     -     -
 19      0      0      0      0      0      0      0     -     -     -     -     -     -     13   1220     -     -     -
 20   3559     28      0      0      0      0      0  96.7   0.0   0.0   3.3   0.0   0.0     85   3915 100.0   0.0   0.0
 21     23      0      0      0      0      0      0  99.2   0.8   0.0   0.0   0.0   0.0     16   1459 100.0   0.0   0.0
 22      0      0      0      0      0      0      0     -     -     -     -     -     -     17   1325     -     -     -
 23      0      0      0      0      0      0      0     -     -     -     -     -     -     11   1225     -     -     -
ALL  21706    177      2      3      0      0      0  96.9   0.0   0.0   3.1   0.0   0.0    812  47722 100.0   0.0   0.0
------------------------------------------------------------------------------------------------------------

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
  0   3180     19      0      0      0      0      0  97.0   0.0   0.0   3.0   0.0   0.0    109   3521 100.0   0.0   0.0
  1     27      0      0      0      0      0      0  94.4   5.6   0.0   0.0   0.0   0.0     28   1393 100.0   0.0   0.0
  2      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     23   1257 100.0   0.0   0.0
  3      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     24   1167 100.0   0.0   0.0
  4   3286     18      0      0      0      0      0  96.9   0.0   0.0   3.1   0.0   0.0    114   3641 100.0   0.0   0.0
  5      0      0      0      0      0      0      0  25.0  75.0   0.0   0.0   0.0   0.0     28   1390 100.0   0.0   0.0
  6      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     25   1278 100.0   0.0   0.0
  7      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     20   1176 100.0   0.0   0.0
  8   3469     21      0      0      0      0      0  96.8   0.0   0.0   3.2   0.0   0.0    109   3721 100.0   0.0   0.0
  9    154      0      0      0      0      0      0  99.2   0.8   0.0   0.0   0.0   0.0     31   1545 100.0   0.0   0.0
 10      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     23   1257 100.0   0.0   0.0
 11      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     21   1170 100.0   0.0   0.0
