==== This output can be found in Systems/dx975/os/lscfg.txt ====
==== START lscfg Tue Jul  7 12:46:25 CDT 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                           System Object
+ sysplanar0                                                                     System Planar
* vio0                                                                           Virtual I/O Bus
* vtscsi11         U9179.MHD.21ADA1V-V1-C26-L59                                  Virtual Target Device - Disk
* vtscsi10         U9179.MHD.21ADA1V-V1-C26-L58                                  Virtual Target Device - Disk
* vtscsi9          U9179.MHD.21ADA1V-V1-C26-L57                                  Virtual Target Device - Disk
* vhost42          U9179.MHD.21ADA1V-V1-C20                                      Virtual SCSI Server Adapter
* vtscsi8          U9179.MHD.21ADA1V-V1-C20-L9                                   Virtual Target Device - Disk
* vtscsi7          U9179.MHD.21ADA1V-V1-C20-L8                                   Virtual Target Device - Disk
* vtscsi6          U9179.MHD.21ADA1V-V1-C20-L7                                   Virtual Target Device - Disk
* vtscsi5          U9179.MHD.21ADA1V-V1-C20-L6                                   Virtual Target Device - Disk
* vtscsi4          U9179.MHD.21ADA1V-V1-C20-L5                                   Virtual Target Device - Disk
* vtscsi3          U9179.MHD.21ADA1V-V1-C20-L4                                   Virtual Target Device - Disk
* vtscsi2          U9179.MHD.21ADA1V-V1-C20-L3                                   Virtual Target Device - Disk
* vtscsi1          U9179.MHD.21ADA1V-V1-C20-L2                                   Virtual Target Device - Disk
* vtscsi0          U9179.MHD.21ADA1V-V1-C20-L1                                   Virtual Target Device - Disk
* ent17            U9179.MHD.21ADA1V-V1-C12-T1                                   Virtual I/O Ethernet Adapter (l-lan)
* vasi0            U9179.MHD.21ADA1V-V1-C32769                                   Virtual Asynchronous Services Interface (VASI)
* vbsd0            U9179.MHD.21ADA1V-V1-C32769-L0                                Virtual Block Storage Device (VBSD)
* pager0           U9179.MHD.21ADA1V-V1-C32769-L0-L0                             Pager Kernel Extension
* vfchost31        U9179.MHD.21ADA1V-V1-C454                                     Virtual FC Server Adapter
* vfchost30        U9179.MHD.21ADA1V-V1-C453                                     Virtual FC Server Adapter
* vfchost29        U9179.MHD.21ADA1V-V1-C452                                     Virtual FC Server Adapter
* vfchost28        U9179.MHD.21ADA1V-V1-C451                                     Virtual FC Server Adapter
* vfchost27        U9179.MHD.21ADA1V-V1-C444                                     Virtual FC Server Adapter
* vfchost26        U9179.MHD.21ADA1V-V1-C443                                     Virtual FC Server Adapter
* vfchost25        U9179.MHD.21ADA1V-V1-C442                                     Virtual FC Server Adapter
* vfchost24        U9179.MHD.21ADA1V-V1-C441                                     Virtual FC Server Adapter
* vfchost23        U9179.MHD.21ADA1V-V1-C434                                     Virtual FC Server Adapter
* vfchost22        U9179.MHD.21ADA1V-V1-C433                                     Virtual FC Server Adapter
* vfchost21        U9179.MHD.21ADA1V-V1-C432                                     Virtual FC Server Adapter
* vfchost20        U9179.MHD.21ADA1V-V1-C431                                     Virtual FC Server Adapter
* vfchost11        U9179.MHD.21ADA1V-V1-C404                                     Virtual FC Server Adapter
* vfchost10        U9179.MHD.21ADA1V-V1-C403                                     Virtual FC Server Adapter
* vfchost9         U9179.MHD.21ADA1V-V1-C402                                     Virtual FC Server Adapter
