==== This output can be found in Systems/dx977/os/ps_auxw.txt ====
==== START ps auxw Tue Jul  7 00:09:50 GST 2015 ====
USER          PID %CPU %MEM   SZ  RSS    TTY STAT    STIME  TIME COMMAND
oracle   24314988  0.0  0.0 195388 166728      - A    23:48:51  0:09 oracleGSM (LOCAL=NO) 
oracle   20644914  0.0  0.0 195388 166728      - A    23:49:03  0:08 oracleGSM (LOCAL=NO) 
root      3342758  0.0  0.0 54544 54644      - A      Apr 01 859:08 perfd 
oracle   35324446  0.0  0.0 198396 169736      - A    23:42:25  0:10 oracleGSM (LOCAL=NO) 
root      1245230  0.0  0.0  448  448      - A      Apr 01 788:45 wait
root      1507382  0.0  0.0  448  448      - A      Apr 01 775:18 wait
root       131076  0.0  0.0  448  448      - A      Apr 01 743:15 wait
root       393838  0.0  0.0  448  448      - A      Apr 01 735:39 wait
root       131670  0.0  0.0  448  448      - A      Apr 01 735:15 wait
oracle    6553606  0.0  0.0 212284 167944      - A      Apr 02 705:21 ora_lgwr_GSM 
root      3998146  0.0  0.0 45772 45936      - A      Apr 01 690:41 /usr/lpp/perf/bin/scopeux 
oracle   35259978  0.0  0.0 198332 169672      - A    23:42:31  0:08 oracleGSM (LOCAL=NO) 
oracle   13502152  0.0  0.0 198524 169864      - A    23:42:28  0:08 oracleGSM (LOCAL=NO) 
oracle    1508658  0.0  0.0 201852 173192      - A    13:56:18  2:59 oracleGSM (LOCAL=NO) 
oracle   50004726  0.0  0.0 195836 167176      - A    23:42:15  0:08 oracleGSM (LOCAL=NO) 
oracle    5964442  0.0  0.0 197372 166216      - A      Apr 02 662:40 ora_mmnl_GSM 
oracle    7143896  0.0  0.0 207932 178440      - A      Apr 02 632:21 ora_dbw2_GSM 
oracle   11731194  0.0  0.0 207996 178760      - A      Apr 02 621:39 ora_dbw5_GSM 
oracle    5112336  0.0  0.0 209212 177992      - A      Apr 02 606:48 ora_dbw0_GSM 
oracle    4195034  0.0  0.0 211900 181576      - A      Apr 02 600:30 ora_dbw3_GSM 
oracle    8258004  0.0  0.0 207996 178568      - A      Apr 02 600:13 ora_dbw1_GSM 
oracle    2687514  0.0  0.0 207548 177928      - A      Apr 02 599:29 ora_dbw4_GSM 
oracle   55181678  0.0  0.0 198332 169672      - A    23:42:27  0:07 oracleGSM (LOCAL=NO) 
oracle   31917720  0.0  0.0 195388 166728      - A    18:56:34  1:12 oracleGSM (LOCAL=NO) 
root       131390  0.0  0.0  448  448      - A      Apr 01 519:18 wait
root      1769542  0.0  0.0  448  448      - A      Apr 01 484:04 wait
root       656008  0.0  0.0  960  960      - A      Apr 01 482:50 gil
oracle   49350274  0.0  0.0 195388 166728      - A    23:49:02  0:04 oracleGSM (LOCAL=NO) 
oracle    6030760  0.0  0.0 195388 166728      - A    18:56:34  1:00 oracleGSM (LOCAL=NO) 
oracle   19923086  0.0  0.0 197948 169288      - A    23:42:48  0:05 oracleGSM (LOCAL=NO) 
oracle   20644340  0.0  0.0 195388 166728      - A    23:47:57  0:04 oracleGSM (LOCAL=NO) 
root      2031710  0.0  0.0  448  448      - A      Apr 01 416:17 wait
oracle   57672284  0.0  0.0 198460 169800      - A    23:42:08  0:05 oracleGSM (LOCAL=NO) 
oracle   39060124  0.0  0.0 195388 166728      - A    18:56:34  0:56 oracleGSM (LOCAL=NO) 
root       655718  0.0  0.0  448  448      - A      Apr 01 404:58 wait
root      2293878  0.0  0.0  448  448      - A      Apr 01 348:17 wait
oracle   10880496  0.0  0.0 198332 169672      - A    23:42:32  0:04 oracleGSM (LOCAL=NO) 
oracle   20774920  0.0  0.0 195772 167112      - A    23:42:12  0:04 oracleGSM (LOCAL=NO) 
oracle   42533518  0.0  0.0 39120 39184      - A      Jun 30 21:52 /gsm_base/app/oracle/product/11.2.0/dbhome_1/bin/emagent 
oracle   29163588  0.0  0.0 199228 170568      - A      Jun 16 69:15 ora_ctwr_GSM 
oracle   28640780  0.0  0.0 195388 166728      - A    23:47:59  0:03 oracleGSM (LOCAL=NO) 
oracle   12583546  0.0  0.0 195388 166728      - A    23:47:59  0:03 oracleGSM (LOCAL=NO) 
oracle   36243086  0.0  0.0 195388 166728      - A    23:47:48  0:03 oracleGSM (LOCAL=NO) 
oracle   20578838  0.0  0.0  448  448      - A    18:12:06  0:48 aioserver
oracle   11470466  0.0  0.0 195388 166728      - A    23:47:25  0:03 oracleGSM (LOCAL=NO) 
oracle   31458962  0.0  0.0 195452 166792      - A    23:47:21  0:03 oracleGSM (LOCAL=NO) 
oracle   13108986  0.0  0.0 195388 166728      - A    23:47:21  0:03 oracleGSM (LOCAL=NO) 
root      3407878  0.0  0.0  832  832      - A      Apr 01 305:33 rtcmd
root      2097724  0.0  0.0  632  640      - A      Apr 01 301:06 /usr/sbin/syncd 60 
root       262160  0.0  0.0 1664 1664      - A      Apr 01 283:11 lrud
oracle   60752474  0.0  0.0 201212 172552      - A    02:10:56  2:33 oracleGSM (LOCAL=NO) 
root      2032138  0.0  0.0  448  448      - A      Apr 01 265:25 MpxPeriodicCallbackDaemon
oracle    5047022  0.0  0.0 202428 167624      - A      Apr 02 257:47 ora_pmon_GSM 
oracle   18351170  0.0  0.0 198332 169672      - A    23:42:34  0:03 oracleGSM (LOCAL=NO) 
