==== This output can be found in Systems/dx977/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:10:39 GST 2015 ====

System configuration: lcpu=48 drives=839 ent=6.00 paths=0 vdisks=10 maxserver=1440

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
     39.3  0.0   254     0    131072            22.5   5.6   68.8      3.0   2.6   42.7

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk360         0.2      28.4       0.2   304212855   6561700
hdisk741         0.0       0.0       0.0         17         0
hdisk358         0.2      29.3       0.2   314402449   6444560
hdisk606         0.4     225.2       1.1   821323917  1641892153
hdisk364         0.2      28.3       0.2   302461418   7060996
hdisk365         0.2      27.0       0.2   288663146   6651764
hdisk357         0.2      29.7       0.2   317942598   7087232
hdisk355         0.0       0.1       0.0    1061866    149518
hdisk613         0.5     225.5       1.1   823502570  1642532541
hdisk612         0.4     225.2       1.1   822398434  1640915336
hdisk363         0.2      28.4       0.2   303610565   6573460
hdisk366         0.2      26.3       0.2   280944957   6654684
hdisk367         0.2      27.0       0.2   288766546   6547324
hdisk368         0.2      24.8       0.2   265126941   6418292
hdisk742         0.0       0.0       0.0         17         0
hdisk369         0.2      27.7       0.2   296449879   6792104
hdisk607         0.4     225.0       1.1   818979037  1641916959
hdisk356         0.0       0.3       0.0     464946   3206780
hdisk371         0.3      28.7       0.2   307172490   6596820
hdisk354         0.0       3.1       0.2    1510344  31951376
hdisk370         0.2      30.1       0.2   322243757   6534832
hdisk359         0.3      29.4       0.2   314980318   6586796

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk372         0.2      28.7       0.2   307723847   6535656
hdisk373         0.2      31.1       0.2   333044150   6984476
hdisk374         0.2      31.4       0.2   337224126   6285104
hdisk361         0.2      28.8       0.2   308098877   6573500
hdisk375         0.2      32.4       0.2   347225863   7214352
hdisk376         0.2      26.9       0.2   288444106   6167392
hdisk377         0.3      27.4       0.2   292647970   6645540
hdisk378         0.2      30.2       0.2   323303556   6934176
hdisk362         0.2      29.9       0.2   319876648   6827848
hdisk379         0.2      29.0       0.2   310835797   6459360
hdisk380         0.2      27.5       0.2   294245229   6617916
hdisk381         0.2      26.0       0.2   277709915   6908920
hdisk382         0.2      27.0       0.2   288613408   6842728
hdisk383         0.2      28.1       0.2   301001574   6829556
hdisk384         0.2      29.5       0.2   315835715   6902932
hdisk385         0.2      28.7       0.2   307319845   6829936
hdisk386         0.3      25.7       0.9   140436162  140640344
hdisk387         0.3      25.2       0.9   138547455  137598052
hdisk388         0.3      25.3       0.9   140053939  136412604
hdisk389         0.4      25.6       0.9   140496502  139068128
hdisk390         0.4      25.6       0.9   140695449  139483824
hdisk394         0.2      69.1       0.2   590285712  165970488
hdisk399         0.2      68.9       0.2   588163915  165927848
hdisk395         0.2      69.0       0.2   589562864  165570268

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk391         0.3      25.2       0.9   139943547  135599728
hdisk403         0.2      69.0       0.2   588938336  165640508
hdisk393         0.2      68.7       0.2   586467294  165089988
hdisk406         0.2      69.0       0.2   589678453  165279956
hdisk396         0.2      69.0       0.2   589522752  165547868
hdisk398         0.2      69.1       0.2   589563047  166354276
hdisk400         0.2      68.8       0.2   586837745  165769560
hdisk392         0.2      68.7       0.2   585084591  166193352
hdisk404         0.2      69.0       0.2   588907507  165812676
hdisk401         0.2      68.9       0.2   587762183  165659928
hdisk402         0.2      68.9       0.2   588145443  165968044
hdisk409         0.2      69.0       0.2   588571545  166150664
hdisk408         0.2      69.0       0.2   588559869  165747560
hdisk407         0.2      68.9       0.2   587662884  165755936
hdisk397         0.2      69.0       0.2   589213052  165894020
hdisk405         0.2      69.0       0.2   589830018  165331660
hdisk413         0.0       2.5       0.0   27511747         0
hdisk417         0.0       2.5       0.0   27243236         0
hdisk412         0.0       2.5       0.0   27382877         0
hdisk410         0.2      68.8       0.2   587528507  164909912
hdisk420         0.2      78.1       0.6   316708567  537515080
hdisk423         0.0       4.0       0.0   22171893  21947520
hdisk414         0.0       2.5       0.0   27479686         0
hdisk566         0.2      47.2       2.8   516045291    593108

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk621         0.0       0.0       0.0      79838         0
hdisk415         0.0       2.5       0.0   27585649     15992
hdisk623         0.0       0.0       0.0      70309         0
hdisk624         0.0       0.0       0.0         11     15884
hdisk661         0.0       0.0       0.0         20         0
hdisk663         0.0       0.0       0.0         21         0
hdisk416         0.0       2.5       0.0   27298093         0
hdisk411         0.2      68.8       0.2   588042940  164869064
hdisk418         0.0       2.5       0.0   27229145         0
hdisk422         0.0       4.0       0.0   22183562  21843160
hdisk622         0.0       0.0       0.0         12     15668
hdisk421         0.0       4.1       0.0   22285225  22082584
hdisk565         0.5     137.7       8.5   1498104867   8138836
hdisk564         0.0       1.8       0.0   19048702    239216
hdisk620         0.2      76.7       0.6   311230550  527635260
hdisk664         0.0       0.0       0.0         21         0
hdisk660         0.0       0.0       0.0     159880         0
hdisk667         0.0       0.0       0.0         24     15624
hdisk419         0.0       2.5       0.0   27257494         0
hdisk668         0.0       0.0       0.0         21         0
hdisk1           0.0       0.1       0.0     849262    146419
hdisk6           0.0       3.0       0.2    1447850  31417956
hdisk12          0.0       0.3       0.0     507939   3187008
hdisk662         0.0       0.0       0.0         19         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk16          0.2      29.9       0.2   319871185   7059988
hdisk17          0.2      29.2       0.2   312500570   6333136
hdisk19          0.2      28.2       0.2   302053115   6421376
hdisk666         0.0       0.0       0.0         20         0
hdisk20          0.2      28.5       0.2   305540706   6473272
hdisk23          0.2      28.1       0.2   300887153   6888552
hdisk18          0.3      29.3       0.2   313505804   6450428
hdisk26          0.2      26.8       0.2   287144019   6407324
hdisk29          0.2      29.9       0.2   321034608   6455748
hdisk669         0.0       0.0       0.0         15         0
hdisk21          0.2      29.7       0.2   318355567   6629128
hdisk665         0.0       0.0       0.0         19         0
hdisk30          0.3      28.4       0.2   304265729   6456572
hdisk24          0.2      26.9       0.2   287284259   6494276
hdisk32          0.2      30.7       0.2   329549826   6709924
hdisk34          0.2      32.2       0.2   345008156   7000752
hdisk35          0.2      26.7       0.2   286310468   6119428
hdisk27          0.2      24.7       0.2   263530227   6340244
hdisk22          0.2      28.1       0.2   301407384   6391916
hdisk31          0.2      28.5       0.2   305244026   6413668
hdisk33          0.2      31.3       0.2   336041178   6232000
hdisk25          0.2      26.1       0.2   278851525   6617324
hdisk37          0.2      30.0       0.2   321014625   6799568
hdisk41          0.2      26.9       0.2   287845907   6809820

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk38          0.2      28.9       0.2   309883399   6301024
hdisk39          0.2      27.3       0.2   292345531   6580636
hdisk36          0.3      27.3       0.2   291535408   6573344
hdisk42          0.2      28.0       0.2   299231199   6681168
hdisk28          0.2      27.6       0.2   294881062   6718924
hdisk40          0.2      25.8       0.2   275826679   6710712
hdisk48          0.4      25.3       0.9   139157902  137626660
hdisk47          0.3      25.1       0.9   138931947  135193128
hdisk44          0.2      28.5       0.2   305224357   6725068
hdisk45          0.3      25.5       0.9   139529139  139182648
hdisk49          0.4      25.4       0.9   139550548  138122200
hdisk46          0.3      25.0       0.9   137160865  136281720
hdisk43          0.2      29.3       0.2   313505716   6834908
hdisk50          0.3      25.0       0.9   138856121  134417916
hdisk51          0.2      67.8       0.2   580278703  161600432
hdisk59          0.2      68.0       0.2   582086450  161688520
hdisk54          0.2      68.2       0.2   584581612  161879340
hdisk55          0.2      68.2       0.2   583994314  162389968
hdisk63          0.2      68.2       0.2   584130757  161812292
hdisk64          0.2      68.3       0.2   585253997  162128108
hdisk58          0.2      68.1       0.2   583284795  161148208
hdisk53          0.2      68.2       0.2   583906515  162345728
hdisk62          0.2      68.2       0.2   583797691  162081408
hdisk52          0.2      68.0       0.2   581849308  161953088

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk60          0.2      68.1       0.2   582213891  162183336
hdisk57          0.2      68.3       0.2   584670768  162332456
hdisk56          0.2      68.3       0.2   584592137  162317768
hdisk65          0.2      68.3       0.2   584897608  161833692
hdisk70          0.2      68.1       0.2   583000836  162095724
hdisk72          0.0       2.5       0.0   27288959         0
hdisk61          0.2      68.2       0.2   583019332  162397712
hdisk73          0.0       2.5       0.0   27358229         0
hdisk74          0.0       2.5       0.0   27404947     15640
hdisk77          0.0       2.5       0.0   27056321         0
hdisk68          0.2      68.1       0.2   583692521  161415516
hdisk71          0.0       2.5       0.0   27141499         0
hdisk66          0.2      68.2       0.2   583820389  161801424
hdisk75          0.0       2.5       0.0   27350303         0
hdisk78          0.0       2.5       0.0   27124241         0
hdisk80          0.0       4.0       0.0   22167590  21741212
hdisk76          0.0       2.5       0.0   27104232         0
hdisk67          0.2      68.1       0.2   583971276  160551024
hdisk81          0.0       4.0       0.0   21997352  21723992
hdisk79          0.2      76.6       0.6   313368092  524699232
hdisk569         0.0       1.8       0.0   19223715    242124
hdisk570         0.6     136.6       8.5   1485903200   8162844
hdisk571         0.2      46.3       2.8   506279041    586820
hdisk69          0.2      68.1       0.2   582647433  162408288

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk671         0.0       0.0       0.0         23         0
hdisk626         0.0       0.0       0.0      32534         0
hdisk629         0.0       0.0       0.0         14     15928
hdisk672         0.0       0.0       0.0         22         0
hdisk676         0.0       0.0       0.0         18         0
hdisk677         0.0       0.0       0.0         20     15824
hdisk675         0.0       0.0       0.0         19         0
hdisk670         0.0       0.0       0.0      67500         0
hdisk625         0.2      78.2       0.6   320131258  535187468
hdisk628         0.0       0.0       0.0      36129         0
hdisk674         0.0       0.0       0.0         16         0
hdisk82          0.0       4.0       0.0   21907064  21620800
hdisk627         0.0       0.0       0.0         14     15640
hdisk673         0.0       0.0       0.0         19         0
hdisk679         0.0       0.0       0.0         21         0
hdisk678         0.0       0.0       0.0         25         0
hdisk429         0.3      29.1       0.2   312206114   6563608
hdisk426         0.0       0.3       0.0     466968   3176732
hdisk427         0.2      29.5       0.2   316039211   7075876
hdisk432         0.2      29.7       0.2   318052432   6683096
hdisk424         0.1       3.0       0.2    1374106  31544704
hdisk428         0.2      29.0       0.2   311017864   6334492
hdisk431         0.2      28.6       0.2   306352480   6535100
hdisk430         0.2      28.2       0.2   301880834   6471152

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk425         0.0       0.1       0.0     549224    148357
hdisk743         0.0       0.0       0.0         17         0
hdisk436         0.2      26.1       0.2   278545329   6551584
hdisk437         0.2      26.7       0.2   286013119   6447688
hdisk442         0.2      28.5       0.2   305197355   6472748
hdisk434         0.2      28.1       0.2   300106631   7020196
hdisk440         0.2      29.9       0.2   320013780   6484808
hdisk439         0.2      27.5       0.2   294359671   6717808
hdisk435         0.2      26.9       0.2   287611162   6630520
hdisk433         0.2      28.2       0.2   301649527   6412460
hdisk441         0.3      28.4       0.2   304382282   6516208
hdisk438         0.2      24.6       0.2   262646563   6382088
hdisk445         0.2      32.1       0.2   344063680   7097092
hdisk744         0.0       0.0       0.0         17         0
hdisk444         0.2      31.2       0.2   335300290   6281080
hdisk443         0.2      30.8       0.2   330145309   6826424
hdisk453         0.2      27.9       0.2   297924583   6719368
hdisk448         0.2      29.9       0.2   320640337   6865128
hdisk450         0.2      27.3       0.2   291672820   6641688
hdisk447         0.3      27.2       0.2   290277122   6672240
hdisk454         0.2      29.3       0.2   313599873   6796048
hdisk457         0.3      25.0       0.9   137018230  136311500
hdisk455         0.2      28.6       0.2   305652658   6869028
hdisk446         0.2      26.7       0.2   285427445   6059104

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk456         0.3      25.5       0.9   139313477  139209204
hdisk451         0.2      25.8       0.2   275369892   6843820
hdisk460         0.4      25.3       0.9   138902966  138313516
hdisk452         0.2      26.8       0.2   286817856   6819372
hdisk459         0.4      25.3       0.9   139029122  137738612
hdisk462         0.2      67.9       0.2   577841575  165324588
hdisk461         0.3      24.9       0.9   137945265  134299588
hdisk458         0.3      25.0       0.9   138583116  135252908
hdisk465         0.2      68.5       0.2   583356780  165503828
hdisk466         0.2      68.3       0.2   582216726  165093516
hdisk463         0.2      68.1       0.2   579239284  165370508
hdisk449         0.2      28.9       0.2   309388925   6332712
hdisk471         0.2      68.2       0.2   580756228  165571268
hdisk467         0.2      68.3       0.2   581820442  164994680
hdisk464         0.2      68.3       0.2   582492683  164819644
hdisk472         0.2      68.3       0.2   582066921  165170756
hdisk474         0.2      68.4       0.2   582445532  165479440
hdisk468         0.2      68.3       0.2   582822187  164413868
hdisk473         0.2      68.4       0.2   582553596  165566632
hdisk475         0.2      68.4       0.2   583257917  165188328
hdisk470         0.2      68.2       0.2   580341715  165276720
hdisk477         0.2      68.3       0.2   581638583  165090164
hdisk469         0.2      68.3       0.2   581416825  165095336
hdisk478         0.2      68.3       0.2   581954532  165079256

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk476         0.2      68.4       0.2   582571901  165117172
hdisk484         0.0       2.5       0.0   26958214         0
hdisk488         0.0       2.5       0.0   26816683         0
hdisk483         0.0       2.5       0.0   26934274         0
hdisk489         0.0       2.4       0.0   26744218         0
hdisk490         0.2      77.2       0.6   314075536  530399844
