==== This output can be found in Systems/dx977/os/fileprint_var_adm_sulog.txt ====
==== START fileprint /var/adm/sulog Tue Jul  7 00:10:22 GST 2015 ====
==== BEGIN Contents of /var/adm/sulog ====
SU 04/01 22:08 + pts/3 root-oracle
SU 04/01 22:11 + pts/3 root-oracle
SU 04/01 22:47 + tty?? root-pconsole
SU 04/01 23:06 + tty?? root-oracle
SU 04/01 23:13 + pts/2 root-oracle
SU 04/02 03:50 + pts/6 root-oracle
SU 04/02 09:56 + pts/4 root-oracle
SU 04/02 10:32 + pts/8 root-oracle
SU 04/02 11:31 + pts/9 root-oracle
SU 04/02 11:31 + pts/11 root-oracle
SU 04/02 14:04 + pts/9 root-oracle
SU 04/02 14:06 + pts/12 root-oracle
SU 04/02 14:37 + pts/13 root-oracle
SU 04/02 14:42 + pts/14 root-oracle
SU 04/02 14:53 + pts/15 root-oracle
SU 04/02 14:56 + pts/16 root-oracle
SU 04/02 15:08 + pts/18 root-oracle
SU 04/02 15:46 + pts/11 root-oracle
SU 04/03 01:22 + pts/15 root-oracle
SU 04/03 01:23 + pts/15 root-oracle
SU 04/03 04:47 + pts/8 root-oracle
SU 04/05 10:36 + pts/9 root-oracle
SU 04/06 10:41 + pts/8 oracle-root
SU 04/06 10:55 + pts/8 oracle-root
SU 04/06 10:57 + pts/8 oracle-root
SU 04/06 15:33 + pts/2 root-oracle
SU 04/06 16:51 + pts/10 root-oracle
SU 04/07 09:33 + pts/5 root-oracle
SU 04/07 09:43 + pts/5 oracle-root
SU 04/07 09:44 + pts/5 root-oracle
SU 04/07 19:53 + pts/5 root-oracle
SU 04/09 07:59 + pts/9 root-oracle
SU 04/09 10:55 + pts/0 root-oracle
SU 04/09 10:55 - pts/0 oracle-root
SU 04/09 10:55 - pts/0 oracle-root
SU 04/09 10:55 - pts/0 oracle-oracle
SU 04/09 10:56 - pts/0 oracle-oracle
SU 04/09 10:57 + pts/0 root-oracle
SU 04/09 13:07 + pts/9 root-oracle
SU 04/09 13:15 + pts/5 root-oracle
SU 04/13 09:59 + pts/1 root-oracle
SU 04/14 08:21 + pts/2 root-oracle
SU 04/14 09:00 + tty?? root-oracle
SU 04/14 17:26 + pts/12 root-oracle
SU 04/15 09:00 + tty?? root-oracle
SU 04/15 14:34 + pts/4 root-test
SU 04/15 14:43 + pts/4 root-test
SU 04/15 15:39 + pts/4 root-oracle
SU 04/16 09:00 + tty?? root-oracle
SU 04/17 01:42 + vty0 root-oracle
SU 04/17 01:47 + vty0 root-oracle
SU 04/17 09:00 + tty?? root-oracle
SU 04/18 09:00 + tty?? root-oracle
SU 04/19 09:00 + tty?? root-oracle
SU 04/20 09:00 + tty?? root-oracle
SU 04/21 04:30 + pts/0 root-oracle
SU 04/21 09:00 + tty?? root-oracle
SU 04/22 09:00 + tty?? root-oracle
SU 04/23 09:00 + tty?? root-oracle
SU 04/24 09:00 + tty?? root-oracle
SU 04/25 09:00 + tty?? root-oracle
SU 04/26 09:00 + tty?? root-oracle
SU 04/27 09:00 + tty?? root-oracle
SU 04/28 09:00 + tty?? root-oracle
SU 04/29 09:00 + tty?? root-oracle
SU 04/29 17:51 + vty0 root-root
SU 04/30 09:00 + tty?? root-oracle
SU 05/01 09:00 + tty?? root-oracle
SU 05/02 09:00 + tty?? root-oracle
SU 05/03 09:00 + tty?? root-oracle
SU 05/04 09:00 + tty?? root-oracle
SU 05/05 09:00 + tty?? root-oracle
SU 05/06 09:00 + tty?? root-oracle
SU 05/07 09:00 + tty?? root-oracle
SU 05/08 09:00 + tty?? root-oracle
SU 05/09 09:00 + tty?? root-oracle
SU 05/10 09:00 + tty?? root-oracle
SU 05/11 09:00 + tty?? root-oracle
SU 05/12 09:00 + tty?? root-oracle
SU 05/13 09:00 + tty?? root-oracle
SU 05/14 09:00 + tty?? root-oracle
SU 05/15 09:00 + tty?? root-oracle
SU 05/16 09:00 + tty?? root-oracle
SU 05/17 09:00 + tty?? root-oracle
SU 05/18 09:00 + tty?? root-oracle
SU 05/19 09:00 + tty?? root-oracle
SU 05/20 09:00 + tty?? root-oracle
SU 05/21 09:00 + tty?? root-oracle
SU 05/22 09:00 + tty?? root-oracle
SU 05/23 09:00 + tty?? root-oracle
SU 05/24 09:00 + tty?? root-oracle
SU 05/25 09:00 + tty?? root-oracle
SU 05/26 09:00 + tty?? root-oracle
SU 05/27 09:00 + tty?? root-oracle
SU 05/28 09:00 + tty?? root-oracle
SU 05/29 09:00 + tty?? root-oracle
SU 05/30 09:00 + tty?? root-oracle
SU 05/31 09:00 + tty?? root-oracle
SU 06/01 09:00 + tty?? root-oracle
SU 06/02 09:00 + tty?? root-oracle
SU 06/03 09:00 + tty?? root-oracle
SU 06/04 09:00 + tty?? root-oracle
SU 06/05 09:00 + tty?? root-oracle
SU 06/06 09:00 + tty?? root-oracle
SU 06/07 09:00 + tty?? root-oracle
SU 06/08 09:00 + tty?? root-oracle
SU 06/09 09:00 + tty?? root-oracle
SU 06/10 09:00 + tty?? root-oracle
SU 06/11 09:00 + tty?? root-oracle
SU 06/12 09:00 + tty?? root-oracle
SU 06/13 09:00 + tty?? root-oracle
SU 06/14 09:00 + tty?? root-oracle
SU 06/15 09:00 + tty?? root-oracle
SU 06/16 09:00 + tty?? root-oracle
SU 06/17 09:00 + tty?? root-oracle
SU 06/18 09:00 + tty?? root-oracle
SU 06/19 09:00 + tty?? root-oracle
SU 06/20 09:00 + tty?? root-oracle
SU 06/21 09:00 + tty?? root-oracle
SU 06/22 09:00 + tty?? root-oracle
SU 06/23 09:00 + tty?? root-oracle
SU 06/24 09:00 + tty?? root-oracle
SU 06/25 09:00 + tty?? root-oracle
SU 06/26 09:00 + tty?? root-oracle
SU 06/27 09:00 + tty?? root-oracle
SU 06/28 09:00 + tty?? root-oracle
SU 06/29 09:00 + tty?? root-oracle
SU 06/30 09:00 + tty?? root-oracle
SU 06/30 11:50 + pts/9 root-oracle
SU 06/30 14:38 + pts/9 root-oracle
SU 06/30 14:46 + pts/9 root-oracle
SU 06/30 14:49 + pts/9 root-oracle
SU 06/30 14:50 + pts/9 root-oracle
SU 07/01 09:00 + tty?? root-oracle
SU 07/02 09:00 + tty?? root-oracle
SU 07/03 09:00 + tty?? root-oracle
SU 07/03 12:29 + pts/7 root-root
SU 07/04 09:00 + tty?? root-oracle
SU 07/05 09:00 + tty?? root-oracle
SU 07/06 09:00 + tty?? root-oracle
==== END Contents of /var/adm/sulog ====
==== EXITED with rc 0 ====
==== END fileprint /var/adm/sulog Tue Jul  7 00:10:22 GST 2015 ====
