==== This output can be found in Systems/dx976/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Tue Jul  7 13:05:20 CDT 2015 ====

AIX DX976 1 6 00F9ADA14C00    07/07/15

System configuration: lcpu=24 ent=2.00 mode=Uncapped 

13:05:20 cpu    %usr    %sys    %wio   %idle   physc   %entc
13:05:25  0       43      49       0       8    0.10     4.8
          1        0      14       0      86    0.03     1.3
          2        0      13       0      87    0.03     1.3
          3        0      14       0      86    0.03     1.3
          4       25      59       0      16    0.05     2.5
          5        0      21       0      79    0.02     0.9
          6        0      20       0      80    0.02     0.9
          7        0      20       0      80    0.02     0.9
          8       62      37       0       1    0.36    17.8
          9        0       5       0      95    0.07     3.6
          10        0       5       0      95    0.07     3.5
          11        0       4       0      96    0.07     3.5
          12       24      60       0      16    0.05     2.5
          13        0      21       0      79    0.02     0.9
          14        0      21       0      79    0.02     0.9
          15        0      19       0      81    0.02     0.9
          16       54      40       0       6    0.12     6.0
          17        0      13       0      87    0.03     1.5
          18        0      11       0      89    0.03     1.5
          19        0      12       0      88    0.03     1.5
          20       43      48       0       9    0.08     4.1
          21        0      16       0      84    0.02     1.1
          22        0      17       0      83    0.02     1.1
          23        0      16       0      84    0.02     1.1
          U        -       -       0      35    0.69    34.7
          -       19      19       0      61    1.31    65.3
13:05:30  0       30      56       0      14    0.07     3.3
          1        0      25       0      75    0.02     1.2
          2        0      22       0      78    0.02     1.1
          3        0      21       0      79    0.02     1.1
          4       28      56       0      16    0.06     3.0
          5        0      25       0      75    0.02     1.1
          6        0      25       0      75    0.02     1.1
          7        0      26       0      74    0.02     1.1
          8       59      38       0       3    0.22    11.1
          9        0      12       0      88    0.05     2.5
          10        0      11       0      89    0.05     2.5
          11        0      10       0      90    0.05     2.4
          12       49      44       0       6    0.12     5.8
          13        0      18       0      82    0.03     1.6
          14        0      18       0      82    0.03     1.5
          15        0      16       0      84    0.03     1.5
          16       60      37       0       3    0.23    11.3
          17        0      12       0      88    0.05     2.4
          18        0      12       0      88    0.05     2.4
          19        0      11       0      89    0.05     2.4
          20       34      52       0      14    0.07     3.3
          21        0      24       0      76    0.02     1.2
          22        0      23       0      77    0.02     1.2
          23        0      24       0      76    0.02     1.1
          U        -       -       0      33    0.66    33.1
          -       19      21       0      60    1.34    66.9
13:05:35  0       48      46       0       7    0.13     6.3
          1        0      19       0      81    0.03     1.7
          2        0      16       0      84    0.03     1.6
          3        0      15       0      85    0.03     1.6
          4       18      61       0      20    0.04     2.2
          5        0      30       0      70    0.02     1.0
          6        0      29       0      71    0.02     0.9
          7        0      27       0      73    0.02     0.9
          8       48      41       0      11    0.08     4.2
          9        0      21       0      79    0.03     1.3
          10        0      21       0      79    0.03     1.3
          11        0      18       0      82    0.02     1.2
          12       59      38       0       3    0.24    11.9
          13        0      11       0      89    0.05     2.6
          14        0      11       0      89    0.05     2.6
          15        0      11       0      89    0.05     2.6
          16       54      41       0       5    0.15     7.6
          17        0      15       0      85    0.04     1.8
          18        0      15       0      85    0.04     1.8
          19        0      14       0      86    0.04     1.8
          20       53      41       0       7    0.11     5.7
          21        0      18       0      82    0.03     1.5
          22        0      17       0      83    0.03     1.5
          23        0      17       0      83    0.03     1.5
          U        -       -       0      33    0.65    32.7
          -       20      21       0      60    1.35    67.3

Average   0       42      49       0       9    0.10     4.8
          1        0      19       0      81    0.03     1.4
          2        0      17       0      83    0.03     1.3
          3        0      16       0      84    0.03     1.3
          4       24      58       0      17    0.05     2.6
          5        0      26       0      74    0.02     1.0
          6        0      25       0      75    0.02     1.0
          7        0      24       0      76    0.02     1.0
          8       59      38       0       3    0.22    11.1
          9        0      10       0      90    0.05     2.5
          10        0      10       0      90    0.05     2.4
          11        0       9       0      91    0.05     2.4
          12       52      43       0       5    0.13     6.7
          13        0      15       0      85    0.03     1.7
          14        0      15       0      85    0.03     1.7
          15        0      14       0      86    0.03     1.7
          16       57      39       0       4    0.17     8.3
          17        0      13       0      87    0.04     1.9
          18        0      12       0      88    0.04     1.9
          19        0      12       0      88    0.04     1.9
          20       45      46       0       9    0.09     4.3
          21        0      19       0      81    0.03     1.3
          22        0      19       0      81    0.02     1.2
          23        0      19       0      81    0.02     1.2
          U        -       -       0      34    0.67    33.5
          -       19      20       0      60    1.33    66.5
==== EXITED with rc 0 ====
==== END sar -P ALL 5 3 Tue Jul  7 13:05:35 CDT 2015 ====
