==== This output can be found in Systems/dx976/perf/mpstat-i.txt ====
==== START mpstat -i Tue Jul  7 13:05:06 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0 1122592 144080 914440226 693015401 1157496626 7977196
  1     40 173227 886753799 214895457 85110514 2688314
  2     32 173227 859933363 207967818 86284654 2869216
  3     30 173227 840236020 202934771 84989949 2694791
  4 734622 160658 914711308 222152579 308973486 6784179
  5     24 173227 887043433 214503161 86404415 2701985
  6     36 173227 861139257 208312423 85032195 2873176
  7     23 173227 841085360 203073075 86637605 2700706
  8 256410 181254 914445769 391770072 349489056 7038570
  9     26 173227 887026685 214666643 85049265 2698664
 10     30 173227 860444898 208125168 85007113 2871332
 11     29 173227 841130399 203214579 85003576 2701197
 12 434399 172259 914650442 222247854 309270138 6713140
 13     31 173227 887638502 214702492 86328394 2702334
 14     23 173227 861734711 208507412 84996284 2880113
 15     19 173227 841863899 203386193 85004988 2704887
 16 704396 161324 914668636 222362387 308101230 6673462
 17     24 173227 886400287 214381754 85060241 2696409
 18     25 173227 859845475 208086602 84982368 2868276
 19     24 173227 840907650 203209484 84984897 2700153
 20 840844 156094 915144518 222195787 335408636 6146414
 21     30 173230 887549227 214726092 85085106 2694662
 22     28 173227 861391391 208373604 85022901 2872871
 23     21 173227 841566781 203195247 94642440 2708850
ALL 4093758 4093758 21021752036 5730006055 4314366077 90960897
==== EXITED with rc 0 ====
==== END mpstat -i Tue Jul  7 13:05:06 CDT 2015 ====
