==== This output can be found in Systems/dx976/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Tue Jul  7 13:04:45 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 3158  359 1582  903  824   72    1  308 100 70187 18 79  1  3 0.29  9.6 2975
  1   51   13  900  486    3    0    0    7 100   94  1 14  1 84 0.07  2.3 1293
  2    0    0  900  444    0    0    0    0   -    0  0 10  0 90 0.06  2.1 1259
  3    0    0  900  414    0    0    0    0   -    0  0 10  0 90 0.06  2.1 1239
  4 3168  302  917  726 1010   58    0  305 100 104871 46 49  1  3 0.22  7.3 1579
  5   17    8  900  500   30    0    0    7 100   53  0 17  0 82 0.06  1.9 1334
  6    0    0  900  476    0    0    0    0   -    0  0 14  0 86 0.05  1.8 1292
  7    0    0  900  457    0    0    0    0   -    0  0 12  0 88 0.05  1.7 1276
  8 2632  236  904  785  656   32    2  241 100 122840 33 65  0  2 0.35 11.5 1624
  9   11    0  900  482    1    0    0    3 100   17  0 12  0 87 0.08  2.6 1291
 10    0    0  900  458    0    0    0    0   -    0  0  9  0 91 0.07  2.4 1280
 11    0    0  900  445    0    0    0    0   -    0  0  9  0 91 0.07  2.4 1268
 12 4119  356  904  702  829   62    0  326 100 254871 45 51  1  3 0.29  9.5 1906
 13  112   32  900  510    8    1    0    4 100 4962  7 14  1 78 0.07  2.4 1348
 14    0    0  900  445    0    0    0    0   -    0  0 10  0 90 0.07  2.2 1271
 15    0    0  900  429    0    0    0    0   -    0  0 10  0 90 0.06  2.1 1259
 16 4041  148  900  648  654   41    0  217 100 224895 28 70  0  2 0.35 11.5 1461
 17   97    0  900  465    1    0    0    1 100   62  1 11  0 88 0.08  2.5 1284
 18    0    0  900  442    0    0    0    0   -    0  0  9  0 91 0.07  2.4 1273
 19    0    0  900  424    0    0    0    0   -    0  0  9  0 91 0.07  2.4 1263
 20 2864  158 20005  796  666   59    1  204 100 180241 30 68  0  1 0.33 10.9 1722
 21    0    0  900  517    0    0    0    0   -    0  0 12  0 88 0.07  2.4 1316
 22    0    0  900  474    0    0    0    0   -    0  0 11  0 89 0.07  2.3 1291
 23    0    0  900  451    0    0    0    0   -    0  0 10  0 90 0.07  2.3 1273
ALL 20270 1612 41412 12879 4682  325    4 1623 100 963093 20 43  0 37 3.06 153.1 34377
--------------------------------------------------------------------------------

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 2859  352   31  878 1132   76    0  292 100 175793 53 43  1  3 0.29 11.0 1557
  1   34    0   32  580   13    1    0    8 100 12309 10 15  0 75 0.07  2.8  528
  2    0    0   32  489    0    0    0    3 100    0  0 10  0 90 0.06  2.3  453
  3    0    0   32  469    0    0    0    3 100    0  0  9  0 91 0.06  2.3  437
  4 1811  197  716  668 1000   48    0  172 100 72787 23 73  0  4 0.22  8.4 2959
  5    0    0   32  451    0    0    0    3 100    0  0 13  0 87 0.05  2.0  420
  6    0    0   32  424    0    0    0    3 100    0  0 11  0 89 0.05  1.9  396
  7    0    0   32  398    0    0    0    3 100    0  0 11  0 89 0.05  1.9  382
  8 1772  218   32  693  554   29    2  141 100 144315 27 71  0  2 0.39 15.0  944
  9    2    0   32  560    0    0    0    4 100    0  0 22  0 78 0.09  3.4  520
 10    0    0   32  496    0    0    0    3 100    0  0  9  0 91 0.08  3.0  458
 11    0    0   32  478    0    0    0    3 100    0  0  8  0 92 0.08  3.0  446
 12 3147  501   49  700  873   82    1  255 100 95185 49 46  1  3 0.21  8.1 1471
 13   39    0   32  517   37    0    0   13 100   18  1 14  0 85 0.05  2.0  509
 14    0    0   32  478    0    0    0    3 100    0  0 12  0 88 0.05  1.9  447
 15    0    0   32  467    0    0    0    3 100    0  0 11  0 89 0.05  1.9  436
 16 3391  274   35  729  722   46    0  235 100 324374 56 41  1  3 0.30 11.3 1150
 17   50   21   32  566    7    3    0   13 100 10635  8 15  0 76 0.07  2.8  541
 18    0    0   32  487    0    0    0    3 100    0  0 10  0 90 0.06  2.4  453
 19    0    0   32  474    0    0    0    3 100    0  0  9  0 91 0.06  2.4  441
 20 3118  237   32  673  960   57    1  263 100 113439 41 53  1  5 0.17  6.5 1335
 21   25    0   32  501    1    0    0    8 100   49  1 19  0 81 0.05  1.7  466
 22    0    0   32  485    0    0    0    3 100    0  0 15  0 85 0.04  1.6  451
 23    0    0   32  473    0    0    0    3 100    0  0 15  0 85 0.04  1.6  443
ALL 16248 1800 1471 13134 5299  342    4 1443 100 948904 25 38  0 37 2.65 132.3 17643
==== EXITED with rc 0 ====
==== END mpstat 5 2 Tue Jul  7 13:04:55 CDT 2015 ====
