==== This output can be found in Systems/dx979/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Tue Jul  7 00:32:32 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
 23    0    0    0    7    0    0    0    1 100    0  0 24  0 76 0.00  0.0    8
 24    0    0    0   22    2    0    0    1  92  130 81 18  0  0 0.08  0.0   10
 25    0    0    0    7    0    0    0    1 100    0  0  1  0 99 0.02  0.0    7
 26    0    0    0    7    0    0    0    1 100    0  0  1  0 99 0.02  0.0    7
 27    0    0    0    7    0    0    0    1 100    0  0  1  0 99 0.02  0.0    8
 28   98    0    0   24    2    0    0    2  93   74 30 56  0 14 0.00  0.0   25
 29    0    0    0    7    0    0    0    1 100    0  0 25  0 75 0.00  0.0    8
 30    0    0    0    7    0    0    0    1 100    0  0 19  0 81 0.00  0.0    8
 31    0    0    0    7    0    0    0    1 100    0  0 21  0 79 0.00  0.0    7
 32    0    0    0    0    0    0    0    1   0    0  0 64  0 36 0.00  0.0    0
 33    0    0    0    0    0    0    0    1 100    0  0 50  0 50 0.00  0.0    0
 34    0    0    0    0    0    0    0    1 100    0  0 55  0 45 0.00  0.0    0
 35    0    0    0    0    0    0    0    1 100    0  0 44  0 56 0.00  0.0    0
 36 1067    0    0  284  168    8    0   55  94 1340 46 47  0  7 0.03  0.0  357
 37    0    0    0   50    0    0    0    1 100    0  0 10  0 90 0.01  0.0   49
 38    0    0    0   47    0    0    0    1 100    0  0 10  0 90 0.01  0.0   48
 39    0    0    0   47    0    0    0    1 100    0  0 10  0 90 0.01  0.0   48
 40    0    0    0    6    0    0    0    1   0    0  0 82  0 18 0.00  0.0    6
 41    0    0    0    0    0    0    0    1 100    0  0 11  0 89 0.00  0.0    0
 42    0    0    0    0    0    0    0    1 100    0  0 10  0 90 0.00  0.0    0
 43    0    0    0    0    0    0    0    1 100    0  0 10  0 90 0.00  0.0    0
 44    0    0    0  183    0    0    0    1   0    0  0 84  0 16 0.00  0.0  183
 45    0    0    0    0    0    0    0    1 100    0  0  0  0 100 0.00  0.0    0
 46    0    0    0    0    0    0    0    1 100    0  0  0  0 100 0.00  0.0    0
 47    0    0    0    0    0    0    0    1 100    0  0  0  0 100 0.00  0.0    0
ALL 11680    2    0 3657 3291 1094    5  566 100 830693 43 21  0 36 2.13 35.5 3562
==== EXITED with rc 0 ====
==== END mpstat 5 2 Tue Jul  7 00:32:42 GST 2015 ====
