==== This output can be found in Systems/dx979/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Tue Jul  7 00:32:56 GST 2015 ====

AIX DX979 1 7 00F9ADA14C00    07/07/15

System configuration: lcpu=48 ent=6.00 mode=Uncapped 

00:32:56 cpu    %usr    %sys    %wio   %idle   physc   %entc
          8       72      28       0       0    0.08     1.3
          9        0       2       0      98    0.01     0.2
          10        0       2       0      98    0.01     0.2
          11        0       2       0      98    0.01     0.2
          12       58      37       0       4    0.13     2.1
          13        0      11       0      89    0.03     0.5
          14        0      10       0      90    0.03     0.5
          15        0      10       0      90    0.03     0.5
          16        0      57       0      43    0.00     0.0
          17        0      24       0      76    0.00     0.0
          18        0      24       0      76    0.00     0.0
          19        0      21       0      79    0.00     0.0
          20        0      65       0      35    0.00     0.0
          21        0      25       0      75    0.00     0.0
          22        0      24       0      76    0.00     0.0
          23        0      22       0      78    0.00     0.0
          24        0      70       0      30    0.00     0.0
          25        0      45       0      55    0.00     0.0
          26        0      43       0      57    0.00     0.0
          27        0      39       0      61    0.00     0.0
          28        0      59       0      41    0.00     0.0
          29        0      21       0      79    0.00     0.0
          30        0      32       0      68    0.00     0.0
          31        0      22       0      78    0.00     0.0
          32        0      48       0      52    0.00     0.0
          33        0      42       0      58    0.00     0.0
          34        0      40       0      60    0.00     0.0
          35        0      40       0      60    0.00     0.0
          36       27      61       0      13    0.01     0.1
          37        0      15       0      85    0.00     0.0
          38        0      14       0      86    0.00     0.0
          39        0      14       0      86    0.00     0.0
          40        0      55       0      45    0.00     0.0
          41        0      44       0      56    0.00     0.0
          42        0      41       0      59    0.00     0.0
          43        0      39       0      61    0.00     0.0
          44        0      84       0      16    0.00     0.1
          45        0       0       0     100    0.00     0.0
          46        0       0       0     100    0.00     0.0
          47        0       0       0     100    0.00     0.0
          U        -       -       0      68    3.83    63.8
          -       14       7       0      80    2.17    36.2
==== EXITED with rc 0 ====
==== END sar -P ALL 5 3 Tue Jul  7 00:33:11 GST 2015 ====
