==== This output can be found in Systems/dx986/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Tue Jul  7 00:49:14 GST 2015 ====

System configuration: lcpu=32 ent=3.6 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0   1271    293      1      1      0    174     49  97.2   0.1   0.0   0.6   0.0   2.2      0    882  85.3  14.7   0.0     0
  1      1      0      0      0      0      0      0  66.7  33.3   0.0   0.0   0.0   0.0      0    143 100.0   0.0   0.0     0
  2      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    142 100.0   0.0   0.0     0
  3      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    141 100.0   0.0   0.0     0
  4    119     13      0      0      0     14      0  92.9   0.0   0.0   5.6   0.0   1.4      1    199  90.6   9.4   0.0     0
  5      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1     26 100.0   0.0   0.0     0
  6      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     26 100.0   0.0   0.0     0
  7      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     26 100.0   0.0   0.0     0
  8    360    123      1      1      0      2    166  90.9   0.0   0.0   0.5   0.0   8.6      1    296  99.5   0.5   0.0     0
  9      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    190   0.0 100.0   0.0     0
 10      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    143   0.0 100.0   0.0     0
 11      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    141   0.0 100.0   0.0     0
 12     58      6      0      0      0     12      0  89.9   0.0   0.0   7.6   0.0   2.5      1    121  91.3   8.7   0.0     0
 13      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1     26 100.0   0.0   0.0     0
 14      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     26 100.0   0.0   0.0     0
 15      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     26 100.0   0.0   0.0     0
 16     78      7      0      0      0      0     15  94.0   0.0   0.0   2.6   0.0   3.5      2    113  99.8   0.2   0.0     0
 17      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     55   0.0 100.0   0.0     0
 18      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1     54   0.0 100.0   0.0     0
 19      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1     54   0.0 100.0   0.0     0
 20      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0 100.0   0.0   0.0     0
 21      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 22      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 23      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 24     35      1      0      0      0      0     11  90.2   0.0   0.0   3.6   0.0   6.2      1     73  99.5   0.5   0.0     0
 25      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     26   0.0 100.0   0.0     0
 26      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     26   0.0 100.0   0.0     0
 27      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1     26   0.0 100.0   0.0     0
 28      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      0    151 100.0   0.0   0.0     0
 29      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 30      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 31      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
ALL   1922    443      2      2      0    202    241  95.2   0.3   0.0   1.4   0.0   3.2     12   3132  88.8  11.2   0.0     0
------------------------------------------------------------------------------------------------------------

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0   1471    327      1      7      0    110     57  97.3   0.1   0.0   1.2   0.0   1.4      0    867  93.0   7.0   0.0     0
  1      4      1      0      0      0      0      0  73.1  26.9   0.0   0.0   0.0   0.0      0    217 100.0   0.0   0.0     0
  2      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    163 100.0   0.0   0.0     0
  3      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    162 100.0   0.0   0.0     0
  4    315     19      0      0      0      7      4  93.8   0.0   0.0   5.6   0.0   0.5      0    324  97.3   2.7   0.0     0
  5      0      0      0      0      0      0      0     -     -     -     -     -     -      0     46     -     -     -     0
  6      0      0      0      0      0      0      0     -     -     -     -     -     -      0     44     -     -     -     0
  7      0      0      0      0      0      0      0     -     -     -     -     -     -      1     44     -     -     -     0
  8    487    303      1      3      0     13    126  94.8   0.0   0.0   0.4   0.0   4.8      0    201  97.0   3.0   0.0     0
  9      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    165 100.0   0.0   0.0     0
 10      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    165 100.0   0.0   0.0     0
 11      0      0      0      0      0      0      0     -     -     -     -     -     -      0    162     -     -     -     0
 12    398     30      0      0      0      5      2  94.6   0.0   0.0   5.0   0.0   0.3      0    329  98.6   1.4   0.0     0
 13      0      0      0      0      0      0      0     -     -     -     -     -     -      0     46     -     -     -     0
 14      0      0      0      0      0      0      0     -     -     -     -     -     -      0     45     -     -     -     0
 15      0      0      0      0      0      0      0     -     -     -     -     -     -      0     44     -     -     -     0
 16    111      2      0      0      0      4     15  95.5   0.0   0.0   1.3   0.0   3.2      1    181  97.9   2.1   0.0     0
 17      0      0      0      0      0      0      0     -     -     -     -     -     -      0     59     -     -     -     0
 18      0      0      0      0      0      0      0     -     -     -     -     -     -      0     58     -     -     -     0
 19      0      0      0      0      0      0      0     -     -     -     -     -     -      0     57     -     -     -     0
 20      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 21      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 22      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 23      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 24    118      0      0      0      0      0      8  98.3   0.0   0.0   0.3   0.0   1.3      0    169 100.0   0.0   0.0     0
 25      0      0      0      0      0      0      0     -     -     -     -     -     -      0     45     -     -     -     0
 26      0      0      0      0      0      0      0     -     -     -     -     -     -      0     44     -     -     -     0
 27      0      0      0      0      0      0      0     -     -     -     -     -     -      0     43     -     -     -     0
 28      0      0      0      0      0      0      0     -     -     -     -     -     -      0    174     -     -     -     0
 29      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 30      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 31      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
ALL   2904    682      2     10      0    139    212  96.1   0.1   0.0   2.0   0.0   1.7      3   3854  95.2   4.8   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -d 5 2 Tue Jul  7 00:49:24 GST 2015 ====
