==== This output can be found in Systems/dx986/perf/mpstat-d.txt ====
==== START mpstat -d Tue Jul  7 00:49:14 GST 2015 ====

System configuration: lcpu=32 ent=3.6 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0 10651399123 2490820245      1      2     66 107774486 74781571  95.6   0.3   0.0   2.4   0.0   1.7      0 4093823191  79.6  20.4   0.0     0
  1 301315751 127783799      1      2      0 146008  38875  87.1  12.7   0.0   0.2   0.0   0.1 10559837 1368785980  93.7   6.3   0.0     0
  2 14300353 7088957      0      0      0   4492  35411  68.6  30.6   0.0   0.5   0.0   0.3 4412272 1237868063  93.8   6.2   0.0     0
  3 14533841 6971127      0      0      0   4736  34788  69.6  29.6   0.0   0.5   0.0   0.3 3877042 1224640341  94.1   5.9   0.0     0
  4 2428571984 512105247      0      0      0 44792140 4724678  87.6   0.4   0.0   9.9   0.0   2.0 28482993 1024558663  90.3   9.7   0.0     0
  5 108093572 24394891      0      0      0  79688   7059  83.3  16.3   0.0   0.4   0.0   0.1 13236765 374312402  96.7   3.3   0.0     0
  6 5614694 1644804      0      0      0   2713   5136  78.6  19.8   0.0   1.5   0.0   0.1 6051363 316654801  98.6   1.4   0.0     0
  7 5963073 1580207      0      0      0   2729   4979  80.0  18.4   0.0   1.4   0.0   0.1 5542394 313345613  98.7   1.3   0.0     0
  8 5226071732 1211358411      1      1      4 25951133 183506061  94.6   0.5   0.0   1.0   0.0   4.0      0 3481292945  78.1  21.9   0.0     0
  9 220504820 101057990      0      0      0   2252  46751  87.0  13.0   0.0   0.0   0.0   0.0 12050577 1061584241  89.5  10.5   0.0     0
 10 9290469 5408464      0      0      0   1396  45699  61.1  37.9   0.0   0.5   0.0   0.5 3347688 944959997  88.5  11.5   0.0     0
 11 9066330 5075202      0      0      0   1492  45899  60.7  38.3   0.0   0.5   0.0   0.5 2878907 933499965  88.3  11.7   0.0     0
 12 820348568 123504697      0      0      0 15528069 1330396  85.4   0.3   0.0  12.2   0.0   2.1 29369809 535068170  90.2   9.8   0.0     0
 13 40273815 7379452      0      0      0  70793   2884  85.1  13.7   0.0   1.0   0.0   0.2 13891814 156680219  94.4   5.6   0.0     0
 14 5458319 1519127      0      0      0   1195   1929  81.5  17.3   0.0   1.2   0.0   0.1 7290913 135726148  99.0   1.0   0.0     0
 15 5647994 1435078      0      0      0   1077   1816  82.3  16.5   0.0   1.2   0.0   0.0 6924342 134472711  99.1   0.9   0.0     0
 16 791679231 92140067      0      0      0 4300689 31648851  89.5   0.2   0.0   5.7   0.0   4.6 23159458 789297492  96.9   3.1   0.0     0
 17 34670556 10300224      0      0      0   1762   8701  88.0  11.7   0.0   0.3   0.0   0.0 13501892 245180956  96.1   3.9   0.0     0
 18 4886494 2140705      0      0      0   1399   7992  80.1  18.7   0.0   1.0   0.0   0.2 6167471 222198951  84.2  15.8   0.0     0
 19 4783130 1853852      0      0      0   1453   8041  79.9  18.9   0.0   1.0   0.0   0.2 5676845 219629980  84.0  16.0   0.0     0
 20 290503935 52952860      0      0      0 6970984  93126  79.9   0.5   0.0  16.9   0.0   2.7 28749197 134849554  87.6  12.4   0.0     0
 21 31801884 6066900      0      0      0  59210    396  85.5  13.2   0.0   1.1   0.0   0.2 14422903 65354840  93.9   6.1   0.0     0
 22 5043489 1484184      0      0      0     62     13  81.2  18.0   0.0   0.8   0.0   0.0 8006463 52877484  99.3   0.7   0.0     0
 23 5385215 1387653      0      0      0     61     12  82.4  16.8   0.0   0.8   0.0   0.0 7381981 53267745  99.4   0.6   0.0     0
 24 299162721 24207333      0      0      0 225637 14870027  89.7   0.2   0.0   4.9   0.0   5.2 22449051 342716103  99.3   0.7   0.0     0
 25 21543428 6895157      0      0      0    543   3034  91.1   8.6   0.0   0.3   0.0   0.0 13949483 107104286  96.2   3.8   0.0     0
 26 4740081 2054481      0      0      0    386   2812  81.7  17.5   0.0   0.7   0.0   0.1 6915787 98846467  84.0  16.0   0.0     0
 27 4616778 1758192      0      0      0    465   2823  81.5  17.7   0.0   0.8   0.0   0.1 6482130 98029210  83.7  16.3   0.0     0
 28 135626322 25853035      0      0      0 3607417  21209  78.5   1.0   0.0  17.3   0.0   3.2 17794301 1558656332  86.1  13.9   0.0     0
 29 28755208 5736588      0      0      0  70104    336  85.7  12.7   0.0   1.3   0.0   0.2 15192284 43019113  93.4   6.6   0.0     0
 30 5267045 1607129      0      0      0     19     15  81.6  17.6   0.0   0.7   0.0   0.0 8622074 33549204  99.3   0.7   0.0     0
 31 5679986 1512740      0      0      0     10     15  83.0  16.3   0.0   0.7   0.0   0.0 8127701 34177433  99.4   0.6   0.0     0
ALL 21540599941 4867078798      3      5     70 209604600 311281335  93.0   1.0   0.0   3.6   0.0   2.4 354515737 21436028600  82.5  17.5   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -d Tue Jul  7 00:49:14 GST 2015 ====
