==== This output can be found in Systems/dx986/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Tue Jul  7 00:49:04 GST 2015 ====

System configuration: lcpu=32 ent=3.6 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 5615  424    0  620 1341  257    1  279  98 84012 58 40  1  0 0.30  0.0  977
  1    0    0    0  141    0    0    0    3 100    0  0  3  0 97 0.06  0.0  142
  2    0    0    0  141    0    0    0    1 100    0  0  3  0 97 0.06  0.0  141
  3    0    0    0  140    0    0    0    1 100    0  0  2  0 98 0.06  0.0  140
  4  748   20    0  143  200   20    0   58  99 11612 75 23  1  1 0.06  0.0  246
  5    0    0    0   23    0    0    0    1 100    0  0  2  0 98 0.02  0.0   23
  6    0    0    0   23    0    0    0    1 100    0  0  2  0 98 0.02  0.0   23
  7    0    0    0   23    0    0    0    1 100    0  0  2  0 98 0.02  0.0   23
  8 3417    0    0  315  485   95    1  195  94 247944 67 32  1  0 0.24  0.0  460
  9    0    0    0  211    0    0    0    1 100    0  0  4  0 96 0.05  0.0  212
 10    0    0    0  142    0    0    0    1 100    0  0  3  0 97 0.05  0.0  142
 11    0    0    0  140    0    0    0    1 100    0  0  3  0 97 0.05  0.0  141
 12   83    0    0   71   31    0    0    7  99  129 50 41  2  7 0.01  0.0   97
 13    0    0    0    8    0    0    0    1 100    0  0  5  0 95 0.00  0.0    8
 14    0    0    0    8    0    0    0    1 100    0  0  5  0 95 0.00  0.0    8
 15    0    0    0    8    0    0    0    1 100    0  0  5  0 95 0.00  0.0    8
 16 3920    2    0  272  188   24    0  127  93 410053 64 35  0  0 0.29  0.0  265
 17    0    0    0  122    0    0    0    1 100    0  0  2  0 98 0.06  0.0  123
 18    0    0    0  121    0    0    0    1 100    0  0  2  0 98 0.06  0.0  122
 19    0    0    0  121    0    0    0    1 100    0  0  2  0 98 0.06  0.0  122
 20   56    6    0   34   24    1    0    6  99  195 54 40  5  1 0.01  0.0   50
 21    0    0    0    7    0    0    0    1 100    0  0  9  0 91 0.00  0.0    8
 22    0    0    0    8    0    0    0    1 100    0  0  8  0 92 0.00  0.0    8
 23    0    0    0    8    0    0    0    1 100    0  0  3  0 97 0.00  0.0    7
 24 1252    0    0   69   18    2    0   12  97 221556 65 34  0  0 0.13  0.0   37
 25    0    0    0   24    0    0    0    1 100    0  0  1  0 99 0.04  0.0   24
 26    0    0    0   24    0    0    0    1 100    0  0  1  0 99 0.04  0.0   24
 27    0    0    0   24    0    0    0    1 100    0  0  1  0 99 0.04  0.0   24
