==== This output can be found in Systems/dx986/perf/mpstat-i.txt ====
==== START mpstat -i Tue Jul  7 00:49:24 GST 2015 ====

System configuration: lcpu=32 ent=3.6 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0 105491526 1903408 1431717215 196144272 1602667600 309798045
  1 1068020 4828841 1195044488 3289327 175679110 31544361
  2 944671 4832546 1176953545 2906893 60922031 10541935
  3 146933 4858264 1163623410 2774286 59354277 9611076
  4 19015781 4249910 409448116 1538815 264147949 125676939
  5 170016 4856331 299355583 936079 74238193 22195256
  6  34372 4860746 294313572 849069 25470032 5785626
  7   8053 4861583 290227403 794778 25084348 5117306
  8 1508468 4823458 1430947270 147034857 942813054 192793439
  9  44909 4862460 912738897 2563443 169194988 30485211
 10  36059 4861605 896970899 2293368 48583834 8369186
 11  35389 4861605 885877054 2147582 46950986 7470233
 12 9100552 4568829 183904255 642810 132858873 63384933
 13 904414 4832567 123673645 321707 37088930 15124500
 14   3747 4861584 121437816 289293 19783836 4652442
 15  13075 4861284 119617603 268106 19476717 4219910
 16  32459 4862520 278737056 1110874 157696024 62543131
 17   7094 4861622 207726046 502431 46835017 16217279
 18   6794 4861594 203974969 450557 23257150 4454389
 19   6615 4861593 200944832 417139 22558388 3707359
 20 2677021 4775419 55643034 219591 58805510 38092677
 21 1493569 4813488 45417497 140980 27440883 13941257
 22  10979 4861281 44606157 127998 15253794 4344700
 23   1437 4861589 43919611 118625 14881122 3577375
 24   8248 4862259 110442914 423117 78187170 32914520
 25   2976 4861596 88978503 206805 29974937 13769912
 26   2912 4861591 87347392 184290 17905845 3756365
 27   2916 4861600 85926939 171510 17325451 3014921
 28 6298108 4660207 1433329838 3861445 122149862 34456827
 29 671749 4839993 27417306  80772 24179661 13142181
 30 1428425 4815538 26981949  72121 14541207 4421264
 31    974 4861588 26630123  68419 14248050 3871065
ALL 151178261 151168499 13903874937 372951359 4389554829 1102995620
==== EXITED with rc 0 ====
==== END mpstat -i Tue Jul  7 00:49:24 GST 2015 ====
