==== This output can be found in Systems/dx988/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Thu Aug  6 11:16:45 GST 2015 ====

System configuration: lcpu=24 ent=4.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0   1043    472      1      3      0      0    122  98.9   0.0   0.0   0.0   0.0   1.1      4    246  99.0   1.0   0.0     0
  1      0      0      0      0      0      0      0     -     -     -     -     -     -      0     90     -     -     -     0
  2      0      0      0      0      0      0      0     -     -     -     -     -     -      0     89     -     -     -     0
  3      0      0      0      0      0      0      0     -     -     -     -     -     -      0     90     -     -     -     0
  4    199     45      0      0      0     91     51  92.5   0.0   0.0   0.0   0.0   7.5      0    259  30.4  69.6   0.0     0
  5      0      0      0      0      0      0      0     -     -     -     -     -     -      0     90     -     -     -     0
  6      0      0      0      0      0      0      0     -     -     -     -     -     -      0     90     -     -     -     0
  7      0      0      0      0      0      0      0     -     -     -     -     -     -      0     90     -     -     -     0
  8      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
  9      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 10      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 11      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 12      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 13      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 14      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 15      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 16      0      0      0      0      0      0      0     -     -     -     -     -     -      0     98     -     -     -     0
 17      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 18      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 19      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 20      0      0      0      0      0      0      0     -     -     -     -     -     -      0    148     -     -     -     0
 21      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 22      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 23      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
ALL   1242    517      1      3      0     91    173  98.0   0.0   0.0   0.0   0.0   2.0      4   1290  88.8  11.2   0.0     0
------------------------------------------------------------------------------------------------------------

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0    220    101      1      1      0      3     39  99.2   0.0   0.0   0.0   0.0   0.8      7     77  93.8   6.2   0.0     0
  1      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     18 100.0   0.0   0.0     0
  2      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     18 100.0   0.0   0.0     0
  3      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     17 100.0   0.0   0.0     0
  4     89     16      1      1      0      0     71  94.0   0.0   0.0   0.0   0.0   6.0      0    174  52.0  48.0   0.0     0
  5      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     16   0.0 100.0   0.0     0
  6      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     16   0.0 100.0   0.0     0
  7      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     16   0.0 100.0   0.0     0
  8      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      0      0 100.0   0.0   0.0     0
  9      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 10      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 11      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 12      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      0      0   0.0 100.0   0.0     0
 13      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 14      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 15      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 16      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      0     26 100.0   0.0   0.0     0
 17      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 18      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 19      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 20     21      2      0      0      0      0     36  79.2   0.0   0.0   0.0   0.0  20.8      0     53  46.7  53.3   0.0     0
 21      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      3   0.0 100.0   0.0     0
 22      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      3   0.0 100.0   0.0     0
 23      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      3   0.0 100.0   0.0     0
ALL    330    119      2      2      0      3    146  95.7   0.9   0.0   0.0   0.0   3.4      7    440  79.7  20.3   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -d 5 2 Thu Aug  6 11:16:55 GST 2015 ====
