==== This output can be found in Systems/dx988/perf/mpstat-i.txt ====
==== START mpstat -i Thu Aug  6 11:16:55 GST 2015 ====

System configuration: lcpu=24 ent=4.0 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0   3864      1  21844  65663 244440  45397
  1      0    169  20548    130  14788    174
  2      0    169  20468     85  14930    172
  3      0    169  20407    127  14506    145
  4      0    169  20776   2304  68247  14204
  5      0    169  13558     66   5230    679
  6      0    169  13528     18   3520    112
  7      0    169  13493     11   3536     96
  8      0    169   1304     40   4969   2905
  9      0    169   1043      1   1419      9
 10      0    169   1040      1   1415     11
 11      0    169   1040      2   1422     14
 12      0    169    961     50   3917   1618
 13      0    169    822      1   1470    154
 14      0    169    808      2   1225     18
 15      0    169    820      2   1226     13
 16      0    169  21885    261  36432   2108
 17      0    169    617      1   1351      4
 18      0    169    613      1   1350     15
 19      0    169    616      3   1350     11
 20      0    169  21426  16637  52212   7278
 21     23    168   4312     25   4912    346
 22      0    169   4327     17   2910    103
 23      0    169   4261      5   2628     78
ALL   3887   3887 210517  85453 489405  75664
==== EXITED with rc 0 ====
==== END mpstat -i Thu Aug  6 11:16:55 GST 2015 ====
