==== This output can be found in Systems/dx987/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Mon Jul  6 23:51:46 GST 2015 ====

System configuration: lcpu=32 ent=3.6 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0    155     61      1      2      0     12     61  95.4   0.0   0.0   0.0   0.0   4.6      0    111  78.8  21.2   0.0     0
  1      0      0      0      0      0      0      0     -     -     -     -     -     -      0     12     -     -     -     0
  2      0      0      0      0      0      0      0     -     -     -     -     -     -      1     12     -     -     -     0
  3      0      0      0      0      0      0      0     -     -     -     -     -     -      0     12     -     -     -     0
  4    106     28      0      0      0     20     66  91.0   0.0   0.0   0.0   0.0   9.0      1    137  42.0  58.0   0.0     0
  5      0      0      0      0      0      0      0     -     -     -     -     -     -      0      8     -     -     -     0
  6      0      0      0      0      0      0      0     -     -     -     -     -     -      0      8     -     -     -     0
  7      0      0      0      0      0      0      0     -     -     -     -     -     -      0      8     -     -     -     0
  8     62      7      0      0      0      0     69  86.4   0.0   0.0   0.0   0.0  13.6      0    158  56.8  43.2   0.0     0
  9      0      0      0      0      0      0      0     -     -     -     -     -     -      1      5     -     -     -     0
 10      0      0      0      0      0      0      0     -     -     -     -     -     -      0      5     -     -     -     0
 11      0      0      0      0      0      0      0     -     -     -     -     -     -      0      5     -     -     -     0
 12      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 13      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 14      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 15      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 16      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 17      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 18      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 19      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 20      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 21      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 22      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 23      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 24      0      0      0      0      0      0      0     -     -     -     -     -     -      0     33     -     -     -     0
 25      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 26      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 27      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 28      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 29      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 30      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 31      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
ALL    323     96      1      2      0     32    196  92.4   0.0   0.0   0.0   0.0   7.6      7    514  63.3  36.7   0.0     0
------------------------------------------------------------------------------------------------------------

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
