==== This output can be found in Systems/dx987/perf/mpstat-i.txt ====
==== START mpstat -i Mon Jul  6 23:51:56 GST 2015 ====

System configuration: lcpu=32 ent=3.6 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0  82057 392452 15284148 257053070 1117911088 8926830
  1  53498   2890 14619945 114069 51502417  71457
  2  53252   2890 14336110  98505 51475001  64654
  3  53285   2890 14109746  93185 51485761  62038
  4  30134   2649 1354208 5171530 36116772 600123
  5  13156   2890 457276   3898 4460054  15769
  6  13088   2890 441888   2251 4455072  14614
  7  12933   2890 426364   2179 4452693  16513
  8  65702   2891 15307511 62954155 81190484 525956
  9  11349   2890 199910   1392 11360654  21524
 10  11498   2890 196093    381 3296762  11623
 11  11397   2890 193883    387 3299171  10697
 12   1205   2890  21347   3004 11666579  57883
 13    656   2890  13129     52 3169890  10417
 14    637   2890  13057     46 3167158  10073
 15    607   2890  13115     31 3165821  11590
 16    988   2889  20325   2239 11326712  93367
 17    633   2890  12781     29 3164719  12654
 18    613   2890  12725     26 3164353  11425
 19    599   2890  12636     23 3164026  13154
 20   1108   2890  19183   2109 11297560  57907
 21    639   2890  11908     42 3163719  11540
 22    670   2890  11810     43 3162989  11156
 23    716   2890  11950     31 3162737  13016
 24  65603   2890 15307053 203025 157447002 272937
 25    263   2890   7865     38 3158252   5410
 26    245   2890   7676     32 3157360   7696
 27    236   2890   7502     22 3157505   9478
 28    260   2890   8952    336 11244149  49688
 29    178   2890   5743     15 3153489  12452
 30    197   2890   5653     19 3153531  11564
 31    176   2890   5639     20 3153568  13035
ALL 487578 481801 92457131 325706184 1671407048 11038240
==== EXITED with rc 0 ====
==== END mpstat -i Mon Jul  6 23:51:56 GST 2015 ====
