==== This output can be found in Systems/dx987/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Mon Jul  6 23:51:35 GST 2015 ====

System configuration: lcpu=32 ent=3.6 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 8147    0    0  306  130   52    2   57  93 792052 60 40  0  0 0.49  0.0  124
  1    0    0    0   11    0    0    0    0   -    0  0  0  0 100 0.09  0.0   11
  2    0    0    0   11    0    0    0    0   -    0  0  0  0 100 0.09  0.0   11
  3    0    0    0   11    0    0    0    0   -    0  0  0  0 100 0.09  0.0   11
  4 4536    0    0  119  129   41    0   88  87 205564 59 40  0  1 0.15  0.0  124
  5    0    0    0    8    0    0    0    0   -    0  0  0  0 100 0.03  0.0    7
  6    0    0    0    8    0    0    0    0   -    0  0  0  0 100 0.03  0.0    7
  7    0    0    0    8    0    0    0    0   -    0  0  0  0 100 0.03  0.0    7
  8 2606    0    0  168   66   11    0   26  93 9345 45 53  0  2 0.03  0.0  169
  9    0    0    0    5    0    0    0    0   -    0  0  0  0 100 0.01  0.0    6
 10    0    0    0    5    0    0    0    0   -    0  0  0  0 100 0.01  0.0    5
 11    0    0    0    5    0    0    0    0   -    0  0  0  0 100 0.01  0.0    5
 12    0    0    0    2    0    0    0    0   -    0  0 65  0 35 0.00  0.0    1
 13    0    0    0    0    0    0    0    0   -    0  0  3  0 97 0.00  0.0    0
 14    0    0    0    0    0    0    0    0   -    0  0  4  0 96 0.00  0.0    0
 15    0    0    0    0    0    0    0    0   -    0  0  5  0 95 0.00  0.0    0
 16    0    0    0    2    0    0    0    0   -    0  0 62  0 38 0.00  0.0    1
 17    0    0    0    0    0    0    0    0   -    0  0  3  0 97 0.00  0.0    0
 18    0    0    0    0    0    0    0    0   -    0  0  3  0 97 0.00  0.0    0
 19    0    0    0    0    0    0    0    0   -    0  0  4  0 96 0.00  0.0    0
 20    0    0    0    2    0    0    0    0   -    0  0 48  0 52 0.00  0.0    1
 21    0    0    0    0    0    0    0    0   -    0  0  4  0 96 0.00  0.0    0
 22    0    0    0    0    0    0    0    0   -    0  0  4  0 96 0.00  0.0    0
 23    0    0    0    0    0    0    0    0   -    0  0  5  0 95 0.00  0.0    0
 24    0    0    0   33    0    0    0    0   -    0  0 60  0 40 0.00  0.0   33
 25    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 26    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 27    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 28    0    0    0    2    0    0    0    0   -    0  0 39  0 61 0.00  0.0    1
 29    0    0    0    0    0    0    0    0   -    0  0  5  0 95 0.00  0.0    0
 30    0    0    0    0    0    0    0    0   -    0  0  6  0 94 0.00  0.0    0
 31    0    0    0    0    0    0    0    0   -    0  0  7  0 93 0.00  0.0    0
ALL 15289    0    0  706  325  104    2  171   0 1006961 38 26  0 36 1.05 29.0  524
--------------------------------------------------------------------------------

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 7715    0    0  345  172   71    2   54  95 766253 61 39  0  0 0.48  0.0  138
  1    0    0    0   21    0    0    0    1 100    0  0  0  0 100 0.09  0.0   21
  2    0    0    0   21    0    0    0    1 100    0  0  0  0 100 0.09  0.0   21
  3    0    0    0   21    0    0    0    1 100    0  0  0  0 100 0.09  0.0   21
  4 5525    0    0  159  205   62    0  103  91 206363 53 46  0  1 0.18  0.0  185
  5    0    0    0   18    0    0    0    1 100    0  0  1  0 99 0.03  0.0   19
  6    0    0    0   18    0    0    0    1 100    0  0  1  0 99 0.03  0.0   19
  7    0    0    0   18    0    0    0    1 100    0  0  1  0 99 0.03  0.0   19
  8 1560    0    0  138   34    7    0   32  83 5376 41 56  0  3 0.02  0.0  143
  9    0    0    0    4    0    0    0    1 100    0  0  1  0 99 0.00  0.0    4
 10    0    0    0    3    0    0    0    1 100    0  0  0  0 100 0.00  0.0    3
 11    0    0    0    3    0    0    0    1 100    0  0  0  0 100 0.00  0.0    3
 12    0    0    0    2    0    0    0    1   0    0  0 80  0 20 0.00  0.0    1
 13    0    0    0    0    0    0    0    1 100    0  0 23  0 77 0.00  0.0    0
 14    0    0    0    0    0    0    0    1 100    0  0 20  0 80 0.00  0.0    0
 15    0    0    0    0    0    0    0    1 100    0  0 19  0 81 0.00  0.0    0
 16    0    0    0    2    0    0    0    1   0    0  0 78  0 22 0.00  0.0    1
 17    0    0    0    0    0    0    0    1 100    0  0 25  0 75 0.00  0.0    0
 18    0    0    0    0    0    0    0    1 100    0  0 22  0 78 0.00  0.0    0
 19    0    0    0    0    0    0    0    1 100    0  0 20  0 80 0.00  0.0    0
 20    0    0    0    2    0    0    0    1   0    0  0 66  0 34 0.00  0.0    1
 21    0    0    0    0    0    0    0    1 100    0  0 29  0 71 0.00  0.0    0
 22    0    0    0    0    0    0    0    1 100    0  0 26  0 74 0.00  0.0    0
 23    0    0    0    0    0    0    0    1 100    0  0 23  0 77 0.00  0.0    0
 24    0    0    0   42    0    0    0    1   0    0  0 67  0 33 0.00  0.0   42
 25    0    0    0    0    0    0    0    1 100    0  0  1  0 99 0.00  0.0    0
 26    0    0    0    0    0    0    0    1 100    0  0  1  0 99 0.00  0.0    0
 27    0    0    0    0    0    0    0    1 100    0  0  1  0 99 0.00  0.0    0
 28    0    0    0    2    0    0    0    1   0    0  0 56  0 44 0.00  0.0    1
 29    0    0    0    0    0    0    0    1 100    0  0 29  0 71 0.00  0.0    0
 30    0    0    0    0    0    0    0    1 100    0  0 25  0 75 0.00  0.0    0
 31    0    0    0    0    0    0    0    1 100    0  0 23  0 77 0.00  0.0    0
ALL 14800    0    0  819  411  140    2  218 100 977992 37 27  0 36 1.06 29.4  642
==== EXITED with rc 0 ====
==== END mpstat 5 2 Mon Jul  6 23:51:45 GST 2015 ====
