==== This output can be found in Systems/dx1011/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Tue Jul  7 13:39:49 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 1606  142    0  753  425   16    1  161 100 95410 17 80  0  2 0.26  9.6  814
  1    0    0    0  657   24    0    0    3 100    5  0 27  0 73 0.07  2.5  558
  2    0    0    0  550    0    0    0    1 100    0  0 21  0 79 0.06  2.3  435
  3    0    0    0  537    0    0    0    1 100    0  0 15  0 85 0.06  2.1  420
  4 2633  153    0  671  621   27    0  236 100 76192 28 67  1  5 0.24  8.9 1015
  5    6    0    0  644    5    0    0    2 100   31  0 66  0 34 0.12  4.3  515
  6    0    0    0  540    0    0    0    1 100    0  0 29  0 71 0.06  2.4  428
  7    0    0    0  529    0    0    0    1 100    0  0 23  0 77 0.06  2.2  418
  8 2319  322    0  708  395   22    0  185 100 150449 36 57  1  5 0.20  7.5  992
  9   35   81    0  625    8    2    0    9 100  826  6 37  3 54 0.07  2.7  582
 10    0    0    0  546    0    0    0    1 100    0  0 25  0 75 0.05  2.0  424
 11    0    0    0  526    0    0    0    1 100    0  0 23  0 77 0.05  2.0  418
 12 2157  251    0  665  397   30    0  179 100 142191 32 65  1  2 0.28 10.4  868
 13    0    0    0  650   26    0    0    5 100    0  0 41  0 59 0.08  3.0  556
 14    0    0    0  558    0    0    0    1 100    0  0 20  0 80 0.06  2.4  436
 15    0    0    0  544    0    0    0    1 100    0  0 16  0 84 0.07  2.5  430
 16 2314  192    0  672  437   17    0  175 100 182445 26 72  1  2 0.31 11.4  897
 17    0    0    0  645    1    0    0    1 100    1  0 18  0 82 0.07  2.5  523
 18    0    0    0  547    0    0    0    1 100    0  0 13  0 87 0.06  2.4  433
 19    0    0    0  533    0    0    0    1 100    0  0 13  0 87 0.06  2.4  419
 20 1803  271    0  670  764   33    1  267 100 79682 24 69  1  6 0.20  7.5 1220
 21   12   22    0  648   56    1    0   11 100  225  1 51  1 47 0.08  3.0  592
 22    0    0    0  544    0    0    0    1 100    0  0 29  0 71 0.06  2.2  427
 23    0    0    0  526    0    0    0    1 100    0  0 30  0 70 0.06  2.1  410
ALL 12885 1434    0 14488 3159  148    2 1246 100 727457 15 51  1 33 2.69 134.6 14230
--------------------------------------------------------------------------------

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 1970  326    0  837  431   37    1  198 100 217399 41 55  1  3 0.26 11.7  972
  1    0    0    0  496    0    0    0    0 100    0  0 14  0 86 0.06  2.7  397
  2    0    0    0  475    0    0    0    0   -    0  0 12  0 88 0.06  2.6  382
  3    0    0    0  459    0    0    0    0   -    0  0 11  0 89 0.06  2.6  364
  4 2103  251    4  643  544   40    1  199 100 127619 48 48  1  3 0.25 11.5  985
  5    0    0    0  538    0    0    0    0 100    0  0 13  0 87 0.06  2.6  438
  6    0    0    0  478    0    0    0    0   -    0  0 12  0 88 0.06  2.5  383
  7    0    0    0  462    0    0    0    0   -    0  0 12  0 88 0.06  2.5  367
  8 2104  197    0  634  569   26    0  215 100 132209 41 53  1  5 0.18  8.2  995
  9    0    0    0  521    0    0    0    0   -    0  0 17  0 83 0.05  2.1  415
 10    0    0    0  476    0    0    0    0   -    0  0 17  0 83 0.05  2.1  378
 11    0    0    0  461    0    0    0    0   -    0  0 15  0 85 0.05  2.1  366
 12 1967  206    4  642  527   26    0  237 100 146402 39 55  1  5 0.20  8.8  944
 13    0    0    0  516    0    0    0    0   -    0  0 16  0 84 0.05  2.2  419
 14    0    0    0  471    0    0    0    0   -    0  0 15  0 85 0.05  2.2  385
 15    0    0    0  469    0    0    0    0   -    0  0 15  0 85 0.05  2.1  373
 16 2503  192    0  640  472   33    1  188 100 252083 50 47  1  3 0.25 11.1  878
 17    0    0    0  495    0    0    0    0   -    0  0 13  0 87 0.06  2.6  397
 18    0    0    0  472    0    0    0    0   -    0  0 12  0 88 0.06  2.6  377
 19    0    0    0  453    0    0    0    0   -    0  0 12  0 88 0.06  2.5  368
 20 1935  237    0  633  586   28    1  224 100 44924 36 56  1  6 0.16  7.1 1070
 21    0    0    0  522    0    0    0    0 100    0  0 20  0 80 0.04  2.0  419
 22    0    0    0  468    0    0    0    0   -    0  0 17  0 83 0.04  1.9  375
 23    0    0    0  459    0    0    0    0   -    0  0 16  0 84 0.04  1.9  364
ALL 12582 1409    8 12720 3129  190    4 1261 100 920636 25 36  0 38 2.23 111.3 12811
==== EXITED with rc 0 ====
==== END mpstat 5 2 Tue Jul  7 13:39:59 CDT 2015 ====
