==== This output can be found in Systems/dx1011/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Tue Jul  7 13:39:59 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
  0    242     16      1      1      0      0      0  95.1   0.0   0.0   4.9   0.0   0.0     28    602 100.0   0.0   0.0
  1      0      0      0      0      0      0      0  50.0  50.0   0.0   0.0   0.0   0.0      3    452 100.0   0.0   0.0
  2      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    436 100.0   0.0   0.0
  3      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    419 100.0   0.0   0.0
  4     84      6      1      1      0      0      0  95.3   0.0   0.0   4.7   0.0   0.0     24    391 100.0   0.0   0.0
  5      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      5    447 100.0   0.0   0.0
  6      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    430 100.0   0.0   0.0
  7      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      4    416 100.0   0.0   0.0
  8    214      4      0      0      0      0      0  97.2   0.0   0.0   2.8   0.0   0.0     12    691 100.0   0.0   0.0
  9      0      0      0      0      0      0      0  50.0  50.0   0.0   0.0   0.0   0.0      2    446 100.0   0.0   0.0
 10      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    424 100.0   0.0   0.0
 11      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    408 100.0   0.0   0.0
 12    234     10      0      0      0      0      0  96.5   0.0   0.0   3.5   0.0   0.0     22    661 100.0   0.0   0.0
 13      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    451 100.0   0.0   0.0
 14      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    429 100.0   0.0   0.0
 15      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    413 100.0   0.0   0.0
 16    222      5      0      0      0      0      0  96.9   0.0   0.0   3.1   0.0   0.0     14    694 100.0   0.0   0.0
 17      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    445 100.0   0.0   0.0
 18      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    422 100.0   0.0   0.0
