==== This output can be found in Systems/dx1011/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Tue Jul  7 13:40:25 CDT 2015 ====

AIX DX1011 1 6 00F92EEC4C00    07/07/15

System configuration: lcpu=24 ent=2.00 mode=Uncapped 

13:40:25 cpu    %usr    %sys    %wio   %idle   physc   %entc
13:40:30  0       25      65       0      10    0.11     5.5
          1        0      24       0      76    0.03     1.7
          2        0      23       0      77    0.03     1.7
          3        0      22       0      78    0.03     1.7
          4       20      58       0      22    0.05     2.7
          5        0      33       0      67    0.03     1.3
          6        0      30       0      70    0.02     1.2
          7        0      29       0      71    0.02     1.2
          8       37      49       0      14    0.08     4.0
          9        0      28       0      72    0.03     1.5
          10        0      27       0      73    0.03     1.5
          11        0      25       0      75    0.03     1.4
          12       58      40       0       2    0.31    15.5
          13        0      12       0      88    0.07     3.5
          14        0      11       0      89    0.07     3.4
          15        0      10       0      90    0.07     3.4
          16       54      41       0       4    0.20    10.2
          17        0      16       0      84    0.05     2.5
          18        0      15       0      85    0.05     2.5
          19        0      14       0      86    0.05     2.4
          20       17      60       0      23    0.05     2.7
          21        0      33       0      67    0.03     1.3
          22        0      29       0      71    0.02     1.2
          23        0      28       0      72    0.02     1.2
          U        -       -       0      25    0.49    24.7
          -       18      26       0      56    1.51    75.3
13:40:35  0       16      71       0      13    0.10     5.0
          1        0      28       0      72    0.03     1.7
          2        0      25       0      75    0.03     1.6
          3        0      25       0      75    0.03     1.6
          4       41      49       0      10    0.12     5.8
          5        0      24       0      76    0.04     1.9
          6        0      22       0      78    0.04     1.8
          7        0      21       0      79    0.04     1.8
          8       54      41       0       5    0.20    10.2
          9        0      17       0      83    0.05     2.6
          10        0      15       0      85    0.05     2.5
          11        0      14       0      86    0.05     2.5
          12       48      46       0       6    0.17     8.6
          13        0      19       0      81    0.05     2.3
          14        0      17       0      83    0.04     2.2
          15        0      16       0      84    0.04     2.2
          16       49      45       0       6    0.17     8.6
          17        0      18       0      82    0.05     2.3
          18        0      16       0      84    0.04     2.2
          19        0      16       0      84    0.04     2.2
          20       26      57       0      16    0.07     3.7
          21        0      31       0      69    0.03     1.5
          22        0      28       0      72    0.03     1.4
          23        0      27       0      73    0.03     1.4
          U        -       -       0      24    0.44    22.2
          -       18      27       0      55    1.56    77.8
13:40:40  0       47      49       0       4    0.22    11.2
          1        0      15       0      85    0.05     2.7
          2        0      13       0      87    0.05     2.6
          3        0      12       0      88    0.05     2.6
          4       34      53       0      14    0.07     3.7
          5        0      28       0      72    0.03     1.4
          6        0      26       0      74    0.03     1.3
          7        0      25       0      75    0.03     1.3
          8       30      53       0      17    0.07     3.3
          9        0      29       0      71    0.03     1.3
          10        0      28       0      72    0.03     1.3
          11        0      27       0      73    0.03     1.3
          12       47      46       0       7    0.14     6.9
          13        0      20       0      80    0.04     1.9
          14        0      19       0      81    0.04     1.9
          15        0      18       0      82    0.04     1.8
          16       39      49       0      12    0.09     4.6
          17        0      25       0      75    0.03     1.6
          18        0      23       0      77    0.03     1.5
          19        0      23       0      77    0.03     1.5
          20       55      41       0       4    0.20    10.2
          21        0      16       0      84    0.05     2.5
          22        0      14       0      86    0.05     2.4
          23        0      13       0      87    0.05     2.4
          U        -       -       0      27    0.54    27.1
          -       18      25       0      57    1.46    72.9

Average   0       34      58       0       7    0.14     7.2
          1        0      21       0      79    0.04     2.0
          2        0      19       0      81    0.04     2.0
          3        0      19       0      81    0.04     1.9
          4       34      52       0      14    0.08     4.1
          5        0      28       0      72    0.03     1.5
          6        0      26       0      74    0.03     1.4
          7        0      25       0      75    0.03     1.4
          8       45      45       0       9    0.12     5.9
          9        0      23       0      77    0.04     1.8
          10        0      22       0      78    0.03     1.7
          11        0      20       0      80    0.03     1.7
          12       53      43       0       4    0.21    10.3
          13        0      16       0      84    0.05     2.6
          14        0      15       0      85    0.05     2.5
          15        0      14       0      86    0.05     2.5
          16       49      44       0       7    0.16     7.8
          17        0      19       0      81    0.04     2.1
          18        0      18       0      82    0.04     2.1
          19        0      17       0      83    0.04     2.0
          20       42      48       0      10    0.11     5.5
          21        0      24       0      76    0.04     1.8
          22        0      22       0      78    0.03     1.7
          23        0      20       0      80    0.03     1.7
          U        -       -       0      25    0.49    24.7
          -       18      26       0      56    1.51    75.3
==== EXITED with rc 0 ====
==== END sar -P ALL 5 3 Tue Jul  7 13:40:40 CDT 2015 ====
