==== This output can be found in Systems/dx1011/perf/mpstat-i.txt ====
==== START mpstat -i Tue Jul  7 13:40:09 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0  24183  18309 1313490761 974769655 1035847912 28646502
  1     32   2494 1285775301 431366182 71554062 6965361
  2     35   2486 1242943294 417447033 100523197 7260651
  3     38   2486 1211257196 407093360 71261454 6591725
  4  15823  17779 1313997622 439893623 316670350 16456620
  5     27   2486 1285120325 431709113 71568998 6877980
  6     34   2486 1241816401 417251665 71258776 7037430
  7     32   2486 1211992414 407362582 71236459 6497265
  8  30289  17713 1313676359 440242471 317264644 16481426
  9     40   2486 1284639262 431360062 71569403 6832349
 10     37   2486 1241614779 417209516 71241033 7016773
 11     29   2486 1211186556 407372713 71239454 6470381
 12  33652  16660 1313838964 440449082 318886622 16439527
 13     96   2494 1285831310 431933892 71558791 6834191
 14     28   2486 1243119872 417766546 71232222 7035642
 15     34   2486 1213523112 407887946 71237579 6502486
 16  29432  17085 1313687420 440526658 317927101 16430291
 17     29   2486 1285412519 431892664 71576586 6835104
 18     27   2486 1241809154 417434860 71238639 7012037
 19     33   2486 1211150715 407313642 71229519 6460099
 20  15899  17609 1314500413 440548444 341473200 15782401
 21     35   2486 1285497792 431881998 71607808 6847300
 22     27   2486 1241611130 417365582 71235793 7029203
 23     28   2486 1211867417 407442144 71234146 6462894
ALL 149919 149919 30319360088 10715521433 3961673748 232805638
==== EXITED with rc 0 ====
==== END mpstat -i Tue Jul  7 13:40:09 CDT 2015 ====
