==== This output can be found in Systems/dx987/network/netstat-m.txt ====
==== START netstat -m Tue Jul  7 00:01:08 GST 2015 ====

Kernel malloc statistics:

******* CPU 0 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
4096                  0         0      0         0      29    7946       0
131072                0         0      0         0      16      32       0


******* CPU 15 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    0         8      0         0      64   63568       0
128                   0         3      0         0      32   47676       0
512                   0      5835      0         0       8  198650       0
2048                  0         8      0         0       4  119190       0
4096                  0         0      0         0      27    7946       0
131072                0         0      0         0      16      32       0


******* CPU 16 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                   12     14192      0         3     180   63568       0
128                  11     12193      0         0     181   47676       0
256                  10      1705      0         0      70   95352       0
512                  22     56541      0        14     146  198650       0
1024                 12     12556      0        44     164   47676       0
2048                  5      1720      0        12      29  119190       0
4096                  4       415      0         4       4    7946       0
8192                  2        38      0         3       0    1986       0
16384                 0        80      0         6      21     993       0
32768                 0        21      0         2       4     496       0
65536                 0        14      0         2       4     496       0
131072                0        10      0         0      18      32       0


******* CPU 17 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    0         3      0         1      64   63568       0
128                   0         3      0         0      32   47676       0
256                   0         2      0         1      16   95352       0
512                   0      6102      0         0      16  198650       0
1024                  0         2      0         1       4   47676       0
2048                  0         3      0         1       2  119190       0
4096                  0         0      0         0      25    7946       0
131072                0         0      0         0      16      32       0


******* CPU 18 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
512                   0      5930      0         0       8  198650       0
4096                  0         0      0         0      31    7946       0
131072                0         0      0         0      16      32       0


******* CPU 19 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    0         1      0         0      64   63568       0
512                   0      6046      0         0       8  198650       0
2048                  0         1      0         0       2  119190       0
4096                  0         0      0         0      29    7946       0
131072                0         0      0         0      16      32       0


******* CPU 20 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    6     12139      0         3     186   63568       0
128                   4     11543      0         0     156   47676       0
256                   5       855      0         1      43   95352       0
