==== This output can be found in Systems/dx975/perf/mpstat-a.txt ====
==== START mpstat -a Tue Jul  7 12:47:02 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu    min    maj   mpcs   mpcr    dev   soft    dec     ph     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   sysc    us    sy    wa    id    pc   %ec   ilcs   vlcs S3hrd S4hrd S5hrd
  0 265471650  47544 341524 118450 3921250608 756159690 1493641587 12727948 11334724469 10220876      0      0      0      0      0  99.3   0.0   0.0   0.7   0.0   0.0 814716683   1.1  68.8   0.0  30.0  0.03   1.3      0 14876156797 100.0   0.0   0.0
  1 494072    392     83 115594 3746573809 252196346 91047766 5258880 2218163 913348      0      0      0      0      0  58.2  41.6   0.0   0.2   0.0   0.0 657760   0.0  30.6   0.0  69.4  0.01   0.7      0 3819622310 100.0   0.0   0.0
  2 325636      3     53 115584 3524180691 234557958 89426868 4872459 923028 899801      0      0      0      0      0   3.1  96.7   0.0   0.2   0.0   0.0 138904   0.0  28.8   0.0  71.2  0.01   0.6      0 3600241943 100.0   0.0   0.0
  3 318835      2     43 115585 3366090045 219923317 89360061 4208909 922292 899079      0      0      0      0      0   3.1  96.8   0.0   0.2   0.0   0.0 134588   0.0  27.2   0.0  72.8  0.01   0.6      0 3443918479 100.0   0.0   0.0
  4 247021434  46084 819435  97716 3919765837 438466299 627646976 12368645 11109814702 9279117      0      0      5      0      0  99.3   0.0   0.0   0.7   0.0   0.0 732292696   1.2  68.0   0.0  30.8  0.03   1.3      0 14114068937 100.0   0.0   0.0
  5 476427    388     47 115599 3746466630 251347433 90810221 5234506 2133389 907189      0      0      0      0      0  57.0  43.0   0.0   0.1   0.0   0.0 616003   0.0  31.2   0.0  68.8  0.01   0.7      0 3819461967 100.0   0.0   0.0
  6 335673      2     40 115584 3522108058 233951052 91919295 4812540 922115 898812      0      0      0      0      0   3.0  96.8   0.0   0.2   0.0   0.0 139144   0.0  29.4   0.0  70.6  0.01   0.6      0 3600599025 100.0   0.0   0.0
  7 314506      3     40 115584 3364061880 219628980 91075929 4124608 925671 901267      0      0      0      0      0   3.4  96.4   0.0   0.2   0.0   0.0 127829   0.0  27.7   0.0  72.3  0.01   0.6      0 3443676007 100.0   0.0   0.0
  8 246052408  47067 220733 123944 3919508957 260747855 589491647 12259272 11062096089 9424813      0      0      0      0      0  99.3   0.0   0.0   0.7   0.0   0.0 718164108   1.2  67.4   0.0  31.5  0.02   1.2      0 14035737663 100.0   0.0   0.0
  9 484570     66     42 115583 3742611848 250645669 90936798 5252536 2222023 908996      0      0      0      0      0  58.6  41.3   0.0   0.1   0.0   0.0 973201   0.0  31.4   0.0  68.6  0.01   0.7      0 3815882855 100.0   0.0   0.0
 10 314151      0     33 115585 3517688619 233304970 89390165 4838053 923117 899019      0      0      0      0      0   3.1  96.7   0.0   0.2   0.0   0.0 127091   0.0  29.5   0.0  70.5  0.01   0.6      0 3593729224 100.0   0.0   0.0
 11 312187      0     40 115585 3355960487 219225288 89377895 4167991 920481 897469      0      0      0      0      0   2.9  97.0   0.0   0.2   0.0   0.0 135051   0.0  27.9   0.0  72.1  0.01   0.6      0 3433980222 100.0   0.0   0.0
 12 245735655  43172 331435 118806 3920746252 261042587 590884455 12247311 11061163563 9544435      0      0      0      0      0  99.3   0.0   0.0   0.7   0.0   0.0 747205064   1.2  67.5   0.0  31.4  0.02   1.2      0 14037942433 100.0   0.0   0.0
 13 483030    336     55 115591 3749381144 251140372 90976799 5238303 2256748 908199      0      0      0      0      0  59.2  40.7   0.0   0.1   0.0   0.0 521506   0.0  31.4   0.0  68.6  0.01   0.7      0 3822603101 100.0   0.0   0.0
 14 310833      2     40 115584 3527542954 233776258 89377041 4841262 920528 899557      0      0      0      0      0   2.9  96.9   0.0   0.2   0.0   0.0 125503   0.0  29.7   0.0  70.3  0.01   0.6      0 3603540800 100.0   0.0   0.0
 15 318057      0     36 115584 3366112826 219368752 89381836 4147265 917343 898567      0      0      0      0      0   2.5  97.3   0.0   0.2   0.0   0.0 127289   0.0  28.0   0.0  72.0  0.01   0.6      0 3444044014 100.0   0.0   0.0
 16 244829171  44227 353081 117762 3919178154 260923945 596012468 12254472 11072130502 9477858      1      1      0      0      0  99.3   0.0   0.0   0.7   0.0   0.0 728590772   1.2  67.6   0.0  31.3  0.02   1.2      0 14049967048 100.0   0.0   0.0
 17 505647    666     49 115591 3739799672 250665702 90991509 5220716 2240387 908056      0      0      0      0      0  58.9  41.0   0.0   0.1   0.0   0.0 1349134   0.0  31.3   0.0  68.6  0.01   0.7      0 3812906320 100.0   0.0   0.0
 18 315120      0     40 115585 3512569058 233284462 89383452 4818927 920292 898753      0      0      0      0      0   2.9  97.0   0.0   0.2   0.0   0.0 131326   0.0  29.5   0.0  70.5  0.01   0.6      0 3588608643 100.0   0.0   0.0
