==== This output can be found in Systems/dx975/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Tue Jul  7 12:47:02 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
  0   2725     39      0      0      0      0      0  96.3   0.0   0.0   3.7   0.0   0.0     22   3202 100.0   0.0   0.0
  1      0      0      0      0      0      0      0     -     -     -     -     -     -      2    963     -     -     -
  2      0      0      0      0      0      0      0     -     -     -     -     -     -      0    863     -     -     -
  3      0      0      0      0      0      0      0     -     -     -     -     -     -      0    819     -     -     -
  4   2508     36      0      0      0      0      0  96.5   0.0   0.0   3.5   0.0   0.0     24   3429 100.0   0.0   0.0
  5      0      0      0      0      0      0      0     -     -     -     -     -     -      1    917     -     -     -
  6      0      0      0      0      0      0      0     -     -     -     -     -     -      2    857     -     -     -
  7      0      0      0      0      0      0      0     -     -     -     -     -     -      1    813     -     -     -
  8   2706     47      1      1      0      0      0  96.5   0.0   0.0   3.5   0.0   0.0     24   3329 100.0   0.0   0.0
  9      0      0      0      0      0      0      0     -     -     -     -     -     -      2    955     -     -     -
 10      0      0      0      0      0      0      0     -     -     -     -     -     -      2    858     -     -     -
 11      0      0      0      0      0      0      0     -     -     -     -     -     -      1    810     -     -     -
 12   2543     37      0      0      0      0      0  96.7   0.0   0.0   3.3   0.0   0.0     28   3268 100.0   0.0   0.0
 13      0      0      0      0      0      0      0     -     -     -     -     -     -      2    955     -     -     -
 14      0      0      0      0      0      0      0     -     -     -     -     -     -      1    865     -     -     -
 15      0      0      0      0      0      0      0     -     -     -     -     -     -      2    827     -     -     -
 16   2565     38      1      1      0      0      0  96.6   0.0   0.0   3.3   0.0   0.0     25   3271 100.0   0.0   0.0
 17      0      0      0      0      0      0      0     -     -     -     -     -     -      2    984     -     -     -
 18      0      0      0      0      0      0      0     -     -     -     -     -     -      1    855     -     -     -
 19      0      0      0      0      0      0      0     -     -     -     -     -     -      1    823     -     -     -
 20   2829     37      1      1      0      0      0  96.6   0.0   0.0   3.4   0.0   0.0     20   3557 100.0   0.0   0.0
 21      0      0      0      0      0      0      0     -     -     -     -     -     -      2    934     -     -     -
 22      0      0      0      0      0      0      0     -     -     -     -     -     -      0    851     -     -     -
 23      0      0      0      0      0      0      0     -     -     -     -     -     -      1    809     -     -     -
ALL  15876    234      3      3      0      0      0  96.5   0.0   0.0   3.5   0.0   0.0    166  35814 100.0   0.0   0.0
------------------------------------------------------------------------------------------------------------

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
  0   2868     46      0      0      0      0      0  96.0   0.0   0.0   4.0   0.0   0.0     38   3207 100.0   0.0   0.0
  1      0      0      1      1      0      0      0  50.0  50.0   0.0   0.0   0.0   0.0      2    837 100.0   0.0   0.0
  2      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    780 100.0   0.0   0.0
  3      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    743 100.0   0.0   0.0
  4   2129     40      1      1      0      0      0  95.8   0.0   0.0   4.2   0.0   0.0     38   2671 100.0   0.0   0.0
  5      2      0      1      1      0      0      0  75.0  25.0   0.0   0.0   0.0   0.0      3    847 100.0   0.0   0.0
  6      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    790 100.0   0.0   0.0
  7      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    747 100.0   0.0   0.0
  8   2003     39      1      1      0      0      0  95.9   0.0   0.0   4.1   0.0   0.0     46   2341 100.0   0.0   0.0
  9      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      4    845 100.0   0.0   0.0
 10      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    798 100.0   0.0   0.0
 11      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    758 100.0   0.0   0.0
 12   2597     30      1      1      0      0      0  96.1   0.0   0.0   3.9   0.0   0.0     27   2911 100.0   0.0   0.0
 13      4      0      0      0      0      0      0  76.0  24.0   0.0   0.0   0.0   0.0      2    843 100.0   0.0   0.0
 14      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    781 100.0   0.0   0.0
 15      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    738 100.0   0.0   0.0
 16   2545     40      0      0      0      0      0  96.2   0.0   0.0   3.8   0.0   0.0     35   2850 100.0   0.0   0.0
 17      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      3    837 100.0   0.0   0.0
 18      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    778 100.0   0.0   0.0
 19      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    746 100.0   0.0   0.0
 20   2903     49      1      1      0      0      0  96.4   0.0   0.0   3.6   0.0   0.0     33   3217 100.0   0.0   0.0
 21      1      0      1      1      0      0      0  55.6  44.4   0.0   0.0   0.0   0.0      2    840 100.0   0.0   0.0
 22      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      2    779 100.0   0.0   0.0
 23      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    745 100.0   0.0   0.0
ALL  15052    244      7      7      0      0      0  96.1   0.0   0.0   3.9   0.0   0.0    252  31429 100.0   0.0   0.0
==== EXITED with rc 0 ====
==== END mpstat -d 5 2 Tue Jul  7 12:47:12 CDT 2015 ====
