==== This output can be found in Systems/dx975/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Tue Jul  7 12:46:52 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 4435  244  128  818 1637  134    1  648 100 106407 23 75  0  2 0.41 10.4 1640
  1  161    7  111  880   93    5    0   26 100 19681 11 17  0 72 0.10  2.6 1014
  2    0    0  111  746    0    0    0    1 100    0  0  9  0 91 0.08  2.1  839
  3    0    0  111  728    0    0    0    1 100    0  0  9  0 91 0.08  2.2  819
  4 4129  376  124 1012 2168  139    1  791 100 230446 39 58  1  2 0.39 10.1 2113
  5   16    0  111  781    7    0    0    5 100   67  0 11  0 89 0.08  2.2  876
  6    0    0  111  746    0    0    0    1 100    0  0  9  0 91 0.08  2.1  836
  7    0    0  111  722    0    0    0    1 100    0  0  9  0 91 0.08  2.1  812
  8 3049  286  137  842 2208  132    1  796 100 202504 39 57  1  3 0.37  9.6 2644
  9  196    0  111  800   78    4    0   21 100 31225  6 62  0 32 0.20  5.2  907
 10    0    0  111  726    0    0    0    1 100    0  0  9  0 91 0.08  2.0  819
 11    0    0  111  703    0    0    0    1 100    0  0  9  0 91 0.08  2.0  794
 12  435   13 2514  625  301   93    1   69 100 34629  4 96  0  0 0.45 11.5 12885
 13    0    0  111  411   36    0    0    3 100    0  0  5  0 95 0.09  2.4  542
 14    0    0  111  350    0    0    0    1 100    0  0  4  0 96 0.09  2.3  449
 15    0    0  111  328    0    0    0    1 100    0  0  4  0 96 0.09  2.3  427
 16 4237  184  111  821 2626  190    0  906 100 159016 23 73  0  3 0.37  9.6 2225
 17   23    0  111  793   75    0    0   20 100   75  0 14  0 86 0.08  2.1  941
 18    0    0  111  736    0    0    0    1 100    0  0  9  0 91 0.08  2.0  824
 19    0    0  111  703    0    0    0    1 100    0  0  9  0 91 0.08  2.0  793
 20 3846  387  111  876 2626  204    1  869 100 140750 43 53  1  3 0.33  8.4 2318
 21   16    9  111  863  103    2    0   27 100  289  4 14  0 82 0.08  2.2 1011
 22    0    0  111  737    0    0    0    1 100    0  0 10  0 90 0.08  2.0  825
 23    0    0  111  699    0    0    0    1 100    0  0  9  0 91 0.08  1.9  798
ALL 20543 1506 5123 17446 11958  903    5 4193 100 925089 17 48  0 35 3.96 197.8 38151
--------------------------------------------------------------------------------

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 2789  220   43  936 1406   49    0  438 100 90111 30 65  1  4 0.25  8.3 1799
  1  199   34   31  601   49   15    0   28 100 13846 11 59  1 29 0.13  4.4  636
  2    0    0   31  548    0    0    0    2 100    0  0 13  0 87 0.05  1.7  568
  3    0    0   31  534    0    0    0    2 100    0  0 12  0 88 0.05  1.7  555
  4 2556  247   31  719 2080   72    0  482 100 101975 34 60  1  6 0.22  7.5 2270
  5  151   55   31  557  146    8    0   38 100 10890  8 35  1 56 0.08  2.7  732
  6    0    0   31  543    0    0    0    2 100    0  0 16  0 84 0.06  2.0  565
  7    0    0   31  524    0    0    0    2 100    0  0  8  0 92 0.06  1.9  547
  8 1364  144  698  605  971   51    1  225 100 61623 13 85  0  2 0.34 11.4 5369
  9    0    0   31  544    8    1    0    6 100    0  0 15  0 85 0.08  2.7  566
 10    0    0   31  422    0    0    0    2 100    0  0 14  0 86 0.08  2.6  445
 11    0    0   31  403    0    0    0    2 100    0  0  6  0 94 0.07  2.5  427
 12 2529  265   31  686 1286   43    1  376 100 91061 33 61  1  5 0.24  8.0 1689
 13   98   43   31  648   65   10    0   21 100 1599 21 29  0 49 0.09  2.9  714
 14    0    0   31  544    0    0    0    2 100    0  0 14  0 86 0.06  1.9  562
 15    0    0   31  524    0    0    0    2 100    0  0  9  0 91 0.06  1.9  545
 16 3206  361   31  693 1063   51    1  361 100 319913 43 53  1  3 0.31 10.3 1496
 17  857    6   31  665  140   49    0   29 100 187297 40 27  0 33 0.16  5.3  732
 18    0    0   31  542    0    0    0    2 100    0  0  8  0 92 0.08  2.5  559
 19    0    0   31  523    0    0    0    2 100    0  0  6  0 94 0.08  2.5  543
 20 2191  296   34  598 1492   40    1  343 100 23682 13 83  1  4 0.28  9.5 1873
 21  170  100   31  646  151   10    0   40 100 1224 13 38  6 43 0.10  3.3  850
 22    0    0   31  535    0    0    0    3 100    0  0 11  0 89 0.06  2.0  559
 23    0    0   31  511    0    0    0    2 100    0  0  9  0 91 0.06  2.0  534
ALL 16110 1771 1426 14051 8857  399    4 2412 100 903221 18 47  1 34 3.03 151.5 25135
==== EXITED with rc 0 ====
==== END mpstat 5 2 Tue Jul  7 12:47:02 CDT 2015 ====
