==== This output can be found in Systems/dx980/os/iostat-^A.txt ====
==== START iostat -A Mon Jul  6 23:13:03 GST 2015 ====

System configuration: lcpu=48 drives=524 ent=6.00 paths=0 vdisks=10 maxserver=1440

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
      0.0  0.0   790     0    131072             0.0   0.1   99.8      0.0   0.0    0.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk133         0.0       0.0       0.0      54813       552
hdisk136         0.0       1.4       0.0   10067329      2656
hdisk135         0.0       0.0       0.0       1036        12
hdisk134         0.0       0.0       0.0      35421         4
hdisk137         0.0       1.4       0.0   10522357      3808
hdisk138         0.0       1.9       0.0   13651755      2956
hdisk140         0.0       2.9       0.0   21386082      2336
hdisk141         0.0       1.5       0.0   11350259      4172
hdisk145         0.0       1.4       0.0   10575701      3592
hdisk147         0.0       1.4       0.0   10338561       448
hdisk452         0.0       0.0       0.0         26         0
hdisk143         0.0       1.3       0.0    9892117       880
hdisk153         0.0       0.0       0.0      50149     30416
hdisk139         0.0       1.3       0.0    9310481      4768
hdisk149         0.0       1.9       0.0   13716661      3040
hdisk148         0.0       1.7       0.0   12635397      2336
hdisk142         0.0       1.1       0.0    7754391      2776
hdisk150         0.0       2.1       0.0   15793073      1500
hdisk152         0.0       0.0       0.0     104027     32008
hdisk144         0.0       1.2       0.0    8603929       992
hdisk146         0.0       1.7       0.0   12820805      3504
hdisk162         0.0       0.0       0.0        977     74752
hdisk159         0.0       0.0       0.0        989     79896
hdisk163         0.0       0.0       0.0        989     34832

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk151         0.0       1.3       0.0    9730137       640
hdisk164         0.0       0.0       0.0      27837         4
hdisk156         0.0       0.0       0.0      51809     31544
hdisk155         0.0       0.0       0.0      47409     29688
hdisk160         0.0       0.0       0.0       1034    120860
hdisk154         0.0       0.0       0.0      48365     29896
hdisk157         0.0       0.0       0.0      50465     32016
hdisk161         0.0       0.0       0.0        985    110596
hdisk158         0.0       0.0       0.0      52837     57376
hdisk166         0.0       0.0       0.0      27787         4
hdisk170         0.0       0.0       0.0      28041        24
hdisk173         0.0       0.0       0.0        981         0
hdisk177         0.0       0.0       0.0        977         0
hdisk175         0.0       0.0       0.0        977         0
hdisk168         0.0       0.0       0.0      29217     30840
hdisk167         0.0       0.0       0.0        985         4
hdisk182         0.0       0.0       0.0       6845      5176
hdisk183         0.0       0.0       0.0       1537       404
hdisk180         0.0       0.0       0.0        977         0
hdisk1           0.0       0.5       0.0    3827271    146876
hdisk169         0.0       0.0       0.0       1225     34984
hdisk178         0.0       0.0       0.0        989        12
hdisk174         0.0       0.0       0.0        977         0
hdisk181         0.0       0.0       0.0      37168        92

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk176         0.0       0.0       0.0        977         0
hdisk13          0.0       0.0       0.0      49564       580
hdisk165         0.0       0.0       0.0       1001        16
hdisk184         0.0       1.4       0.0   10226570      2368
hdisk171         0.0       0.0       0.0       1037         4
hdisk172         0.0       0.0       0.0      70376         8
hdisk0           0.0       0.0       0.0        877         0
hdisk18          0.0       0.0       0.0      28071         8
hdisk185         0.0       1.4       0.0   10261264      3544
hdisk179         0.0       0.0       0.0       1003         0
hdisk8           0.0       0.7       0.1     479294   4688312
hdisk189         0.0       1.5       0.0   11143812      3128
hdisk187         0.0       1.3       0.0    9283920      5584
hdisk186         0.0       1.8       0.0   13505360      3588
hdisk19          0.0       0.0       0.0        997        16
hdisk190         0.0       1.1       0.0    7959196      2600
hdisk188         0.0       2.9       0.0   21364119      4024
hdisk192         0.0       1.2       0.0    8739704      1152
hdisk191         0.0       1.3       0.0    9726489       944
hdisk193         0.0       1.4       0.0   10388456      2960
hdisk197         0.0       1.8       0.0   13446824      2680
hdisk194         0.0       1.7       0.0   12794384      3456
hdisk195         0.0       1.4       0.0   10290336       424
hdisk202         0.0       0.0       0.0      49780     29824

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk196         0.0       1.7       0.0   12608296      3088
hdisk204         0.0       0.0       0.0      50572     32076
hdisk205         0.0       0.0       0.0      54200     32600
hdisk199         0.0       1.3       0.0    9600892       552
hdisk207         0.0       0.0       0.0       1044     68640
hdisk200         0.0       0.0       0.0     119424     32252
hdisk208         0.0       0.0       0.0       1064    147492
hdisk211         0.0       0.0       0.0       1032     31768
hdisk212         0.0       0.0       0.0      35581         4
hdisk198         0.0       2.2       0.0   16094245      1336
hdisk206         0.0       0.0       0.0      67396     60448
hdisk209         0.0       0.0       0.0       1020     75396
hdisk213         0.0       0.0       0.0       1032        12
hdisk203         0.0       0.0       0.0      47772     29656
hdisk217         0.0       0.0       0.0       1284     35580
hdisk216         0.0       0.0       0.0      35860     31012
hdisk220         0.0       0.0       0.0      88769         8
hdisk201         0.0       0.0       0.0      49596     30296
hdisk221         0.0       0.0       0.0       1024         0
hdisk222         0.0       0.0       0.0       1020         0
hdisk214         0.0       0.0       0.0      36092         8
hdisk219         0.0       0.0       0.0       1072         0
hdisk227         0.0       0.0       0.0        900         0
hdisk225         0.0       0.0       0.0       1020         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk228         0.0       0.0       0.0       1020         0
hdisk230         0.0       0.0       0.0       6732      5556
hdisk226         0.0       0.0       0.0       1032        12
hdisk224         0.0       0.0       0.0       1020         0
hdisk210         0.0       0.0       0.0       1021     66560
hdisk223         0.0       0.0       0.0       1020         0
hdisk218         0.0       0.0       0.0      35203        16
hdisk231         0.0       0.0       0.0       1252       212
hdisk215         0.0       0.0       0.0       1028        20
hdisk233         0.0       0.0       0.0     108412    118898
hdisk235         0.0       0.0       0.0     111499    118401
hdisk234         0.0       0.0       0.0     110428    118675
hdisk232         0.0       0.0       0.0     128493    113551
hdisk229         0.0       0.0       0.0      43180        96
hdisk456         0.0       0.0       0.0         26         0
hdisk455         0.0       0.0       0.0         52         0
hdisk344         0.0       0.0       0.0     111604    115418
hdisk347         0.0       0.0       0.0        776         0
hdisk346         0.0       0.6       0.1       3211   4711580
hdisk345         0.0       0.0       0.0     109601    123732
hdisk349         0.0       0.0       0.0      31534       832
hdisk343         0.0       0.0       0.0     116748    109821
hdisk348         0.0       0.1       0.0     375396    146183
hdisk352         0.0       1.3       0.0    9838696      2600

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk342         0.0       0.0       0.0     164060    119553
hdisk351         0.0       0.0       0.0        788        12
hdisk350         0.0       0.0       0.0       3525         4
hdisk353         0.0       1.4       0.0   10204294      3208
hdisk354         0.0       1.8       0.0   13484689      2864
hdisk356         0.0       2.9       0.0   21570381      3480
hdisk355         0.0       1.3       0.0    9335585      5888
hdisk359         0.0       1.4       0.0    9983397       968
hdisk358         0.0       1.1       0.0    7803422      2664
hdisk357         0.0       1.6       0.0   11419619      2692
hdisk362         0.0       1.8       0.0   13026297      3712
hdisk363         0.0       1.4       0.0   10293550       344
hdisk364         0.0       1.7       0.0   12509277      2944
hdisk365         0.0       1.8       0.0   13492717      2824
hdisk360         0.0       1.2       0.0    8799752       968
hdisk366         0.0       2.2       0.0   16175685      1172
hdisk368         0.0       0.0       0.0      61309     32124
hdisk370         0.0       0.0       0.0      49287     29280
hdisk369         0.0       0.0       0.0      50079     29168
hdisk367         0.0       1.3       0.0    9729957       464
hdisk361         0.0       1.4       0.0   10457634      2484
hdisk372         0.0       0.0       0.0      52655     31316
hdisk373         0.0       0.0       0.0      52595     32656
hdisk374         0.0       0.0       0.0       2046     59432

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk375         0.0       0.0       0.0       1065     69676
hdisk376         0.0       0.0       0.0       1088    114716
hdisk383         0.0       0.0       0.0        929        16
hdisk382         0.0       0.0       0.0       2998         8
hdisk371         0.0       0.0       0.0      49391     29168
