==== This output can be found in Systems/dx978/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Mon Jul  6 23:29:55 GST 2015 ====
516A2BC4   0508035115 P H hdisk335       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk526       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk336       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk527       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk337       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk471       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk338       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk528       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk340       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk483       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk279       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk458       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk341       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk545       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk731       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk524       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk531       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk300       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk362       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk532       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk529       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk342       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk457       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk272       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk343       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk533       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk330       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk534       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk339       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk535       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk346       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk536       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk347       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk537       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk348       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk459       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk349       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk461       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk350       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk538       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk351       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk465       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk280       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk462       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk463       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk274       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk466       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk276       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk467       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk277       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk469       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk281       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk470       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk344       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk472       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk285       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk473       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk287       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk530       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk345       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk539       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk352       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk353       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk733       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk474       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk288       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk475       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk289       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk540       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk354       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk541       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk356       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk476       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk290       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk291       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk477       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk292       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk478       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk293       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk480       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk294       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk481       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk282       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk468       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk358       CONNECTION FAILURE
