==== This output can be found in Systems/dx978/os/lscfg.txt ====
==== START lscfg Mon Jul  6 23:30:06 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk51          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L2A000000000000  EMC Symmetrix FCP VRAID
* hdisk52          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L2B000000000000  EMC Symmetrix FCP VRAID
* hdisk53          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L2C000000000000  EMC Symmetrix FCP VRAID
* hdisk54          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L2D000000000000  EMC Symmetrix FCP VRAID
* hdisk55          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L2E000000000000  EMC Symmetrix FCP VRAID
* hdisk56          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L2F000000000000  EMC Symmetrix FCP VRAID
* hdisk57          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L30000000000000  EMC Symmetrix FCP VRAID
* hdisk58          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L31000000000000  EMC Symmetrix FCP VRAID
* hdisk59          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L32000000000000  EMC Symmetrix FCP VRAID
* hdisk60          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L33000000000000  EMC Symmetrix FCP VRAID
* hdisk61          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L34000000000000  EMC Symmetrix FCP VRAID
* hdisk62          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L35000000000000  EMC Symmetrix FCP VRAID
* hdisk63          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L36000000000000  EMC Symmetrix FCP VRAID
* hdisk64          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L37000000000000  EMC Symmetrix FCP VRAID
* hdisk65          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L38000000000000  EMC Symmetrix FCP VRAID
* hdisk66          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L39000000000000  EMC Symmetrix FCP VRAID
* hdisk67          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L3A000000000000  EMC Symmetrix FCP VRAID
* hdisk68          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L3B000000000000  EMC Symmetrix FCP VRAID
* hdisk69          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L3C000000000000  EMC Symmetrix FCP VRAID
