==== This output can be found in Systems/dx987/os/errpt.txt ====
==== START errpt Mon Jul  6 23:48:29 GST 2015 ====
C6E26F3B   0508034315 I H hdisk148       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk248       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk149       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk249       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk150       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk250       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk151       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk251       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk152       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk252       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk153       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk253       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk154       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk254       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk155       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk255       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk156       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk256       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk157       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk257       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk158       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk258       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk161       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk261       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk162       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk262       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk163       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk263       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk164       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk264       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk165       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk265       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk452       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk488       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk453       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk489       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk454       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk490       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk455       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk491       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk456       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk492       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk457       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk493       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk458       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk494       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk459       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk495       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk460       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk496       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk137       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk237       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk461       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk497       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk462       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk498       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk463       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk499       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk464       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk500       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk465       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk501       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk466       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk502       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk467       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk503       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk468       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk504       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk469       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk505       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk580       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk600       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk581       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk601       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk582       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk602       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk583       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk603       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk584       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk604       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk159       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk259       BACK-UP PATH STATUS CHANGE
3767AAFF   0508024315 I H hdisk10        BACK-UP PATH INOPERATIVE
516A2BC4   0508024315 P H hdisk10        CONNECTION FAILURE
3767AAFF   0508024315 I H hdisk12        BACK-UP PATH INOPERATIVE
516A2BC4   0508024315 P H hdisk12        CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk122       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk222       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk123       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk223       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk124       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk224       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk125       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk225       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk126       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk226       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk127       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk227       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk128       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk228       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk129       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk229       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk130       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk230       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk131       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk231       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk132       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk232       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk133       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk233       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk134       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk234       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk135       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk235       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk136       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk236       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk138       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk238       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk139       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk239       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk140       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk240       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk141       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk241       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk142       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk242       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk143       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk243       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk144       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk244       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk145       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk245       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk146       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk246       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk147       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk247       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk148       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk248       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk149       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk249       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk150       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk250       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk151       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk251       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk152       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk252       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk153       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk253       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk154       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk254       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk155       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk255       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk156       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk256       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk157       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk257       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk158       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk258       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk161       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk261       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk162       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk262       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk163       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk263       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk164       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk264       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk165       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk265       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk452       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk488       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk453       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk489       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk454       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk490       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk455       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk491       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk456       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk492       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk457       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk493       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk458       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk494       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk459       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk495       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk460       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk496       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk137       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk237       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk461       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk497       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk462       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk498       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk463       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk499       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk464       CONNECTION FAILURE
