==== This output can be found in Systems/dx975/vio/VIOCLI_lsdev-virtual.txt ====
==== START $VIOCLI lsdev -virtual Tue Jul  7 12:51:26 CDT 2015 ====
vtscsi103        Available   Virtual Target Device - Disk
vtscsi104        Available   Virtual Target Device - Disk
vtscsi105        Available   Virtual Target Device - Disk
vtscsi106        Available   Virtual Target Device - Disk
vtscsi107        Available   Virtual Target Device - Disk
vtscsi108        Available   Virtual Target Device - Disk
vtscsi109        Available   Virtual Target Device - Disk
vtscsi111        Available   Virtual Target Device - Disk
ent15            Available   EtherChannel / IEEE 802.3ad Link Aggregation
ent16            Available   Shared Ethernet Adapter
pkcs11           Available   ACF/PKCS#11 Device
==== EXITED with rc 0 ====
==== END $VIOCLI lsdev -virtual Tue Jul  7 12:51:26 CDT 2015 ====
