==== This output can be found in Systems/dx1011/storage/for_i_in_lspv_awk_print_1_do_echo_i,_Disk_size_get.txt ====
==== START for i in $(lspv | awk '{print $1}') ;do echo "$i, Disk size: $(getconf DISK_SIZE /dev/$i), Disk partition: $(getconf DISK_PARTITION /dev/$i), Disk location: $(getconf DISK_DEVNAME $i)"; done Tue Jul  7 13:40:41 CDT 2015 ====
hdiskpower62, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdiskpower63, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdiskpower64, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdiskpower65, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdiskpower66, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdiskpower67, Disk size: 102405, Disk partition: 128, Disk location: 09-00-02
hdiskpower68, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdiskpower69, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdisk362, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk363, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk364, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk365, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk366, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk367, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk368, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk369, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk370, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk371, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk372, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk373, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk374, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk375, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk376, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk377, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk378, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk379, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk380, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk381, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk382, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk383, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk384, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk385, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk386, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdisk387, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdisk388, Disk size: 102405, Disk partition: 128, Disk location: 09-00-02
hdisk389, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdisk390, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdisk391, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk392, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk393, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk394, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk395, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk396, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk397, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk398, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk399, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk400, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk401, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk402, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk403, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk404, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk405, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk406, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk407, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk408, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk409, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk410, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk411, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk412, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk413, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk414, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk415, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdisk416, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdisk417, Disk size: 102405, Disk partition: 128, Disk location: 09-00-02
hdisk418, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdisk419, Disk size: 51202, Disk partition: 64, Disk location: 09-00-02
hdisk568, Disk size: 153600, Disk partition: 256, Disk location: 08-00-02
hdisk569, Disk size: 153600, Disk partition: 256, Disk location: 08-00-02
hdiskpower72, Disk size: 1048590, Disk partition: 2048, Disk location: 09-00-02
hdiskpower73, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk570, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk571, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk572, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk573, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk574, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk575, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk576, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk577, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk578, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk579, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk580, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk581, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk582, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk583, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk584, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk585, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk586, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk587, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk588, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk589, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk590, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk591, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk592, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk593, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk594, Disk size: 1048576, Disk partition: 2048, Disk location: 08-01-02
hdisk595, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk596, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk597, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk598, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk599, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk600, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk601, Disk size: 512000, Disk partition: 512, Disk location: 08-01-02
hdisk602, Disk size: 5120, Disk partition: 8, Disk location: 08-01-02
hdisk603, Disk size: 5120, Disk partition: 8, Disk location: 08-01-02
hdisk604, Disk size: 5120, Disk partition: 8, Disk location: 08-01-02
hdisk605, Disk size: 153600, Disk partition: 256, Disk location: 08-01-02
hdisk606, Disk size: 153600, Disk partition: 256, Disk location: 08-01-02
hdisk607, Disk size: 153600, Disk partition: 256, Disk location: 08-01-02
hdisk608, Disk size: 153600, Disk partition: 256, Disk location: 08-01-02
hdisk609, Disk size: 20480, Disk partition: 32, Disk location: 08-01-02
hdisk610, Disk size: 20480, Disk partition: 32, Disk location: 08-01-02
hdisk611, Disk size: 51200, Disk partition: 64, Disk location: 08-01-02
hdisk612, Disk size: 51200, Disk partition: 64, Disk location: 08-01-02
hdisk613, Disk size: 102400, Disk partition: 128, Disk location: 08-01-02
hdisk614, Disk size: 204800, Disk partition: 256, Disk location: 08-01-02
hdisk615, Disk size: 373760, Disk partition: 512, Disk location: 08-01-02
hdisk616, Disk size: 373760, Disk partition: 512, Disk location: 08-01-02
hdisk617, Disk size: 373760, Disk partition: 512, Disk location: 08-01-02
hdisk618, Disk size: 373760, Disk partition: 512, Disk location: 08-01-02
hdisk619, Disk size: 373760, Disk partition: 512, Disk location: 08-01-02
hdisk626, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk627, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk628, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk629, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk630, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk631, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk632, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk633, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk634, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk635, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk636, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk637, Disk size: 1048590, Disk partition: 2048, Disk location: 09-01-02
hdisk638, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk639, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk640, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk641, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk642, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk643, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk644, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk645, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk646, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
