==== This output can be found in Systems/dx1011/storage/lspath-^H.txt ====
==== START lspath -H Tue Jul  7 13:42:40 CDT 2015 ====
status    name     parent
Enabled   hdisk618 fscsi4
Enabled   hdisk619 fscsi4
Enabled   hdisk351 fscsi4
Enabled   hdisk352 fscsi4
Enabled   hdisk353 fscsi4
Enabled   hdisk354 fscsi4
Enabled   hdisk283 fscsi5
Enabled   hdisk284 fscsi5
Enabled   hdisk285 fscsi5
Enabled   hdisk286 fscsi5
Enabled   hdisk287 fscsi5
Enabled   hdisk288 fscsi5
Enabled   hdisk289 fscsi5
Enabled   hdisk290 fscsi5
Enabled   hdisk291 fscsi5
Enabled   hdisk292 fscsi5
Enabled   hdisk293 fscsi5
Enabled   hdisk294 fscsi5
Enabled   hdisk355 fscsi4
Enabled   hdisk356 fscsi4
Enabled   hdisk297 fscsi5
Enabled   hdisk298 fscsi5
Enabled   hdisk357 fscsi4
Enabled   hdisk301 fscsi5
Enabled   hdisk302 fscsi5
Enabled   hdisk303 fscsi5
Enabled   hdisk304 fscsi5
Enabled   hdisk305 fscsi5
Enabled   hdisk283 fscsi5
Enabled   hdisk284 fscsi5
Enabled   hdisk285 fscsi5
Enabled   hdisk286 fscsi5
Enabled   hdisk287 fscsi5
Enabled   hdisk288 fscsi5
Enabled   hdisk289 fscsi5
Enabled   hdisk290 fscsi5
Enabled   hdisk291 fscsi5
Enabled   hdisk292 fscsi5
Enabled   hdisk293 fscsi5
Enabled   hdisk294 fscsi5
Enabled   hdisk358 fscsi4
Enabled   hdisk359 fscsi4
Enabled   hdisk297 fscsi5
Enabled   hdisk298 fscsi5
Enabled   hdisk360 fscsi4
Enabled   hdisk301 fscsi5
Enabled   hdisk302 fscsi5
Enabled   hdisk303 fscsi5
Enabled   hdisk304 fscsi5
Enabled   hdisk305 fscsi5
Enabled   hdisk283 fscsi5
Enabled   hdisk284 fscsi5
Enabled   hdisk285 fscsi5
Enabled   hdisk286 fscsi5
Enabled   hdisk287 fscsi5
Enabled   hdisk288 fscsi5
Enabled   hdisk289 fscsi5
Enabled   hdisk290 fscsi5
Enabled   hdisk291 fscsi5
Enabled   hdisk292 fscsi5
Enabled   hdisk293 fscsi5
Enabled   hdisk294 fscsi5
Enabled   hdisk361 fscsi4
Enabled   hdisk620 fscsi4
Enabled   hdisk297 fscsi5
Enabled   hdisk298 fscsi5
Enabled   hdisk621 fscsi4
Enabled   hdisk301 fscsi5
Enabled   hdisk302 fscsi5
Enabled   hdisk303 fscsi5
Enabled   hdisk304 fscsi5
Enabled   hdisk305 fscsi5
Enabled   hdisk283 fscsi5
Enabled   hdisk284 fscsi5
Enabled   hdisk285 fscsi5
Enabled   hdisk286 fscsi5
Enabled   hdisk287 fscsi5
Enabled   hdisk288 fscsi5
Enabled   hdisk289 fscsi5
Enabled   hdisk290 fscsi5
Enabled   hdisk291 fscsi5
Enabled   hdisk292 fscsi5
Enabled   hdisk293 fscsi5
Enabled   hdisk294 fscsi5
Enabled   hdisk622 fscsi4
Enabled   hdisk623 fscsi4
Enabled   hdisk297 fscsi5
Enabled   hdisk298 fscsi5
Enabled   hdisk570 fscsi4
Enabled   hdisk301 fscsi5
Enabled   hdisk302 fscsi5
Enabled   hdisk303 fscsi5
Enabled   hdisk304 fscsi5
Enabled   hdisk305 fscsi5
Enabled   hdisk283 fscsi5
Enabled   hdisk284 fscsi5
Enabled   hdisk285 fscsi5
Enabled   hdisk286 fscsi5
Enabled   hdisk287 fscsi5
Enabled   hdisk288 fscsi5
Enabled   hdisk289 fscsi5
Enabled   hdisk290 fscsi5
Enabled   hdisk291 fscsi5
Enabled   hdisk292 fscsi5
Enabled   hdisk293 fscsi5
Enabled   hdisk294 fscsi5
Enabled   hdisk571 fscsi4
Enabled   hdisk572 fscsi4
Enabled   hdisk297 fscsi5
Enabled   hdisk298 fscsi5
Enabled   hdisk573 fscsi4
Enabled   hdisk301 fscsi5
Enabled   hdisk302 fscsi5
Enabled   hdisk303 fscsi5
Enabled   hdisk304 fscsi5
Enabled   hdisk305 fscsi5
Enabled   hdisk283 fscsi5
Enabled   hdisk284 fscsi5
Enabled   hdisk285 fscsi5
Enabled   hdisk286 fscsi5
Enabled   hdisk287 fscsi5
Enabled   hdisk288 fscsi5
Enabled   hdisk289 fscsi5
Enabled   hdisk290 fscsi5
Enabled   hdisk291 fscsi5
Enabled   hdisk292 fscsi5
Enabled   hdisk293 fscsi5
Enabled   hdisk294 fscsi5
Enabled   hdisk574 fscsi4
Enabled   hdisk575 fscsi4
Enabled   hdisk297 fscsi5
Enabled   hdisk298 fscsi5
Enabled   hdisk576 fscsi4
Enabled   hdisk301 fscsi5
Enabled   hdisk302 fscsi5
Enabled   hdisk303 fscsi5
Enabled   hdisk304 fscsi5
Enabled   hdisk305 fscsi5
Enabled   hdisk283 fscsi5
Enabled   hdisk284 fscsi5
Enabled   hdisk285 fscsi5
Enabled   hdisk286 fscsi5
Enabled   hdisk287 fscsi5
Enabled   hdisk288 fscsi5
Enabled   hdisk289 fscsi5
Enabled   hdisk290 fscsi5
Enabled   hdisk291 fscsi5
Enabled   hdisk292 fscsi5
Enabled   hdisk293 fscsi5
Enabled   hdisk294 fscsi5
Enabled   hdisk577 fscsi4
Enabled   hdisk578 fscsi4
Enabled   hdisk297 fscsi5
Enabled   hdisk298 fscsi5
Enabled   hdisk579 fscsi4
Enabled   hdisk301 fscsi5
Enabled   hdisk302 fscsi5
Enabled   hdisk303 fscsi5
Enabled   hdisk304 fscsi5
Enabled   hdisk305 fscsi5
Enabled   hdisk283 fscsi5
Enabled   hdisk284 fscsi5
Enabled   hdisk285 fscsi5
Enabled   hdisk286 fscsi5
Enabled   hdisk287 fscsi5
Enabled   hdisk288 fscsi5
Enabled   hdisk289 fscsi5
Enabled   hdisk290 fscsi5
Enabled   hdisk291 fscsi5
Enabled   hdisk292 fscsi5
Enabled   hdisk293 fscsi5
Enabled   hdisk294 fscsi5
Enabled   hdisk580 fscsi4
Enabled   hdisk581 fscsi4
Enabled   hdisk297 fscsi5
Enabled   hdisk298 fscsi5
Enabled   hdisk582 fscsi4
Enabled   hdisk301 fscsi5
Enabled   hdisk302 fscsi5
Enabled   hdisk303 fscsi5
Enabled   hdisk304 fscsi5
Enabled   hdisk305 fscsi5
Enabled   hdisk583 fscsi4
Enabled   hdisk584 fscsi4
Enabled   hdisk585 fscsi4
Enabled   hdisk586 fscsi4
Enabled   hdisk587 fscsi4
Enabled   hdisk588 fscsi4
Enabled   hdisk589 fscsi4
Enabled   hdisk590 fscsi4
Enabled   hdisk591 fscsi4
Enabled   hdisk592 fscsi4
Enabled   hdisk593 fscsi4
Enabled   hdisk594 fscsi4
Enabled   hdisk595 fscsi4
Enabled   hdisk596 fscsi4
Enabled   hdisk597 fscsi4
Enabled   hdisk598 fscsi4
Enabled   hdisk599 fscsi4
Enabled   hdisk600 fscsi4
Enabled   hdisk601 fscsi4
Enabled   hdisk602 fscsi4
Enabled   hdisk603 fscsi4
Enabled   hdisk604 fscsi4
Enabled   hdisk605 fscsi4
Enabled   hdisk606 fscsi4
Enabled   hdisk607 fscsi4
Enabled   hdisk608 fscsi4
Enabled   hdisk609 fscsi4
Enabled   hdisk610 fscsi4
Enabled   hdisk611 fscsi4
Enabled   hdisk612 fscsi4
Enabled   hdisk613 fscsi4
Enabled   hdisk614 fscsi4
Enabled   hdisk615 fscsi4
Enabled   hdisk616 fscsi4
Enabled   hdisk617 fscsi4
Enabled   hdisk618 fscsi4
Enabled   hdisk619 fscsi4
Enabled   hdisk351 fscsi4
Enabled   hdisk352 fscsi4
Enabled   hdisk353 fscsi4
Enabled   hdisk354 fscsi4
Enabled   hdisk355 fscsi4
Enabled   hdisk356 fscsi4
Enabled   hdisk357 fscsi4
Enabled   hdisk358 fscsi4
Enabled   hdisk359 fscsi4
Enabled   hdisk360 fscsi4
Enabled   hdisk361 fscsi4
Enabled   hdisk620 fscsi4
Enabled   hdisk621 fscsi4
Enabled   hdisk622 fscsi4
Enabled   hdisk623 fscsi4
Enabled   hdisk570 fscsi8
Enabled   hdisk571 fscsi8
Enabled   hdisk572 fscsi8
Enabled   hdisk573 fscsi8
Enabled   hdisk574 fscsi8
Enabled   hdisk575 fscsi8
Enabled   hdisk576 fscsi8
Enabled   hdisk577 fscsi8
Enabled   hdisk578 fscsi8
Enabled   hdisk579 fscsi8
Enabled   hdisk229 fscsi5
Enabled   hdisk580 fscsi8
Enabled   hdisk581 fscsi8
Enabled   hdisk582 fscsi8
Enabled   hdisk583 fscsi8
Enabled   hdisk584 fscsi8
Enabled   hdisk585 fscsi8
Enabled   hdisk586 fscsi8
Enabled   hdisk587 fscsi8
Enabled   hdisk588 fscsi8
Enabled   hdisk589 fscsi8
Enabled   hdisk590 fscsi8
Enabled   hdisk591 fscsi8
Enabled   hdisk592 fscsi8
Enabled   hdisk593 fscsi8
Enabled   hdisk594 fscsi8
Enabled   hdisk595 fscsi8
Enabled   hdisk596 fscsi8
Enabled   hdisk597 fscsi8
Enabled   hdisk295 fscsi5
Enabled   hdisk296 fscsi5
Enabled   hdisk598 fscsi8
Enabled   hdisk599 fscsi8
Enabled   hdisk299 fscsi5
Enabled   hdisk600 fscsi8
Enabled   hdisk601 fscsi8
Enabled   hdisk602 fscsi8
Enabled   hdisk603 fscsi8
Enabled   hdisk604 fscsi8
Enabled   hdisk605 fscsi8
Enabled   hdisk606 fscsi8
Enabled   hdisk607 fscsi8
Enabled   hdisk608 fscsi8
Enabled   hdisk609 fscsi8
Enabled   hdisk610 fscsi8
Enabled   hdisk611 fscsi8
Enabled   hdisk612 fscsi8
Enabled   hdisk613 fscsi8
Enabled   hdisk614 fscsi8
Enabled   hdisk615 fscsi8
Enabled   hdisk616 fscsi8
Enabled   hdisk617 fscsi8
Enabled   hdisk565 fscsi5
Enabled   hdisk566 fscsi5
Enabled   hdisk618 fscsi8
Enabled   hdisk619 fscsi8
Enabled   hdisk567 fscsi5
Enabled   hdisk351 fscsi8
Enabled   hdisk352 fscsi8
Enabled   hdisk353 fscsi8
Enabled   hdisk354 fscsi8
Enabled   hdisk355 fscsi8
Enabled   hdisk356 fscsi8
Enabled   hdisk357 fscsi8
Enabled   hdisk358 fscsi8
Enabled   hdisk359 fscsi8
Enabled   hdisk360 fscsi8
Enabled   hdisk361 fscsi8
Enabled   hdisk620 fscsi8
Enabled   hdisk621 fscsi8
Enabled   hdisk622 fscsi8
Enabled   hdisk623 fscsi8
Enabled   hdisk570 fscsi8
Enabled   hdisk571 fscsi8
Enabled   hdisk572 fscsi8
Enabled   hdisk229 fscsi5
Enabled   hdisk295 fscsi5
Enabled   hdisk573 fscsi8
Enabled   hdisk574 fscsi8
Enabled   hdisk296 fscsi5
Enabled   hdisk575 fscsi8
Enabled   hdisk576 fscsi8
Enabled   hdisk577 fscsi8
Enabled   hdisk578 fscsi8
Enabled   hdisk579 fscsi8
Enabled   hdisk580 fscsi8
Enabled   hdisk581 fscsi8
Enabled   hdisk582 fscsi8
Enabled   hdisk583 fscsi8
Enabled   hdisk584 fscsi8
Enabled   hdisk585 fscsi8
Enabled   hdisk586 fscsi8
Enabled   hdisk587 fscsi8
Enabled   hdisk588 fscsi8
Enabled   hdisk589 fscsi8
Enabled   hdisk590 fscsi8
Enabled   hdisk591 fscsi8
Enabled   hdisk592 fscsi8
Enabled   hdisk299 fscsi5
Enabled   hdisk565 fscsi5
Enabled   hdisk593 fscsi8
Enabled   hdisk594 fscsi8
Enabled   hdisk566 fscsi5
Enabled   hdisk595 fscsi8
Enabled   hdisk596 fscsi8
Enabled   hdisk597 fscsi8
Enabled   hdisk598 fscsi8
Enabled   hdisk599 fscsi8
Enabled   hdisk600 fscsi8
Enabled   hdisk601 fscsi8
Enabled   hdisk602 fscsi8
Enabled   hdisk603 fscsi8
Enabled   hdisk604 fscsi8
Enabled   hdisk605 fscsi8
Enabled   hdisk606 fscsi8
Enabled   hdisk607 fscsi8
Enabled   hdisk608 fscsi8
Enabled   hdisk609 fscsi8
Enabled   hdisk610 fscsi8
Enabled   hdisk611 fscsi8
Enabled   hdisk612 fscsi8
Enabled   hdisk567 fscsi5
Enabled   hdisk229 fscsi5
Enabled   hdisk613 fscsi8
Enabled   hdisk614 fscsi8
Enabled   hdisk295 fscsi5
Enabled   hdisk615 fscsi8
Enabled   hdisk616 fscsi8
Enabled   hdisk617 fscsi8
Enabled   hdisk618 fscsi8
Enabled   hdisk619 fscsi8
Enabled   hdisk351 fscsi8
Enabled   hdisk283 fscsi9
Enabled   hdisk284 fscsi9
Enabled   hdisk285 fscsi9
Enabled   hdisk286 fscsi9
Enabled   hdisk287 fscsi9
Enabled   hdisk288 fscsi9
Enabled   hdisk289 fscsi9
Enabled   hdisk290 fscsi9
Enabled   hdisk291 fscsi9
Enabled   hdisk292 fscsi9
Enabled   hdisk293 fscsi9
Enabled   hdisk294 fscsi9
Enabled   hdisk296 fscsi5
Enabled   hdisk299 fscsi5
Enabled   hdisk297 fscsi9
Enabled   hdisk298 fscsi9
Enabled   hdisk565 fscsi5
Enabled   hdisk301 fscsi9
Enabled   hdisk302 fscsi9
Enabled   hdisk303 fscsi9
Enabled   hdisk304 fscsi9
Enabled   hdisk305 fscsi9
Enabled   hdisk283 fscsi9
Enabled   hdisk284 fscsi9
Enabled   hdisk285 fscsi9
Enabled   hdisk286 fscsi9
Enabled   hdisk287 fscsi9
Enabled   hdisk288 fscsi9
Enabled   hdisk289 fscsi9
Enabled   hdisk290 fscsi9
Enabled   hdisk291 fscsi9
Enabled   hdisk292 fscsi9
Enabled   hdisk293 fscsi9
Enabled   hdisk294 fscsi9
Enabled   hdisk566 fscsi5
Enabled   hdisk567 fscsi5
Enabled   hdisk297 fscsi9
Enabled   hdisk298 fscsi9
Enabled   hdisk229 fscsi5
Enabled   hdisk301 fscsi9
Enabled   hdisk302 fscsi9
Enabled   hdisk303 fscsi9
Enabled   hdisk304 fscsi9
Enabled   hdisk305 fscsi9
Enabled   hdisk283 fscsi9
Enabled   hdisk284 fscsi9
Enabled   hdisk285 fscsi9
Enabled   hdisk286 fscsi9
Enabled   hdisk287 fscsi9
Enabled   hdisk288 fscsi9
Enabled   hdisk289 fscsi9
Enabled   hdisk290 fscsi9
Enabled   hdisk291 fscsi9
Enabled   hdisk292 fscsi9
Enabled   hdisk293 fscsi9
Enabled   hdisk294 fscsi9
Enabled   hdisk295 fscsi5
Enabled   hdisk296 fscsi5
Enabled   hdisk297 fscsi9
Enabled   hdisk298 fscsi9
Enabled   hdisk299 fscsi5
Enabled   hdisk301 fscsi9
Enabled   hdisk302 fscsi9
Enabled   hdisk303 fscsi9
Enabled   hdisk304 fscsi9
Enabled   hdisk305 fscsi9
Enabled   hdisk283 fscsi9
Enabled   hdisk284 fscsi9
Enabled   hdisk285 fscsi9
Enabled   hdisk286 fscsi9
Enabled   hdisk287 fscsi9
Enabled   hdisk288 fscsi9
Enabled   hdisk289 fscsi9
Enabled   hdisk290 fscsi9
Enabled   hdisk291 fscsi9
Enabled   hdisk292 fscsi9
Enabled   hdisk293 fscsi9
Enabled   hdisk294 fscsi9
Enabled   hdisk565 fscsi5
Enabled   hdisk566 fscsi5
Enabled   hdisk297 fscsi9
Enabled   hdisk298 fscsi9
Enabled   hdisk567 fscsi5
Enabled   hdisk301 fscsi9
Enabled   hdisk302 fscsi9
Enabled   hdisk303 fscsi9
Enabled   hdisk304 fscsi9
Enabled   hdisk305 fscsi9
Enabled   hdisk283 fscsi9
Enabled   hdisk284 fscsi9
Enabled   hdisk285 fscsi9
Enabled   hdisk286 fscsi9
Enabled   hdisk287 fscsi9
Enabled   hdisk288 fscsi9
Enabled   hdisk289 fscsi9
Enabled   hdisk290 fscsi9
Enabled   hdisk291 fscsi9
Enabled   hdisk292 fscsi9
Enabled   hdisk293 fscsi9
Enabled   hdisk294 fscsi9
Enabled   hdisk229 fscsi5
Enabled   hdisk295 fscsi5
Enabled   hdisk297 fscsi9
Enabled   hdisk298 fscsi9
Enabled   hdisk296 fscsi5
Enabled   hdisk301 fscsi9
Enabled   hdisk302 fscsi9
Enabled   hdisk303 fscsi9
Enabled   hdisk304 fscsi9
Enabled   hdisk305 fscsi9
Enabled   hdisk283 fscsi9
Enabled   hdisk284 fscsi9
Enabled   hdisk285 fscsi9
Enabled   hdisk286 fscsi9
Enabled   hdisk287 fscsi9
Enabled   hdisk288 fscsi9
Enabled   hdisk289 fscsi9
Enabled   hdisk290 fscsi9
Enabled   hdisk291 fscsi9
Enabled   hdisk292 fscsi9
Enabled   hdisk293 fscsi9
Enabled   hdisk294 fscsi9
Enabled   hdisk299 fscsi5
Enabled   hdisk565 fscsi5
Enabled   hdisk297 fscsi9
Enabled   hdisk298 fscsi9
Enabled   hdisk566 fscsi5
Enabled   hdisk301 fscsi9
Enabled   hdisk302 fscsi9
Enabled   hdisk303 fscsi9
Enabled   hdisk304 fscsi9
Enabled   hdisk305 fscsi9
Enabled   hdisk283 fscsi9
Enabled   hdisk284 fscsi9
Enabled   hdisk285 fscsi9
Enabled   hdisk286 fscsi9
Enabled   hdisk287 fscsi9
Enabled   hdisk288 fscsi9
Enabled   hdisk289 fscsi9
Enabled   hdisk290 fscsi9
Enabled   hdisk291 fscsi9
Enabled   hdisk292 fscsi9
Enabled   hdisk293 fscsi9
Enabled   hdisk294 fscsi9
