==== This output can be found in Systems/dx978/perf/mpstat-i.txt ====
==== START mpstat -i Mon Jul  6 23:33:15 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0 132645 830505 22287924 350246868 1581815418 29237422
  1  89573   2928 20141046 196955 65811863 223144
  2  89264   2926 19527354 165124 62675724  96215
  3  88407   2926 19103689 156594 62637310  86685
  4   3748   2924  72710  11454 14673457  85809
  5   2104   2926  51331    248 14304305  23925
  6   2121   2926  49228     68 3969756  14550
  7   1958   2926  48281     75 3969058  12963
  8 115023   2928 22384875 232090 112715134 183926
  9    734   2926  24346    222 14284119  12555
 10    731   2926  21894     32 3942659   9703
 11    728   2926  21800     29 3935613  10340
 12     74   2926   5888    227 14259532  48386
 13     70   2926   5746    158 14249266  19623
 14     51   2926   3469     19 3908730  14695
 15     57   2926   3613     19 3909804  13346
 16 115294   2929 22359992 59541013 141750521 1329937
 17  34104   2927 1210124   6907 15368154  27926
 18  33957   2926 1181270   3772 15220530  20633
 19  33826   2926 1156236   3477 15217114  22544
 20 118986   2861 22355579 15445527 236430417 1960122
 21  29006   2929 1485453  13634 7819540  26956
 22  28778   2926 1424538   7438 7564596  14820
 23  28655   2926 1373657   6796 7571000  16775
 24     56   2926   5318    205 14247653  72777
 25     59   2926   5398    192 14246185  30962
 26     65   2926   5447     56 14239336  30570
 27     48   2926   3210     25 3908782  21492
 28   3914   2926  73451   8607 14008830 139707
 29   2696   2925  56114    113 13743804  33703
 30   2639   2926  53654     71 3970384  15753
 31   2613   2926  55785    128 13732363  57396
 32   6234   2916  94073  25689 14085094  68627
 33   3114   2926  59606    176 3982376  13151
 34   3137   2926  59087     63 3971264  11281
 35   3288   2926  58847     50 3971341  13969
 36     60   2926   5187    263 14246542  83576
 37     65   2926   5359    144 14245729  28537
 38     54   2926   3214     31 3907248  17590
 39     50   2926   3260     17 3907048  14566
 40    909   2928  23595   1643 13765385 131325
 41    726   2926  21099    111 13697444  38570
 42    688   2926  18548     41 3928157  17562
 43    700   2926  18516     35 3928337  14315
 44    956   2925  23492   4139 13767421 100197
 45    613   2926  16511    195 3937734  14218
 46    553   2926  16360     41 3930369  12744
 47    561   2926  16464     69 3930209  14741
ALL 983692 967961 157001638 426080850 2643302655 34510329
==== EXITED with rc 0 ====
==== END mpstat -i Mon Jul  6 23:33:15 GST 2015 ====
