==== This output can be found in Systems/dx978/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Mon Jul  6 23:32:54 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
 23    0    0    0    0    0    0    0    1 100    0  0  1  0 99 0.00  0.0    0
 24    0    0    0    2    0    0    0    1   0    0  0 41  0 59 0.00  0.0    1
 25    0    0    0    2    0    0    0    1 100    0  0 46  0 54 0.00  0.0    1
 26    0    0    0    2    0    0    0    1 100    0  0 38  0 62 0.00  0.0    1
 27    0    0    0    0    0    0    0    1 100    0  0 37  0 63 0.00  0.0    0
 28    0    0    0    2    0    0    0    1   0    0  0 50  0 50 0.00  0.0    1
 29    0    0    0    2    0    0    0    1 100    0  0 42  0 58 0.00  0.0    1
 30    0    0    0    0    0    0    0    1 100    0  0 29  0 71 0.00  0.0    0
 31    0    0    0    2    0    0    0    1 100    0  0 36  0 64 0.00  0.0    1
 32    0    0    0    2    0    0    0    1   0    0  0 56  0 44 0.00  0.0    1
 33    0    0    0    0    0    0    0    1 100    0  0 40  0 60 0.00  0.0    0
 34    0    0    0    0    0    0    0    1 100    0  0 36  0 64 0.00  0.0    0
 35    0    0    0    0    0    0    0    1 100    0  0 37  0 63 0.00  0.0    0
 36    0    0    0    2    0    0    0    1   0    0  0 51  0 49 0.00  0.0    1
 37    0    0    0    2    0    0    0    1 100    0  0 46  0 54 0.00  0.0    1
 38    0    0    0    0    0    0    0    1 100    0  0 32  0 68 0.00  0.0    0
 39    0    0    0    0    0    0    0    1 100    0  0 29  0 71 0.00  0.0    0
 40    0    0    0    2    0    0    0    1   0    0  0 60  0 40 0.00  0.0    1
 41    0    0    0    2    0    0    0    1 100    0  0 31  0 69 0.00  0.0    1
 42    0    0    0    0    0    0    0    1 100    0  0 14  0 86 0.00  0.0    0
 43    0    0    0    0    0    0    0    1 100    0  0 10  0 90 0.00  0.0    0
 44    0    0    0    2    0    0    0    1   0    0  0 59  0 41 0.00  0.0    1
 45    0    0    0    0    0    0    0    1 100    0  0 52  0 48 0.00  0.0    0
 46    0    0    0    0    0    0    0    1 100    0  0 45  0 55 0.00  0.0    0
 47    0    0    0    0    0    0    0    1 100    0  0 36  0 64 0.00  0.0    0
ALL 15016    0    0  679 8518  361    2 2728 100 995704 38 26  0 36 1.08 18.0  649
==== EXITED with rc 0 ====
==== END mpstat 5 2 Mon Jul  6 23:33:04 GST 2015 ====
