==== This output can be found in Systems/dx978/perf/mpstat-a.txt ====
==== START mpstat -a Mon Jul  6 23:33:05 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu    min    maj   mpcs   mpcr    dev   soft    dec     ph     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   sysc    us    sy    wa    id    pc   %ec   ilcs   vlcs S3hrd S4hrd S5hrd
cpu    min    maj   mpcs   mpcr    dev   soft    dec     ph     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   sysc    us    sy    wa    id    pc   %ec   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
 24 1016488    442     56   2926   5318    205 14247631  72777 662463 654883      0      0      0   1312   1028   2.2   0.0   0.0   0.4   0.0  97.4 1644765  16.3  37.3   0.0  46.4  0.00   0.0 7146311  42935  99.1   0.9   0.0     0
 25 205199     68     59   2926   5398    192 14246163  30962 654005 651408      0      0      0     16      5   1.1  98.8   0.0   0.0   0.0   0.0 628067   4.3  42.6   0.0  53.0  0.00   0.0 7130978  42652  99.9   0.1   0.0     0
 26   1181      1     65   2926   5447     56 14239314  30570 649067 648704      0      0      0      0      0   0.3  99.6   0.0   0.0   0.0   0.0   1441   0.2  35.5   0.0  64.4  0.00   0.0 7125417  31202 100.0   0.0   0.0     0
 27    803      2     48   2926   3210     25 3908776  21492 647450 647112      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0   1163   0.1  18.9   0.0  81.0  0.00   0.0 1953876  19580 100.0   0.0   0.0     0
 28 19849257   2852   3914   2926  73451   8607 14008809 139707 3084347 741867      0      0      0   4428 103647  73.9   0.0   0.0   2.4   0.0  23.7 34746409  46.7  35.7   0.0  17.5  0.00   0.0 7168911 1784145  74.9  25.1   0.0     0
 29 277763     90   2696   2925  56114    113 13743783  33703 657697 651587      0      0      0      2      2   1.8  98.2   0.0   0.0   0.0   0.0 290976   3.7  32.4   0.0  63.9  0.00   0.0 7143150 157440   1.9  98.1   0.0     0
 30   8680     62   2639   2926  53654     71 3970378  15753 648192 647167      0      0      0      0      0   0.2  99.8   0.0   0.0   0.0   0.0   6345   0.1  12.8   0.0  87.0  0.00   0.0 1958877 127086   0.2  99.8   0.0     0
 31  11235      0   2613   2926  55785    128 13732342  57396 648023 647156      0      0      0      0      1   0.2  99.8   0.0   0.0   0.0   0.0   6317   0.0  29.0   0.0  71.0  0.00   0.0 7131127 139331   0.2  99.8   0.0     0
 32 22043359  12961   6234   2916  94073  25689 14085073  68627 3235826 769173      0      0      0   2846 112722  74.2   0.0   0.0   2.9   0.0  22.9 38799767  56.1  30.8   0.1  13.0  0.00   0.0 7122886 1820027  72.6  27.4   0.0     0
 33 268918   2118   3114   2926  59606    176 3982370  13151 664322 659536      0      0      0      1     10   3.0  97.0   0.0   0.0   0.0   0.0 765189   5.1  13.1   0.1  81.6  0.00   0.0 1957958 153195   3.1  96.9   0.0     0
 34   9002     60   3137   2926  59087     63 3971258  11281 647853 647213      0      0      0      0      6   0.2  99.8   0.0   0.0   0.0   0.0   5803   0.1  12.7   0.0  87.2  0.00   0.0 1953640 133099   0.2  99.8   0.0     0
 35   5106     61   3288   2926  58847     50 3971335  13969 647820 647164      0      0      0      0      5   0.1  99.8   0.0   0.0   0.0   0.0  15280   0.1  12.4   0.0  87.5  0.00   0.0 1953643 132567   0.2  99.8   0.0     0
 36 976980    548     60   2926   5187    263 14246520  83576 663496 654642      0      0      0   1335   1002   2.3   0.0   0.0   0.4   0.0  97.3 1304529  14.5  52.5   0.0  33.0  0.00   0.0 7146131  42472  99.0   1.0   0.0     0
 37 170359    110     65   2926   5359    144 14245707  28537 655710 652702      0      0      0     22      9   1.4  98.6   0.0   0.0   0.0   0.0 491329   4.1  42.1   0.0  53.7  0.00   0.0 7131410  43769  99.9   0.1   0.0     0
 38    388      0     54   2926   3214     31 3907239  17590 647551 647241      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0    903   0.0  20.7   0.0  79.3  0.00   0.0 1953996  18106 100.0   0.0   0.0     0
 39    358      3     50   2926   3260     17 3907042  14566 647583 647189      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0   1036   0.0  20.4   0.0  79.6  0.00   0.0 1954062  17907 100.0   0.0   0.0     0
 40 6186775   1175    909   2928  23595   1643 13765363 131325 1226938 665956      0      0      0   1076  20126  45.1   0.0   0.0   1.8   0.0  53.1 15628911  28.0  46.6   0.0  25.4  0.00   0.0 7171232 516705  48.5  51.5   0.0     0
 41 232622    126    726   2926  21099    111 13697423  38570 658572 651397      0      0      0      2      2   1.8  98.1   0.0   0.0   0.0   0.0 214076   3.7  55.2   0.0  41.0  0.00   0.0 7152641  81885   1.9  98.1   0.0     0
 42   3260      6    688   2926  18548     41 3928151  17562 648347 647212      0      0      0      0      0   0.2  99.7   0.0   0.0   0.0   0.0   3863   0.2  18.5   0.0  81.3  0.00   0.0 1959246  53211   0.2  99.8   0.0     0
 43   7848     25    700   2926  18516     35 3928331  14315 647856 647281      0      0      0      0      4   0.2  99.8   0.0   0.0   0.0   0.0   4344   0.2  18.3   0.0  81.6  0.00   0.0 1959465  52732   0.1  99.9   0.0     0
 44 6297536   8501    956   2925  23492   4139 13767400 100197 1262020 669886      0      0      0    617  19093  46.5   0.0   0.0   1.8   0.0  51.8 14611147  31.8  42.9   0.0  25.3  0.00   0.0 7141669 514484  50.0  50.0   0.0     0
 45 217848   1266    613   2926  16511    195 3937728  14218 655463 651362      0      0      0      1      2   1.5  98.4   0.0   0.0   0.0   0.0 230354   5.5  17.1   0.1  77.3  0.00   0.0 1962810  67786   1.6  98.4   0.0     0
 46   5990     40    553   2926  16360     41 3930363  12744 648128 647287      0      0      0      0      5   0.2  99.8   0.0   0.0   0.0   0.0  29097   0.3  17.0   0.0  82.8  0.00   0.0 1959139  52856   0.2  99.8   0.0     0
 47   6595     57    561   2926  16464     69 3930203  14741 647820 647262      0      0      0      0      3   0.1  99.8   0.0   0.0   0.0   0.0  22056   0.2  17.0   0.0  82.8  0.00   0.0 1959080  52585   0.1  99.9   0.0     0
ALL 2334278957 203961 983692 967961 157001290 426080206 2643297468 34509817 12611624604 272282042      2     96     18 2810740 72598126  99.0   0.4   0.0   0.0   0.0   0.6 59477293452   9.3  50.2   0.0  40.4  0.05   0.9 188806305 2480144162  39.0  61.0   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -a Mon Jul  6 23:33:05 GST 2015 ====
