==== This output can be found in Systems/dx978/perf/mpstat-d.txt ====
==== START mpstat -d Mon Jul  6 23:33:05 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0 11577947665 218125868      1     64     17 2362954 34218627  99.6   0.1   0.0   0.0   0.0   0.3 3689915 1602488292  39.5  60.5   0.0     0
  1 41170479 1982432      0      0      0    166     50  76.1  23.9   0.0   0.0   0.0   0.0 563681 95081866  34.0  66.0   0.0     0
  2 3241529 685078      0      0      0      1    136  51.2  48.8   0.0   0.0   0.0   0.0 432639 82601473  47.8  52.2   0.0     0
  3 3167779 675971      0      0      0      1     34  52.0  48.0   0.0   0.0   0.0   0.0 430815 82118965  48.2  51.8   0.0     0
  4 4034558 787337      0      0      0  90261  37362  76.1   0.0   0.0  21.0   0.0   2.9 7135945 1770119  82.1  17.9   0.0     0
  5 661056 656208      0      0      0     84     12   2.2  97.8   0.0   0.0   0.0   0.0 7121650 152936  99.8   0.2   0.0     0
  6 647815 647401      0      0      0      0      8   0.1  99.8   0.0   0.0   0.0   0.0 1955255 121239 100.0   0.0   0.0     0
  7 647829 647377      0      0      0      0      5   0.1  99.8   0.0   0.0   0.0   0.0 1955186 119579 100.0   0.0   0.0     0
  8 1772511 697110      0      0      0  36268  10484  57.0   0.0   0.0  40.7   0.0   2.4  26002 136205458  84.3  15.7   0.0     0
  9 668081 665065      0      0      0     85     11   3.2  96.7   0.0   0.0   0.0   0.0 7123411  86930  99.9   0.1   0.0     0
 10 656908 656425      0      0      0      0      5   1.5  98.4   0.0   0.0   0.0   0.0 1954078  60380 100.0   0.0   0.0     0
 11 651078 650336      0      0      0      0      6   0.6  99.3   0.0   0.0   0.0   0.0 1954079  60365 100.0   0.0   0.0     0
 12 670404 656828      0      0      0   1634   1219   3.3   0.0   0.0  96.4   0.0   0.3 7144059  50804  98.8   1.2   0.0     0
 13 657942 654481      0      0      0     26      4   1.7  98.2   0.0   0.0   0.0   0.0 7127413  45180  99.9   0.1   0.0     0
 14 647524 647183      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1954485  19971 100.0   0.0   0.0     0
 15 647599 647254      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1954558  20945 100.0   0.0   0.0     0
 16 321846922 9021837      1      1      1 158242 12969059  95.7   0.1   0.0   0.0   0.0   4.1  59864 175234869  32.8  67.2   0.0     0
 17 2780632 794044      0      0      0     61   1303  62.0  37.9   0.0   0.0   0.0   0.1 6984670 3721739  35.3  64.7   0.0     0
 18 895923 652841      0      0      0      0    898  20.9  79.0   0.0   0.0   0.0   0.1 6973016 3063338  13.4  86.6   0.0     0
 19 879643 652162      0      0      0      0    544  19.7  80.2   0.0   0.0   0.0   0.1 6973057 3028265  12.2  87.8   0.0     0
 20 619551612 13703148      0      0      0 149265 25093581  95.8   0.1   0.0   0.0   0.0   4.1  18473 272120827  32.3  67.7   0.0     0
 21 3801598 820900      0      0      0     40   3254  66.2  33.7   0.0   0.0   0.0   0.1 2035925 6042098  24.0  76.0   0.0     0
 22 1063638 655072      0      0      0      0   2391  29.0  70.8   0.0   0.0   0.0   0.2 2019303 4937970   9.9  90.1   0.0     0
 23 1057847 657350      0      0      0      0   1504  29.5  70.3   0.0   0.0   0.0   0.2 2021171 4892840   9.5  90.5   0.0     0
 24 662463 654883      0      0      0   1312   1028   2.2   0.0   0.0   0.4   0.0  97.4 7146311  42935  99.1   0.9   0.0     0
 25 654005 651408      0      0      0     16      5   1.1  98.8   0.0   0.0   0.0   0.0 7130978  42652  99.9   0.1   0.0     0
 26 649067 648704      0      0      0      0      0   0.3  99.6   0.0   0.0   0.0   0.0 7125417  31202 100.0   0.0   0.0     0
 27 647450 647112      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1953876  19580 100.0   0.0   0.0     0
 28 3084347 741867      0      0      0   4428 103647  73.9   0.0   0.0   2.4   0.0  23.7 7168911 1784145  74.9  25.1   0.0     0
 29 657697 651587      0      0      0      2      2   1.8  98.2   0.0   0.0   0.0   0.0 7143150 157440   1.9  98.1   0.0     0
 30 648192 647167      0      0      0      0      0   0.2  99.8   0.0   0.0   0.0   0.0 1958877 127086   0.2  99.8   0.0     0
 31 648023 647156      0      0      0      0      1   0.2  99.8   0.0   0.0   0.0   0.0 7131127 139331   0.2  99.8   0.0     0
 32 3235826 769173      0      0      0   2846 112722  74.2   0.0   0.0   2.9   0.0  22.9 7122886 1820027  72.6  27.4   0.0     0
 33 664322 659536      0      0      0      1     10   3.0  97.0   0.0   0.0   0.0   0.0 1957958 153195   3.1  96.9   0.0     0
 34 647853 647213      0      0      0      0      6   0.2  99.8   0.0   0.0   0.0   0.0 1953640 133099   0.2  99.8   0.0     0
 35 647820 647164      0      0      0      0      5   0.1  99.8   0.0   0.0   0.0   0.0 1953643 132567   0.2  99.8   0.0     0
 36 663496 654642      0      0      0   1335   1002   2.3   0.0   0.0   0.4   0.0  97.3 7146131  42472  99.0   1.0   0.0     0
 37 655710 652702      0      0      0     22      9   1.4  98.6   0.0   0.0   0.0   0.0 7131410  43769  99.9   0.1   0.0     0
 38 647551 647241      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1953996  18106 100.0   0.0   0.0     0
 39 647583 647189      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1954062  17907 100.0   0.0   0.0     0
 40 1226938 665956      0      0      0   1076  20126  45.1   0.0   0.0   1.8   0.0  53.1 7171232 516705  48.5  51.5   0.0     0
 41 658572 651397      0      0      0      2      2   1.8  98.1   0.0   0.0   0.0   0.0 7152641  81885   1.9  98.1   0.0     0
 42 648347 647212      0      0      0      0      0   0.2  99.7   0.0   0.0   0.0   0.0 1959246  53211   0.2  99.8   0.0     0
 43 647856 647281      0      0      0      0      4   0.2  99.8   0.0   0.0   0.0   0.0 1959465  52732   0.1  99.9   0.0     0
 44 1262020 669886      0      0      0    617  19093  46.5   0.0   0.0   1.8   0.0  51.8 7141669 514484  50.0  50.0   0.0     0
 45 655463 651362      0      0      0      1      2   1.5  98.4   0.0   0.0   0.0   0.0 1962810  67786   1.6  98.4   0.0     0
 46 648128 647287      0      0      0      0      5   0.2  99.8   0.0   0.0   0.0   0.0 1959139  52856   0.2  99.8   0.0     0
 47 647820 647262      0      0      0      0      3   0.1  99.8   0.0   0.0   0.0   0.0 1959080  52585   0.1  99.9   0.0     0
ALL 12611625121 272282095      2     65     18 2810746 72598169  99.0   0.4   0.0   0.0   0.0   0.6 188806305 2480144205  39.0  61.0   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -d Mon Jul  6 23:33:05 GST 2015 ====
