==== This output can be found in Systems/dx978/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Mon Jul  6 23:33:20 GST 2015 ====

AIX DX978 1 7 00F9ADA14C00    07/06/15

System configuration: lcpu=48 ent=6.00 mode=Uncapped 

23:33:20 cpu    %usr    %sys    %wio   %idle   physc   %entc
23:33:25  0       54      46       0       1    0.24     4.0
          1        0       0       0     100    0.05     0.8
          2        0       0       0     100    0.04     0.7
          3        0       0       0     100    0.04     0.7
          4        0      61       0      39    0.00     0.0
          5        0      36       0      64    0.00     0.0
          6        0      27       0      73    0.00     0.0
          7        0      29       0      71    0.00     0.0
          8        0      53       0      47    0.00     0.0
          9        0       4       0      96    0.00     0.0
          10        0       3       0      97    0.00     0.0
          11        0       2       0      98    0.00     0.0
          12        0      49       0      51    0.00     0.0
          13        0      45       0      55    0.00     0.0
          14        0      32       0      68    0.00     0.0
          15        0      32       0      68    0.00     0.0
          16       64      36       0       0    0.46     7.6
          17        0       0       0     100    0.08     1.4
          18        0       0       0     100    0.08     1.4
          19        0       0       0     100    0.08     1.4
          20       59      40       0       1    0.08     1.3
          21        0       0       0     100    0.02     0.4
          22        0       0       0     100    0.02     0.4
          23        0       0       0     100    0.02     0.3
          24        0      49       0      51    0.00     0.0
          25        0      52       0      48    0.00     0.0
          26        0      43       0      57    0.00     0.0
          27        0      24       0      76    0.00     0.0
          28       63      37       0       0    0.08     1.3
          29        0       0       0     100    0.02     0.3
          30        0       0       0     100    0.03     0.5
          31        0       0       0     100    0.02     0.3
          32        0      66       0      34    0.00     0.0
          33        0      25       0      75    0.00     0.0
          34        0      26       0      74    0.00     0.0
          35        0      24       0      76    0.00     0.0
          36        0      66       0      34    0.00     0.0
          37        0      48       0      52    0.00     0.0
          38        0      26       0      74    0.00     0.0
          39        0      27       0      73    0.00     0.0
          40       61      38       0       1    0.07     1.2
          41        0       0       0     100    0.01     0.2
          42        0       0       0     100    0.02     0.4
          43        0       0       0     100    0.02     0.4
          44        0      61       0      39    0.00     0.0
          45        0      26       0      74    0.00     0.0
          46        0      25       0      75    0.00     0.0
